lifeStage	reps
commenced (in some eggs advanced	1
cowbird fresh, others larger sof	1
eggs addled	1
ephyrae	3
fresh (probably incomplete)	1
fresh but addled and stuck to sh	1
fresh or slightly incubated	1
fresh, red streaked	1
fresh; trace blood	1
from flush to very slight	1
fuc	22
hard embroys	3
imago: 100000	1
immature; ovigerous;;	1
juv by plum	1
juv.!	1
juvenil7	1
juvenile; 5 mo 17 day	2
juvenile; 7mo 11day	1
larva (sizeClass:26-30mm)	1
larvae no legs:10	6
larvae no legs:2 ; larvae with hind legs < 1cm:2 ; larvae with hind legs > 1cm:1	1
larvae no legs:52 ; larvae with hind legs > 1cm:3	1
larvae no legs:7 ; larvae with hind legs < 1cm:13 ; larvae with hind legs > 1cm:22 ; metamorph with tail:2	1
larvae with hind legs < 1cm:3 ; larvae with hind legs > 1cm:4	1
lenght < 5 cm:10 ; lenght:5-10 cm:7 ; lenght:10-15 cm:2	1
lenght < 5 cm:11 ; lenght:5-10 cm:9 ; lenght:10-15 cm:1	1
lenght < 5 cm:13 ; lenght:5-10 cm:3	3
lenght < 5 cm:14 ; lenght:5-10 cm:21 ; lenght:10-15 cm:2	1
lenght < 5 cm:155	1
lenght < 5 cm:45 ; lenght:5-10 cm:20 ; lenght:10-15 cm:1	1
lenght < 5 cm:5 ; lenght:10-15 cm:1	3
lenght < 5 cm:8 ; lenght:5-10 cm:5	2
lenght < 5 cm:9 ; lenght:5-10 cm:15	1
lenght:15-20 cm:10	1
lenght:5-10 cm:2 ; lenght:10-15 cm:4 ; lenght:20-25 cm:3	1
lenght:5-10 cm:41	2
lengte 0 - 2 cm	210
mature with young	1
metamorphosed in August	5
mid-instar	2
none: deserted	1
nouveau né n°3	3
nymph 4|adult 20	1
one=0, 3=begun	1
over 1/2, hard embryos	2
phyllosoma stage	1
plumage as in RGM 1096	1
progressed about 1/3	1
quite rotten	1
showing blood, small embryo, emb	1
showing in none	1
skull not pneumatized	1
slight incubation, v. small embr	1
slight to embryos begun	1
slight; set complete 18	1
smallest larvae < 5cm no legs:14 ; larvae with hind legs < 1cm:6 ; larvae with hind legs > 1cm:15	1
smallest larvae < 5cm no legs:5 ; larvae no legs:41 ; larvae with hind legs < 1cm:20	1
sub-ad	2
trace in Parus major	1
undetermined	6428
very little	3
young larval stage	2
zoea I-V; megalopa; crab 1	1
{"adult":6, "pulli":28}	1
(about) 1/3	1
1 addled, 2 about half	1
1 adult + 39 larvae	1
1 five days, 1 three days, 1 one	1
1 fresh 2 small embryos	1
1 fresh, 1 v. small embryo	1
1 hatched in wild; fragments	1
1 infert.; 1 slight; 2 soft embr	1
1 infertile, 2 advanced	1
1 small embryo, 1 infertile	3
1 very large embryo (w/i 3-4 day	1
1 week	219
1.5 yr	1
1/24-3/1, hatching unknown but n	1
10-15 days	2
101 larvas	2
11x9mm	10
12 nymph	7
125 Adults, 21 Juveniles	1
126 adultos	1
13 pupas, 50 larvas	1
1454-55 fresh; 1456 slight	1
16 adults + 43 larvae	1
16K+	1
16y 9m 29d	1
19 adults + 8 larvae	1
1D	3
1M 1J	68
1M 5F 2J	1
1M 9F	1
1M, 1	1
1adv. 3 addled	1
2 JUVENILE; 4 ADULT	1
2 LARVAE, 6 JUVENILE	1
2 addled, 1 advanced	1
2 adults + 3 larvae/pupa	2
2 begun, 1 half-hatched, 2 nearl	1
2 days (but fresh)	1
2 infertile/ 1 with dead embryos	1
2 larvae, 1 pupa and 1 cocoon	1
2 started, 2 addled	1
2-strictly fresh, 2-faint trace	2
20 Days	1
2140 moderate; 2141 no developme	1
227 adult	1
22x18mm	2
24.7mm	1
25M 59F 1J	1
26 adults + 4 larvae	2
27 adults + 10 larvae	1
2M 1F 5J	3
3 adultas	4
3 adults + 16 larvae	1
3 adults + 2 larvae/pupa	2
3 small embryos, 1 large embryo	1
3 small embryos, 1 showing blood	1
3-4-4	1
32F	1
36m 29f	1
38 ADULT; 16 JUVENILE	1
4 Adult, 1 Infant, 1 Indeterminate	1
4 days; Downy chick	1
4 eggs hatched May 17th & 18th	1
4 ninfas	57
4 young + 1 egg	1
4,5 fresh	1
4-5 days even	1
4052-53 slight	1
4455 no dev. Dehydrated; bacteri	1
4541 no dev.; 4542 slight; 4543-	1
49 Adults, 4 Juveniles	3
5 adults + 3 larvae	7
5 eggs laid by 23 Apr ; 3 chicks	1
50 adult	64
59 adults	2
5B	4
5M  2F  1J	1
5M10F	1
5to 6 days	1
66 Adults, 7 Juveniles	1
7 males	1
7 yr, 3 mo	1
71 adults + 6 larvae	1
72 Adults, 2 Juveniles	1
74 Adults, 6 Juveniles	1
75%	1
78 adult	12
7F 2J	2
7x6mm	32
80 têtards	1
823 adultos	1
84 larvas	3
9 Adult, sex unknown	1
91 adults + 2 larvae	1
; II;; juvenile	1
; juvenile; ovigerous;; juvenile	1
<0,7 mm	265
<2,5 um	2
About 1/2 incubation	1
About 1/8 except runt	1
Adult  male	2
Adult & Embryos	1
Adult Female: 3; Adult: 8; Adult Male: 5	2
Adult females.	1
Adult: 15; Adult Male: 10; Adult Female: 5	3
All 4 small embryos	1
All Begun In Incubation	1
All Highly Incubated	2
All three infertile; broken	1
BURSA 20 MM	1
Barremiano superior	7
Begun in 3 eggs	2
Both  eggs addled	1
Cuaternario	1
Down Started	1
Dried egg	1
EMBRYO MALE, FEMALE	1
Egg hatching	1
Egg infertile	2
Eggs #21,22 hatched in captivity	1
Eggs #87,89, 90 died with large	1
Eight days incubated	2
FEMALE UTERINE EMBRY	3
FEMALES	79
Fragments-broke in nest.  At lea	1
Fresh & Slight	1
Fresh- nest built & 2 eggs laid	1
From about 8-10 year old female	1
From the wild- Dam SB #192, Sire	1
Hauteriviano	2
I;; juvenile; ovigerous	12
II; juvenile;;	239
II; juvenile;; juvenile; ovigerous	15
Im ?	6
Immature - hatchling	31
Incub.	1
Incubated Slightly	1
Irregular, but slight	1
JUVENILES	1484
Ju.	38
Jueveniles y Adultos	1
L:178mm; EXT:302mm; age by pluma	1
L:189; EXT:331.; age by plumage	1
L:19&1/8in; TL:5.5in; TS:1&7/8in	1
L:264mm; EXT:438mm; age by pluma	1
L:9&9/16in; WCH:4&11/16in; age b	1
Larva 4º instar	210
Larva nisto	1
Likely immature male by plumage	1
Nest used earlier in season	1
Newly laid	2
No aplica	2
Not Recorded.	7
One Fifth	1
Ovum	3
PREGNANT FEMALE	11
Premetamorphs, metamorphs	4
Queen; Soldier; Worker; Termitophile	1
Rotten; no development	1
SUB-ADULT	314
Several days but one fresh egg	1
Skull not ossifed	1
Slight (irregular)	1
Slight and addled and 3 3/4 fled	1
Small embryo	104
Tissue-Liver sample taken	2
UTERINE EMBRYOS	7
Unknown, 3	21
Well along (5-6 days)	1
Well started in all	2
adult 11,4 Y	1
adult 1|adult 1|nymph 1	6
adult 20|adult 16	1
adult 2|adult 25	1
adult 2|larva 1	2
adult 39|adult 159	2
adult 4|adult 1	503
adult 6|adult 14	1
adult ?	16
adult and host	8
adult and immature	2
adult female:20; adult male:25	1
adult male:2; adult female:2; adult:15	1
adult | juvenil | desconeguda	1
adult; 10 yr 7 mo 9 day	1
adult; 11 mo 6 day	2
adult; 138 day	4
adult; 2 yr 5 mo 22 day	1
alevin	21
begun (see card)	2
begun; nest held same number yes	1
class 2; subadult	11
eggs incubated	1
embryon de 219	6
fairly advanced	33
fairly well advanced	2
fresh, bird apparently sitting	1
fresh, just showing blood	1
fresh-addled	1
fresh; 1 started	6
fully developed embryo &  cracke	1
fully formed	5
half-incubated	2
just  completed	1
just begun	691
juvenil8	2
juvenile; (Fledgling?)	1
juvénile Om26	1
large embryos (caustic)	1
larvae no legs:11	11
larvae no legs:11 ; larvae with hind legs < 1cm:1	3
larvae no legs:2 ; larvae with hind legs < 1cm:2 ; larvae with hind legs > 1cm:2	1
larvae no legs:230 ; larvae with hind legs < 1cm:2	1
larvae no legs:45 ; adult male:1	1
larvae no legs:6 ; larvae with hind legs < 1cm:9 ; larvae with hind legs > 1cm:1	1
larvae with hind legs < 1cm:25 ; larvae with hind legs > 1cm:25	1
larvae with hind legs < 1cm:3 ; larvae with hind legs > 1cm:5	1
lenght < 5 cm:13 ; lenght:5-10 cm:4	1
lenght < 5 cm:5 ; lenght:10-15 cm:2	1
lenght < 5 cm:5 ; lenght:10-15 cm:24	1
lenght < 5 cm:8 ; lenght:5-10 cm:9 ; lenght:10-15 cm:4	1
lenght < 5 cm:80	2
lenght < 5 cm:80 ; lenght:5-10 cm:20	1
lenght:10-15 cm:3 ; lenght:15-20 cm:3 ; lenght:20-25 cm:2	1
lenght:5-10 cm:219	1
lenght:5-10 cm:40 ; lenght:10-15 cm:21	1
lenght:5-10 cm:42	3
lenght:5-10 cm:48 ; lenght:10-15 cm:3	1
lenght:5-10 cm:6 ; lenght:10-15 cm:7	1
lenght:5-10 cm:80	1
merest trace	1
neotenic adult	4
over half completed, one inferti	1
post larval stage I and moult	3
progressed about 1/4	1
runt	2
smallest larvae < 5cm no legs:1 ; larvae with hind legs < 1cm:2 ; larvae with hind legs > 1cm:3	1
smallest larvae < 5cm no legs:21 ; larvae no legs:104 ; larvae with hind legs < 1cm:55 ; larvae with hind legs > 1cm:93 ; metamorph with tail:2	1
smallest larvae < 5cm no legs:4 ; larvae no legs:6	1
smallest larvae < 5cm no legs:4 ; larvae no legs:81 ; larvae with hind legs < 1cm:12 ; metamorph without tail:1	1
smallest larvae < 5cm no legs:77	1
subimago 4|subimago 1	1
teneral:7; adult female:5; adult male:2; adult:15	1
têtard 2 pattes	21
v. heary -- large embryos	1
varied 1/3 to fresh	1
yearling, adult	1
yg (4 days old)	1
{"adult":13, "pulli":10}	1
{"adult":23, "pulli":0}	1
{"egg":8}	7
½ Br.	9
"""Juvenile , 1-2 mm"""	1
"""Juvenile, 2-3 mm"""	3
"Adulto; Renacuajo"	1
#6 Fresh, #4, 5 Slight trace of	1
0 adults, 3 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs	31
1 Adult, male	4
1 Indeterminate	59
1 adulto, 14 ninfas, 14 larvas	1
1 chick + 1 egg (oldest RTHA fem	1
1 egg only	1
1 hatched, 1 broken	1
1 male adult, 1 male juvenile, 2 females adults	1
1 moderate, 3 infertile (frosted	1
1 rotten; 2 half incubated	1
1 started; 3 fresh	1
1/22-2/25, hatching unknown but	1
1/3- 1/2	1
1/4; 1/3	1
10 Adults, 3 Juveniles	1
10 larvae/pupae	1
10 or 12 days	1
10D/1E	1
119 days	2
11M 10F	1
11M 5F 2J	1
13 juvenile	6
135 days	2
141 juvenile	1
15 mm	1
15F	3
16 Indeterminate	1
174 unknown	1
19 adultos	4
1B, 3B	1
1E	2
1F with acrocerid larvae	1
1St	28
1m 5f 1j	1
1st cycle	3
2 & 3yr.	2
2 MALES, FEMALE	1
2 addled eggs	1
2 eggs slight, others not starte	1
2 eggs with fully formed embryos	1
2 hembras preadulto	3
2 pupas, 1 larva	2
2 yrs.	2
2-3 yrs	3
2-3mm	5
21 adults + 31 larvae	1
213 adult	3
26 adults + 16 larvae	1
26 nymph	2
27 adults + 55 larvae	1
27 años	1
2M, 5F	4
2M1J	2
3 adults, 2 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs	4
3 fresh, 2 showing blood	2
3 small embryos ; abandoned	1
3 weeks approx	1
3.5 Months Old	2
35 adults + 10 larvae	1
3x10mm	2
4 M, 7 F	1
4 adults, 19 juveniles	1
4 days old	3
4 days- 2 eggs on 13 May	1
4 pupae, 6 larvae	4
4-6 days	5
45 adults	1
45-46	23
47 adults sex unknown	1
47 larvas	8
4F4J	1
4JJ	1
4K+	103
4M 1F 4J	1
4M 3F	10
5 Adult, 2 Juvenile, 3 Infant	1
5 about 1/4. 2 about 1/3	1
5 days, no embryonic development	1
5 pupas, 7 larvas	1
50 adults + 7 larvae/pupa	1
50 pupas, 25 larvas	1
50 pupas, 3 larvas	1
53 ADULT; 12 JUVENILE	1
5C	1
5M  4F	1
6 adults, 1 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs	1
6 tritonymph	1
7 Adult, 1 Juvenile	2
783 unknown	1
7M 13F	1
8 adults + 9 larvae	1
8/9/10F	1
9 adults, 0 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs	2
9 juveniles, 1 adulto	1
90 años	3
9A	2
9C, B	1
>5 days	1
A blob of red	1
A few days advanced	1
ADULT FEMALE	128
ADULT; MALE	7
AGAMIC	31
About 15%	2
About 48 hours	1
About to lay	1
Adult,  SVL 216 mm, tail 20 mm,	1
Adult: 24; Adult Male: 19; Adult Female: 5	1
Advanced about 4 days	2
Advanced, very	1
Badly advanced	1
Barely commenced	4
Begun. One slightly damaged.	1
Both adults present but not incu	1
CIV	8067
Captive	3
Egg clutch	7
Egg presumably from 1988 or earl	1
Eggs;Embryos;Fry	1
Emb	274
Embryo	2395
Embryo (mid-term)	2
FEMALE EMBRYO	7
FIXED/PRESERVED IN 95	1
Far advanced, 1 addled	1
Female, 1; Males, 2	1
Flower; Fruit	41
Fresh and 2 days	1
Fresh to well along	2
Fresh-deserted May 24	1
From fresh to partly incubated	1
I;; juvenile; juvenile; ovigerous	7
II; II; juvenile	1
II;; juvenile	540
INDETERMINANT	72
Infertile Or Early Death	1
Instar III	17
JUVENILE MALE, FEMAL	4
JUVENILE; ADULT MALE	2
L:14"; WCH:7"; TS:3 &5/8".; age	1
L:141; EXT:211 mm.; age by pluma	1
L:194mm; WCH:101mm; CUL:11.9mm;	1
L:236mm; EXT:370mm; WCH:110mm; a	1
Large, soft embryos	6
Lightly incubated	7
Nest 88-1	1
Not Fertile	1
One 29 Day Old Chick	1
PREGNANT FEMALES	2
Pt. Inc.  (see card)	1
Ramphocelus-fresh; Molothrus-tra	1
Rotten	26
Six days-	1
Slight - not over 2 days.	1
Staring to show blood	1
Started (1/8)	2
Two fresh and 3 slightly incubat	1
Unknown, 4	6
WCH:313; CTO:40.7; TS:34.2.; age	1
Well Advanced	8
Well developed but soft embryos	1
about 1/2 hardening embryos	1
ac/u	1
adult , adult	1
adult 18|adult 12|subimago 3	1
adult 18|adult 14	1
adult 2|larva 2	3
adult 43|adult 3	2
adult 4|adult 2	432
adult 69|adult 14	1
adult 6|adult 15	4
adult female:2; adult male:2; adult:50	1
adult male:18; adult female:18; adult:5	1
adult male:21; adult female:3	1
adult male:2; undetergent:1	6
adult; 16 day	10
adult; 294 day	2
adult; 4 yr 7 mo 9 day	2
adult; 4 yr 8 mo	2
adult; 416 day	2
adult; 54 day	14
adult; 92 day	4
adult; egg(s)	2
adulte, têtards	153
advanced/broken	1
apt.al	1
around 8 days	2
begun x 7 or 8 days	1
calf	9
calytopis	30
chick*	1
commenced. slight.	1
contained soft embyros	1
egg; larva	5
embryon a terme	1
evidently deserted, caked and di	1
evidently fresh	1
flor y fruto	5117
formed emryos	1
fresh (1 day)	8
fresh, one ovum enlarging	1
fresh--yolkless	1
fresh-started	1
fully developed	3
hardening embryo	1
host small embyros (see card)	1
in alternate plumage	2
juvenile/1st winter	1
juvenile; 8 C wk	2
large embryos:infertile	1
large emrbyos	83
larva (Small)	2
larva; pupa; adult	2
larvae no legs:11 ; larvae with hind legs < 1cm:2	1
larvae no legs:113 ; larvae with hind legs < 1cm:1	1
larvae no legs:12	9
larvae no legs:139 ; larvae with hind legs < 1cm:9	1
larvae no legs:298	1
larvae no legs:3 ; larvae with hind legs < 1cm:1 ; larvae with hind legs > 1cm:6 ; metamorph with tail:1	1
larvae no legs:50	1
larvae no legs:56 ; larvae with hind legs < 1cm:20 ; larvae with hind legs > 1cm:25 ; metamorph with tail:1	1
larvae no legs:6 ; larvae with hind legs < 1cm:20 ; larvae with hind legs > 1cm:10 ; metamorph with tail:1 ; metamorph without tail:3	1
larvae no legs:71 ; larvae with hind legs < 1cm:7 ; larvae with hind legs < 1cm:158 ; larvae with hind legs > 1cm:135 ; larvae with hind legs > 1cm:4 ; metamorph with tail:1	1
larvae no legs:9 ; larvae with hind legs < 1cm:9	1
larvae with hind legs < 1cm:10 ; larvae with hind legs > 1cm:11	1
larvae with hind legs < 1cm:110 ; larvae with hind legs < 1cm:301 ; adult male:1	1
larvae; age 15 days	2
larval	302
lenght < 5 cm:1 ; lenght:5-10 cm:28	2
lenght < 5 cm:21 ; lenght:5-10 cm:2	1
lenght < 5 cm:3 ; lenght:5-10 cm:20	1
lenght < 5 cm:81	1
lenght:5-10 cm:10 ; lenght:10-15 cm:1	6
lenght:5-10 cm:43	4
lenght:5-10 cm:5 ; lenght:10-15 cm:2 ; lenght:15-20 cm:1	1
lenght:5-10 cm:81	1
lengte 16 - 25 cm	271
moult to post larval stage	2
neonato	157
not noticable	12
nymph 10|exuvia 5	1
over	3
ovigerous; IV; juvenile	1
presumably only 2 days but rathe	1
sa	111
skull doubled	2
skull not completely ossified	5
slight to advanced	12
slightly irregular, fresh to sta	1
smallest larvae < 5cm no legs:25 ; larvae no legs:84	1
smallest larvae < 5cm no legs:3 ; larvae with hind legs < 1cm:3	1
smallest larvae < 5cm no legs:6 ; larvae with hind legs < 1cm:2 ; larvae with hind legs > 1cm:1 ; metamorph with tail:4 ; metamorph without tail:3 ; adult female:2	1
subadult(s)	3
subimago 4|subimago 2	2
taken place	2
teneral:4; adult female:4; adult:16	1
undetergent:1; adult male:6; adult female:1; adult:1	1
unossified; Immature	1
various - about half	1
{"adult":11}	3
{"adult":18, "pulli":1}	1
{"adult":33, "pulli":28}	1
{"adult":4, "pulli":2}	1
{"adult":87, "pulli":36}	1
{"juvenile":31, "adult":51}	1
~40 adults + 5 larvae	1
#1 and #2: trace of blood; #3: v	1
(Fresh) Brought to WFVZ in 1993	5
1 Adult, 14 Indeterminate	1
1 Fresh, 1 Showing Blood	3
1 LARVA	2
1 addled, 2 fresh	1
1 addled, 5 slight	1
1 day (nest held 3 eggs May 20)	1
1 egg found below MV-42.  Egg ap	1
1 much advanced, 1 addled	1
1 preadulto	4
1 pupa and 1 larva reared to adult	1
1&3fresh,2&4slight Trace Of Bloo	1
1/3 (I addled)	1
10 yrs	1
10%-15% develop embryo	1
101 adults + 13 larvae	1
12 larvae, 1 larva reared to adult stage	1
13 adults + 4 larvae	2
13 años	1
13 wks	2
14 days old chick	1
14M  11F  5J	1
16/7/85	1
164 adult	2
18 to 20 days	1
183 larvas	1
1F	3787
1M  5F  4J	1
1M 5J	4
1St?	5
2 adultos; 1 subadulto	2
2 adults + 18 larvae/pupa	1
2 fresh, 1 small embryos	1
22 years old	1
225 adultos	1
23 pupas, 28 larvas	1
25 pupas, 8 larvas	1
26,0g	6
2F 12J	1
2M  2J	8
2M 1F 9J	3
2M26F8J	1
2nd yr.	1
3 adultos, 2 inmaduros	1
3 fresh 3 incubated	1
3 larvae, 2 larvae reared to adult	1
3 larvae, 2 larvae reared to pupa	1
3 year old	2
3-strictly fresh, 1-faint trace	4
3M, 4F, 1J	3
4 FEMALES, 6 MALES	2
4 commenced	1
4 samples, all fragments; Layer	1
4 yrs  8 mos	1
4/5 or so	1
43 unknown	3
44 MESES	1
44 larvae	1
4M, 31F	1
51 pupas	1
5B, 4J	1
5D	3
5M, 3F	1
5yrs	4
6 adults + 28 larvae	1
6 pupae, 3 larvae	3
67 unknown	3
6M 1F 3J	1
7 fresh, 1 slight	1
7 mm	4
8 juvenile; 4 adult	1
8 pupae	4
8 years +	3
81 Adults, 2 Juveniles	2
8M  2F	1
8m 12f 5j	1
9 eggs, 4 larvae of third instar, 4 mature larvae, 2 pupae	1
9B	3
>10 Years	1
About 3 days in all	1
About 5%	1
About 7 days	8
Ad..	1
Adult Female: 2; Adult: 6; Adult Male: 4	3
Adult Male	2175
Adult, post-breeding	1
Adult: 16; Adult Male: 4; Adult Female: 12	2
Adult; Larva	2
Adulto, Interminada	2
Advanced, 7-8 days.	1
Aged Adult	83
All 4 Eggs: Fresh	1
All perfectly fresh	5
All three eggs failed to hatch.	1
Almost Five Days Advanced	1
BURSA 8 X 4 MM	1
Bathoniano	1
Begun 1 week +/-	1
Blank/Umoden	640
EJEMPLAR JUVENIL	37
Egg 74 died early in the lab; eg	1
Eggs and Larva	1
Eggs and hatchling	4
Feathered embryos	14
Fresh - Bird left	1
Fresh - light orange yolks	1
Fresh and trace of red in one eg	1
Fresh to 1/2	3
Fresh to one fourth	1
Fresh, slight 3 days	1
Fresh; Infertile	1
Furcilia I 5 mm	2
HY	455
Hatched 3. Early death	1
Hatched.	1
I egg not Incubated, 2 eggs incu	1
Immature; Pupa	3
Infertile, dry	1
Juvenile (?Rex)	1
L:140mm; TL:48mm; TS:14mm; WCH:1	1
L:173mm; EXT:286mm; age by pluma	1
L:175mm; age by plumage	1
L:200mm; WCH:114.5mm; EXT:352mm;	1
L:220mm; TS:28mm; TL:66mm; WCH:1	1
L:230mm; EXT:540mm.; age by plum	1
L:232mm; EXT:439mm; age by pluma	1
L:257mm; EXT:425mm; age by pluma	1
L:8&1/8in; TS:1/75in; TL:2&3/16i	1
Large Egg Infertile; Heavy In Sm	1
Latizal	65
MIXED LOTS	11
Medusa	27
Mixed- 3 fresh	1
Mysis  II	25
N/R	1
No blood	2
No data.	7
No trecorded	4
Not recorded. Nest contained 2 y	1
Not specified	1
Old. immature	1
One fifth	6
One third , varying	1
One third to two thirds incubate	1
Over One Half	1
POST-LARVA, JUVENILE	2
Practically complete	2
Probably 10 days	1
Pull	12
Ready to hatch, one egg pipped	1
SKULL 75% OSS.	1
SUB-ADULT AND ADULTS	2
Semiadulto	4
Sk.Not Comp. Oss	1
Skull 70% ossified.	1
Small	2
Stage 30	18
TENUIS LARVAE	2
Trace Of Blood & Very Small Embr	2
Two addled eggs collected; two o	1
Two slightly; 1 badly incubated	1
Two young, 14-15 days of age	1
Uneven, slight to 1/2	1
Unknown, 5	7
V, VI, VIA	1
Very Old	2
Very slightly incubated	2
Well begun; 1/3	1
[Ad. Im]	1
[Im.] Molting to Ad. ?	1
a little	3
addled/advanced	2
adult 114|adult 18	2
adult 11|adult 10	1
adult 1|adult 1|nymph 3	1
adult 1|exuvia	1
adult 28|adult 36	1
adult 4|adult 3	28
adult 76|adult 20	1
adult 82|adult 14	1
adult female:2; adult male:3; adult:1	1
adult male:15; adult female:5	3
adult; 149 day	4
adult; 187 day	2
adult; 309 day	2
adult; 385 day	4
adult; 4 mo 28 day	2
adult; immature;;	1
adult; metacercariae	2
begin in fertile eggs, runt was	1
considerately incubated	1
dawny	1
eft(s)	46
embryo well formed	2
