behavior	reps
walk; wipe bill; take flight	2
with adults at nest	2
young had fledged	1
'Larva found wild on sassafras. Pupated by 19 Sept 1965.'	1
2 young and adult taken from group of fifteen young	6
Cantando perchado en estrato medio	1
Copulando	1
Estrato medio-alto, forrajeo	1
Forrajeando en el suelo del minicorredor	1
Lively	1
M was present	1
On flowers of Erigeron	3
On flowers of Mesenbryanthemum nodiflorum	1
On sand in dry water course	14
Orilla de quebrada	1
Percha, Parte media	1
Perchados en cerca de alambre	2
Persiguiendo al ganado	1
Posado en el campo de deportes.	1
RIDING	1
Social context: flock; perch; eat	1
Taped #87-8A, 1987	1
advertise; call; contact	1
arrive; depart; feed young; carry food in bill	1
arrive; perch; hop; fly; depart	1
at nest with three young	2
bill swipes; perch; song	1
call; arrive; court; mate; forage; perform visual display	1
call; counter singing; advertise; Social context: troop	2
call; court; incubate; Social context: family	3
call; court; mate; whisper	1
call; depart; beg; Social context: family	2
call; establish flock contact; advertise	2
call; fly; stand	2
call; forage; establish flock contact; Social context: family; Social context: mixed	1
call; forage; establish parent young contact; beg; Social context: family	2
call; forage; perform visual display	14
call; mate; advertise; forage; perform visual display	1
call; mechanical sound; counter singing; bill drumming; advertise; mate; forage	1
call; mechanical sound; song	84
call; mechanical sound; song; advertise; mate; perform visual display	1
call; scold; mob	8
call; song; advertise; forage; perform visual display	6
call; song; advertise; scold; fly; emit alarm; Social context: mixed; perform visual display	1
call; song; beg; fly	1
call; song; counter singing; subsong; advertise; emit alarm	1
call; song; fly; lek; advertise	1
call; song; mate; advertise; emit alarm	1
call; song; roost; establish flock contact	2
call; swim; Social context: flock	1
care for young; perch; carry food in bill	1
carry food in bill; perch; wipe bill	1
carrying 2 fully furred, non-volant young	1
comiendo polilla	1
depart; care for young	3
diving	6
duet; song; perch	2
feeding on Mountain Ash berries, had been in vicinity all winter	1
fight; call; peck	1
fly; advertise; perform visual display; flight song; song	1
fly; call; scold; mob	1
fly; fight; call	1
flycatch; forage	5
forage; eat; bob	1
forage; fight	1
forage; land; run; depart	1
forrajeando en Cecropia sp	2
from a brood of 5 without adult female	2
from a flock of 200	3
from a group of 4	2
grunts; coughs	1
in dry stream bed	2
in rotten pine log	1
incubate; hop	1
l1 birds	1
land; perform courtship display; fly; carry nest material	1
livando en flor de Musa sp	1
on flowerrs of Eupatorium perfoliatum	1
on flowers of Asclepias syriaca	3
on flowers of Lysimachia terrestris	3
on flowers of Trifolium dasyphullum	3
one of flock 5-25; both light & dark individuals in flock.	1
perch; beg; drink; call; take flight	1
perch; call; take flight; song	1
perch; establish flock contact	1
perch; fly; forage; carry food in bill	1
perch; forage; fly; hop	1
perch; forage; take flight	12
perch; hop; lek	20
perch; wipe bill; call; ruffle; song	1
perform courtship display; perform courtship display	1
posado, acicalandose	1
preen; forage; take flight	1
preen; perform visual display; swim	1
preen; rest; flock	1
regurgitate	8
snorts	3
song recorded, mimics L. rubricata. tape 55A,B	1
song tape recorded. mimics red-throated twinspot. tape #27B. 28A	1
song; Syrinx	1
song; advertise; establish parent young contact; emit alarm; Social context: family	1
song; call; fight	1
song; scold	21
stretch; preen; rest	3
swim; preen; perform visual display	1
take flight; fly; land; call; stand	1
tape 16A: 312-370	1
taped song.	1
threaten	17
threaten; advertise; call; emit alarm; fly	1
watch; thumps	2
with ca 12 males	1
1 of 2 with 200 Herring Gulls	2
1 of 20 young of 2 age classes with single female	4
1 of pair and 2 young, male flew away	2
2 fertile eggs and 3 young birds, a few days old	1
4 - syllabled song	1
Antes de iniciar el punto	1
BOWRIDE	1
By one other. Harsh chattering call.	1
Call not typical of species- low vibration, climb.	1
Cazando desde rama seca en dosel	1
Consumiendo frutos de Coussapoa villosa (Lembo)	6
En bosque aledaño	1
Feeding on blossoms of Euphorbia cyparissias L.	1
Fledged senegala nest 14 Oct 2002.	1
Flying; Milling	97
Fraxinus	2
Hay 5 aulladores, un bebe	1
In copula with 44054	2
Libando en Montanoa quadrangularis	4
On flowers of Cornus	1
On flowers of Impatients	1
On flowers of Lonitera	5
Several seen in this busy marsh.	1
Song "whit-beer"	1
Song tape recorded, mimics L. rhodopdreia, tape #32A: 300-386	1
Song tape recorded, mimics Ortygospiza atricollis, taped song 53: 245-302	1
TRAVELLING	22
Varias bandadas en paso.	1
adult sat very close	1
arrive; enter nest cavity	1
basking / crossing road	1
bathe	154
being fed along with another by adults	1
being fed by mate	1
borde de lago	11
build nest; emit alarm; call	1
call; advertise; Social context: troop; establish flock contact	1
call; beg; care for young; fly; emit alarm; Social context: colony	1
call; cling; take flight	1
call; counter singing; arrive; mate	1
call; dawn song; depart; arrive; fly; Social context: colony	2
call; dusk song; advertise; emit alarm	1
call; establish parent young contact; care for young; Social context: colony	1
call; flight sound	3
call; flock	1
call; fly; hop	4
call; forage; establish parent young contact; beg; care for young; Social context: family	2
call; mechanical sound; bill drumming; forage; scold; emit alarm	1
call; perch; forage	7
call; song; advertise; scold; perform visual display	1
call; song; duet; Social context: family	1
call; song; mate; scold; fly	1
call; stand; walk; preen	1
cling; eat	1
collected with No 44	1
colony of about 100 nests	2
depart; perch; call	1
eat; call; stand	1
eating a Plymouth Rock Rooster	2
eating frog	1
emit alarm; forage; call	2
feed young; sit on nest	10
flap; rest	2
flock of 6 juv & adults	1
fly; advertise; contact; call; mechanical sound; song	1
fly; bathe	1
fly; call; flight song; song	2
fly; flight sound; mechanical sound	1
fly; land; eat; take flight	1
fly; surface dive; call	1
fly; take flight; call	1
flycatch; preen; perch	1
forage; defecate; walk	2
forage; eat; capture prey	6
forage; emit alarm; establish flock contact	1
forage; wade; walk	2
forage; walk; eat; capture prey	1
forage; walk; wade	1
hop; hover; forage; take flight; perch	1
in garden pecking at ripe tomatoes	2
incubate; build nest	1
mechanical sound; call; fly; forage	1
mechanical sound; fly	45
mechanical sound; song; fly; perform visual display	3
near nest hole	2
on spurs of Delphinium berberyi	12
one of two nestlings	1
parent of young just out of nest	1
peck; probe	7
perch; carry food in bill; forage; eat	1
perch; hop; song; take flight	1
perch; wipe bill; depart; song	1
perform courtship display; hop; call; perch	1
pheromone trap NJ-WM2010-10	12
preen; stand; scratch; take flight	1
seen carrying food and fretting at intrusion	1
singing 'fee-beo'	1
sit on nest; perform courtship display; fight; preen	1
song mimics L-rubricata, cassette A98. Tape 9B: 210-282.	1
song tape recorded, tape #31A: 110-264	1
song taped, mimics L. rhodopareia. tape 27A: 135	1
song; Social context: troop; Social context: mixed	2
song; advertise; fly; Social context: colony	1
song; counter singing; duet; advertise	13
song; fly; perform courtship display	2
song; stand; take flight	1
stand; defecate; bob; stretch	1
swim; wade	1
take flight; call; song; perch; fight; perform visual display	1
trepando árbol quemado	1
vocalize; fight	2
volando hacia un lago cercano	1
wade; stand; chew	1
walk; Social context: colony	2
walk; swim	7
walk; wade; stand	2
with Larus philadelphia	1
|	518
1 of 4 in brood	4
3 large colonies on this Island, ca 1000 birds	18
Alnus incana	27
Atendiendo nido, dos adultos	1
Cantando en parte alta de rama	1
Comiendo Cecropia sp	1
Comiendo chicharra	2
Comiendo de arrayan (Myrcia popayanensis).	3
En bandadas.	1
En palo seco forrajeo	1
En palo, forrajeo	3
Flew to active camerunensis call site tree.	1
Forrajeando de Zyzygium guajaba	1
Implanted, song ~ L. rara	1
Malus domestica	1
Mother -/r or y/g, father r/o.  Laid in Lagonosticta senegala nest on roof aviary.  Fledged 22 Dec 1994	1
On floor of dry watercourse	33
Overbark; commercial volume	6
PARASITIZING	1
PATTERIN	2
Percha en árbol	3
Pidiendo alimento a unos de los padres	1
Revisar otros dos cantos	2
Se oyen aulladores, hay 6 individuos	1
Sigue la pasa.Algunos bandos pequeños en vuelo inverso.	1
Social context: colony; perch; care for young; call	1
Social context: family; establish flock contact	2
Social context: flock; fly; land	1
advertise; call; song; dusk song	1
arrive; care for young; depart; call; beg	1
arrive; depart; fly; establish flock contact; advertise; call; song; perch	1
arrive; depart; perch	3
at Eupatorium sp. (white flowers)	1
be displaced; displace; land; take flight; perch	1
beg; call	90
being fed by Grey Shrike-Thrush (Colluricincla rufiventris) on ground	1
bill swipes; eat; take flight; carry food in bill; land	1
call; arrive; forage	1
call; bill swipes; depart; perch	1
call; depart; court; perform visual display	1
call; drum; song	1
call; flight sound; mechanical sound; fly	1
call; flush; arrive; fight; establish flock contact	1
call; mechanical sound; fly; mate	1
call; mechanical sound; mate; establish parent young contact; beg; emit alarm; perform visual display	2
call; mechanical sound; song; advertise; court; copulate	1
call; mechanical sound; song; court; copulate; perform visual display	1
call; mob; Social context: mixed	1
call; mob; fly	4
call; perch; fly	8
call; preen; sit on nest	1
call; scratch; perch; forage; hop; wipe bill; eat	1
call; song; advertise; scold; mob	1
call; song; advertise; whisper; scold	1
call; song; mimicry; perform visual display	1
call; wing flaps; Social context: flock; mechanical sound	2
called 'whitlocki'	2
care for young; scold; emit alarm	2
carrying two caterpillars, 17 and 18 mm	1
coll.on C.u.	1
court; call; wing flaps; fly; mechanical sound	1
dead on road (dying)	8
defecate; preen; vocalize; wipe bill	1
depart; defecate; song; perch	2
drowned	1
eat; forage; fly; defecate	2
eat; stand; hop	1
feeding mid channel	26
feeding on station	2
flap; walk; call; run; forage	1
flight song	1
fly; advertise; contact; call; song	1
fly; forage; court; establish flock contact	1
fly; soar	20
flycatch; forage; fly	1
forage; cling; ruffle; take flight	1
forage; eat; walk; take flight	1
forage; moos	1
forage; ruffle; walk	2
foraging on Picea mariana cones	2
from a group of young just leaving nest	1
had nest with 2 young	2
in flocks	25
laying egg	579
mechanical sound; call; subsong; mate; court; perform visual display	1
mechanical sound; fly; call	4
mechanical sound; song; emit alarm	1
mimicked song of L. rubricata, tape 40A: 178-410	1
mimics L. senegala, songs same as E#1, tape 14 May 1997 3B:172-280	1
on Erigeron canadensis	84
on Koeberlinia spinosa.	2
on flowers of Pedicularis	7
on flowers of Trifolium pratense	31
on flowers of lonicera	1
one of pair	4
perch; defecate; ruffle	1
perch; displace; be displaced; take flight	1
perch; hold food in bill; swallow; eat	1
perch; hop; forage	8
perch; scratch; song	1
perch; scratch; stretch	1
perch; stick out tongue; defecate; take flight	1
perch; wipe bill; hop	2
perform courtship display; preen	6
perform courtship display; swim	6
perform visual display; call; perch; hop	8
perform visual display; call; song; perch	2
perform visual display; sit on nest	11
perform visual display; stretch	1
preen; song; scratch; fly	1
rest; swim; Social context: flock	1
sit on nest; carry food in bill; fly	1
sit on nest; copulate	1
sit on nest; perform nest relief; allopreen; incubate	1
slither; Aggression/defense	3
solicit copulation; call; perch; perform visual display	1
song tape #11A	1
song tape 2001 #1A: 340-440	1
song taped - mimics L. senegala, song tape #22A	1
song; advertise; forage; Social context: family	3
song; duet; forage; Social context: family; establish flock contact	2
squeaks; pant; grunts	1
stand; eat; walk	3
stand; forage; take flight	1
stand; walk; drink	1
take flight; bill swipes; perch	1
take flight; stand; call	1
taken on nest containing seven eggs	1
tape 14	1
vocalize; sit on nest	2
volando y aterrizó en potrero	1
walk; fly	7
walk; forage; probe	3
with female Anas rubripes	2
yawn	10
Cazando desde percha en copa de árbol	1
Consumiendo frutos de Hamelia patens	1
Consumiendo frutos de una Myrcia popayanensis Hieron (arrayán)	3
Dos al vuelo	2
En Bandada	8
En nacedero (Trichanthera gigantea)	1
En suelo y cerca	1
En árbol de ramas secas	1
Female parent was away but returned upon climbing tree	1
Flying with white fluff (plant fibres)	1
Forrajean en tronco de plama	2
Forrajeando en estrato bajo borde de guadual	1
Forrajeo en árbol	2
Found dead on can in outhouse	4
On flowers of Scutellaria lateriflora	6
On sand hummocks	5
On stem	4
SIT	614
Social context: colony; Social context: mixed	2
Social context: colony; call; perch	5
Social context: herd; walk; run; call	1
To car win[d]screen 'water'	36
aconitum sept.	1
adult female and seven siblings nearby	2
basking in burned pinewoods	2
beg; care for young; call	1
beg; swim; call	1
both adult became very excited when collector was near nest	1
call; Social context: colony; Social context: family	3
call; advertise; emit alarm; Social context: colony	1
call; advertise; establish flock contact; Social context: troop	1
call; advertise; scold; perform visual display	1
call; care for young; establish parent young contact; beg	6
call; forage; Social context: troop	14
call; forage; mechanical sound	9
call; mechanical sound; emit alarm	33
call; mob; emit alarm	14
call; scold; fly; perform visual display	1
call; scold; mob; emit alarm; Social context: mixed	1
call; song; mate; fly; perform visual display	1
call; swim; forage	1
capture prey; Locomotion	2
care for young; brood; carry food in bill; feed young; incubate	1
carry nest material; collect nest material; call; perch	1
carrying nesting material	1
chase prey; surface dive	1
cling; take flight; forage	1
collecting pollen and nectar from Phacelis argentea	1
copulate; fly; perch	1
counter; counter singing; song	1
court; perform visual display; call; song	1
crossing	4
dabble; swim; preen	3
dando vueltas sobre Urgull	1
drink; walk	8
eat; swallow; surface dive	1
eat; swallow; take flight	1
eat; take flight; perch; call	1
feed young; roost	1
fly; call; song; perch; contact fledgling	1
fly; song; call; mechanical sound; perform visual display; duet	1
fly; stand; sit on nest; rest; brood	2
fly; swim	29
forage; fly; land; walk	1
forage; swallow	3
found dead	1
from a nest in birdbox of 5 young	1
grass seeds in pouches	1
in flock of conspecifics in seeding grass	1
in small parties	2
incubate; call	4
land; build nest; take flight	1
libando en clusia 6m sobre el suelo	1
lie; sleep	2
mate; solicit copulation; call	1
mated to salmon shafted male	2
mechanical sound; advertise	88
mechanical sound; advertise; fly	6
mechanical sound; counter singing; song; bill snap	1
mechanical sound; mate; court	1
molt; slither	1
on flowers of A.s.	6
on flowers of Aguilegia caerulea	9
on flowers of Vicia	34
on water	218
pant; perch	1
parte baja de arbustos	1
perch; call; hop; lek	2
perch; copulate; walk	1
perch; hop; defecate	1
perch; lek; forage; hop	1
perch; scratch; allopreen	1
perch; take flight; song	9
perch; take flight; walk	1
perch; yawn	3
perchado en rama	1
perform courtship display; preen; perch	1
perform courtship display; sit on nest; call; build nest; fight; attack	1
perform courtship display; stand; preen; walk	1
perform visual display; flush; fly	1
run; perform courtship display; walk	1
scratch; stand; forage; walk	1
singing in same tree where 4334, 4335 were. song tape #7: 520-556	1
sit on nest; Social context: colony; incubate; perch; call	1
sit on nest; call; beg; preen	1
sleep; lie	2
slither; yawn; rest	1
song tape 1996 #19A	1
song; advertise; court; Social context: colony	1
song; build nest	3
song; call; advertise; scold	12
song; call; flight song	2
song; counter singing; advertise; Social context: family	3
song; dawn song; mate; Social context: family	2
song; dusk song; advertise; perform visual display	1
song; dusk song; mate; advertise	1
stand; Social context: herd	2
stand; bob	1
stand; hop; depart; peck; forage	1
tape #13: 570-660	1
tape #17: 052-102	1
tape 1995 #5,6	1
threaten; call; roost	1
unable to boom properly, uttered single, soft hybrid note, like many other hybrids	2
volando sobre montaña	1
wing flaps; fly; call; hop	1
with Dendroica virens and Dendroica striata	1
1 of ca 500 yg	2
Acicalando	9
Aggression/defense; emit alarm; duet; song	1
At Cephelanthus flowers	1
Construyendo nido en palma de chonta	1
Consumiendo frutos de Miconia sp.	1
En leguminosa parte alta	1
En lek	7
Entran del mar, dan una vuelta por el Abra y salen a mar abierto dirigiéndose hacia el Este.	1
Forrajeando en arvenses y arbusto de café	1
Libando en Trichantera gigantea (Quiebrabarrigo)	2
Libando en flor roja	1
Not a breeder	1
On flowers of Epilopium anqustifolium	1
Parte alta de arbusto	1
Percha en ramas secas	1
Reared by Lonchura striata, calls taped 1992 #3A	1
Volando bajo cruzando pastizal	1
advertise; perform courtship display; song; perch; Syrinx	1
advertise; perform courtship display; vocalize; mechanical sound	1
advertise; scold	2
arrive; depart; call	2
build nest walls	3
call; emit alarm; Social context: herd	1
call; emit alarm; Syrinx	1
call; flush; fly	26
call; fly; Social context: troop	17
call; forage; establish parent young contact	2
call; forage; scold; Social context: mixed	3
call; incubate; fly; Social context: colony	1
call; mechanical sound; advertise; court	4
call; mechanical sound; bill drumming; advertise; forage; perform visual display	1
call; mechanical sound; bill drumming; mate; forage	4
call; mechanical sound; depart; fly; arrive; court; forage	1
call; mechanical sound; flight sound	2
call; mechanical sound; fly; forage; scold; fight	1
call; perch; Aggression/defense	1
call; perch; perform visual display; defecate	1
call; perch; take flight	16
call; song; advertise; mate; emit alarm	9
call; song; court; mate; forage	1
call; song; duet; mate; advertise; establish parent young contact	1
call; song; establish parent young contact; beg; care for young; Social context: family	4
call; song; scold; Social context: mixed; Social context: colony	2
calling distinctively like a Eastern Wood Peewee	1
capture prey; eat; forage; probe	1
capture prey; swallow; swim	1
collected after dark on gravel road	2
contact; call; Aggression/defense	1
contact; court; call	1
copulate	46
court	68
court; mechanical sound; counter singing; advertise; call; song	1
depart; carry food in bill; perch	2
en arbusto de potrero	1
establish flock contact; advertise; call	5
feeding mate	1
flap; fly; soar	1
flew to male amauropteryx at male song post. was courted.	1
fly; advertise; perform visual display; call; mechanical sound	1
fly; plunge dive; land; forage; swim	1
fly; roost; land	1
fly; swim; bathe	1
forage; call	264
forage; call; sally	1
forage; preen; ruffle; swim	1
forage; stand; sit on nest	1
forage; wipe bill	10
found wild on crotalaria striata	7
from a flock of 20 at sea	2
from a group of 8	1
from a mixed flock in marsh	1
groom; rest	2
island colony	2
junto con Tangara vitriolina en un arbol	1
mate; fly	3
mechanical sound; song; duet; perform visual display	2
on Rosa multiflora	15
on flowers of Aquilegia caerulea (blue)	1
on flowers of Castilleja rhexifolia (red)	13
on flowers of Delphinium nelsoni	2
on flowers of Pedicularis groenlandicus	2
parent of nest and 5 eggs	2
perch; Social context: flock; roost; call	1
perch; call; hop; perform courtship display; depart	1
perch; feed young	1
perch; hop; bill swipes; call; depart	1
perch; preen; perform visual display; song	2
perch; take flight; call; forage; land; flycatch	1
perform courtship display; lek; regurgitate	1
perform visual display; wing flash; call; take flight; perch	1
rest; preen; Social context: flock	2
run; forage; fly; call	1
sang trill & alarm stutter of L. rhodopareia, tape #23	1
singing on territory for 3 weeks	1
song tape 1999 #17A	1
song tape recorded, mimics Pytilia melba citerior	1
song; call; beg	4
song; call; court; mate; beg; perform visual display	1
song; counter singing; advertise	349
song; counter singing; dawn song	8
song; establish parent young contact; care for young; Social context: family	1
stretch; song; perch; preen	1
surface dive; carry food in bill; feed young; preen	1
surface dive; swim; mechanical sound	1
swallow; fly	1
swim; stretch; stand	1
take flight; perch; scratch	1
threaten; perform visual display	1
volando rápido	6
walk; Social context: colony; perch	4
walk; emit alarm; call; bob	1
wing flash; tail flash; perch; take flight	1
wipe bill; perch; preen; eat	1
with brood of 11 young	2
with female in slough	2
with others	2
(32+6)en vuelo migratorio,el resto,en la zona.	1
1 of 8 young	4
Alimentandose en níspero (Eriobotrya japonica)	1
Atacada por un Zimmerius	1
Canto en dosel, forraje	1
Canto, parte alta de arbusto	2
Cantos	3
Cerca al agua hacia desembocadura del río	1
En dosel de Higueron	1
En parte mediaa baja, arbusto seco	1
En rastrojo cercano	1
Feeding in plowed, burned field with adult Vidua nigeriae. Quail Finch feed here also.	1
Fledged young accompanying	1
On flowers of Sisymbrium	4
PLUNGE DIVING	26
Parte baja, forrajeo insectos	1
Percha, parte alta de arbol	2
Perchados en Cecropia angustifolia	3
Perchados en dosel, llegaron del cafetal	1
Social context: flock; fly; forage	2
Social context: flock; roost; perch	2
Social context: flock; sit on nest; call	1
Song mimics A. subflava	1
Tape 13	1
Vocalización de cortejo	1
adults and 1 other young present	2
advertise; forage	27
advertise; song; Visual	1
associating with sparrows for some time	1
beg; call; feed young	4
breath sounds; swim; mechanical sound	2
breeding	1
brood; incubate; preen; call	1
call; dawn song; fly	2
call; emit alarm; Social context: troop; perform visual display	10
call; flight sound; fly	3
call; fly; song	3
call; rest; perch	1
call; song; fly; advertise	13
call; song; lek; fight	1
collect nest material; preen	1
court; song; call	1
dawn song; advertise; song; call	1
depart; advertise; preen; mechanical sound; peeps	1
eat; peck	3
eat; swallow	9
eat; walk; swim; forage	1
emit alarm; scold	1
establish flock contact; take flight	1
feed young; call; beg; fly	1
feeding - flew to singing neumanni #4919	1
female feigned wounded, male nearby	1
fly; beg; preen; call	1
fly; cling; perch	1
flying over water	6
forage; Social context: flock; fly	1
forage; fly; hop; song	1
forage; peck; cling	1
forage; swim; eat	1
from a nest of 7 siblings	2
from heronry of 9 nests	2
grito que hacen unos tapaculos, un tipo de llamada	3
grunts; eat	1
had nest with 5 young	1
had set of 2 eggs	2
ice edge	2
incubate; sit on nest; rest	1
land; fly; forage	1
land; perch	3
laughs; grunts	2
mate; Social context: colony	1
mate; advertise; forage	1
mechanical sound; advertise; court; fly; perform visual display	1
mechanical sound; dawn song	4
mechanical sound; forage; Social context: herd; establish flock contact	1
mechanical sound; song; depart; forage; fly	1
on Beach Pea	3
on flowers of Althaea	13
on flowers of Aquilegia caerulea (white)	7
on ground pecking in rotten log	2
out of nest, running about on sand	2
perch; hop; lek; depart	4
perch; roost	2
perform visual display; preen; call; perch; defecate	1
pyrus communis	1
reared from nest of magachile on which it is narasitic	1
sit on nest; perch; Social context: colony; preen	3
song recorded, mimics L. senegala, tape #20: 267-394	1
song; call; copulate	1
song; call; court; perform visual display	1
song; counter singing; establish flock contact	1
song; duet; advertise; mate; fly	1
stretch; perch; song	1
take flight; forage; perch; be displaced; land; displace	1
take flight; perform courtship display; perch; preen; song; perform visual display; defecate	1
take flight; preen	6
taken from nest with 3 young	1
to eury. female - Davis	1
veing fed by adults	1
walk; forage; stand; perform courtship display	1
walk; perform visual display; perch	1
walk; stand; defecate	1
was singing (dispersed lek?) high in canopy	1
with KZ 2929 & F 13539	1
with eggs	1
with parent	53
1 of 2 young seen	1
1 of 35 found dead on shore of islands	2
1 of 6 siblings	12
1 of pair with 3 eggs	2
Canto de macho en lek	2
Carrying mud pellet.	1
Cazando insectos desde perchas en dosel	1
Cerca a colonia de nidos de oropendola, perseguidos por dos individuos de esta especie	1
Escape de agresión por Tyrannus melancholicus	1
Flying over pool	1
Forrajeando en arvenses	3
Forrajeo en Cecropia	1
Forrejeando	1
Libando en flores de Ipomoea trifida	1
Llevando material para construir nido	1
Nesting in sloping sand bank	1
Observed resting in full sunlight on an old fallen pine tree trunk with peeling bark. It moved into a more shaded position	1
On flowers of Aster	14
One of two caught as they fluttered from nest containing a third and a rotten egg.	1
Perchado en rama seca de cítrico	1
Prey insects.	1
Social context: flock; sit on nest	1
Tres individuos forrajeando	2
Un macho y dos hembras sobrevuelan el abra en dirección sur	1
Volando río arriba.	1
Vuelo, percha en parte media	1
["Butterfly Eye-Glow Study"]	2
adult female of nest and four eggs in collection	1
advertise; perform visual display	13
arrive; depart; fly; advertise; contact; song	1
arrive; depart; mechanical sound; defecate	1
arrive; depart; perform courtship display	6
arrive; preen; call	1
at nest hole, emerging	2
at nest in sand bank of river	1
bathe; call	2
bird left nest, called very little	2
brood; hatch; sit on nest	1
build nest walls; sit on nest	2
build nest; perch	2
call; Social context: colony; roost	2
call; care for young; emit alarm; Social context: family	2
call; court; beg	1
call; depart; mate	1
call; fly; flush; advertise	2
call; forage; Social context: family; establish flock contact	8
call; forage; song	4
call; forage; walk	3
call; groom	1
call; mate; forage; roost	1
call; mechanical sound; advertise; mate; fly	1
call; mechanical sound; subsong	1
call; perch; perform visual display; hop	1
call; perform courtship display; song	1
call; song; advertise; establish flock contact	40
call; song; advertise; perform nest relief; care for young; emit alarm	1
call; song; duet; mate; advertise	12
call; song; dusk song; advertise; scold	1
capable of flight	8
carry food in bill; exit nest cavity; enter nest cavity	1
crossing road at 1905 hours	1
dabble; forage	4
dawn song; advertise; scold	1
depart; perch; tail wag; wing flash	1
depart; scratch; Acoustic	1
drink; stick out tongue; take flight	2
emit alarm; perform visual display; call	1
en parte alta de árbol	2
flap; stretch	1
flock; fly; establish flock contact; song; call	1
fly; advertise; dawn song; flight song; song	1
fly; call; depart	1
fly; defecate; soar	1
fly; depart; song; call	1
fly; excavate cavity	1
