reproductiveCondition	reps
HOW SEXED: GONADS, LEFT TESTES 8 X 4.5 MM. RIGHT TESTES 6 X 5 MM.	1
HOW SEXED: GONADS, LEFT TESTIS 4 X 2 MM.	1
HOW SEXED: GONADS, LEFT TESTIS 8 X 7 MM, RT 7 X 6.	1
HOW SEXED: GONADS, TESTES 1.2 X 0.8 MM.	3
HOW SEXED: GONADS, TESTES 14 X 8 MM.	5
HOW SEXED: GONADS, TESTES 4 X 3.3 MM, 4.5 X 3.5 MM, PINKISH WHTE.	1
HOW SEXED: GONADS, TESTES CIRCA 12 X 7 MM, DECOMPOSED.	1
HOW SEXED: GONADS, TESTES CIRCA 2 X 2 MM, DECOMPOSED.	1
HOW SEXED: GONADS, TESTES LEFT 2 X 5 MM, RIGHT 2 X 5 MM.	1
HOW SEXED: GONADS, TESTES LEFT 4 X 5 MM, RIGHT 3 X 4, PALE GRAY. CLOACA RATHER ENLARGED.	1
HOW SEXED: GONADS, TESTES LEFT 6 X 1 MM, RIGHT 4 X 1 MM.	2
HOW SEXED: GONADS, TESTES LEFT 9 X 3 MM, RIGHT 9 X 2.5 MM.	1
HOW SEXED: GONADS, TESTES LEFT 9 X 6 MM, RIGHT 7 X 6 MM.	1
HOW SEXED: GONADS, TESTES LEFT 9.5 X 4 MM, RIGHT 8.5 X 3 MM.	1
HOW SEXED: GONADS, TESTES NOT ENLARGED, 1.2 X 1 MM.	1
HOW SEXED: GONADS, TESTES RIGHT 5 X 3 MM, LEFT 6 X 4 MM.	1
HOW SEXED: GONADS. BREEDING CONDITION, EGG IN OVIDUCT.	2
HOW SEXED: GONADS. OVARIES ENLARGED	2
HOW SEXED: GONADS. OVARIES ENLARGED, BELLY BARE.	2
HOW SEXED: GONADS. OVARIES, LEFT 9 X 2 MM, RIGHT 7.5 X 1.5 MM.	1
HOW SEXED: GONADS. OVARY (DIAGRAMED) GRANULAR, DUCT LUMPY.	2
HOW SEXED: GONADS. OVARY 10 X 4.5 MM, MANY OVA < 1 MM.	1
HOW SEXED: GONADS. OVARY 14 X 8 MM, LARGEST OVUM 1.5 MM.	2
HOW SEXED: GONADS. OVARY 15 X 15 MM, SEVERAL OVA 4 MM.	1
HOW SEXED: GONADS. OVARY 15 X 4 MM, LARGEST OVUM 2.5 X 2 MM.	1
HOW SEXED: GONADS. OVARY 15 X 5 MM, LARGEST OVUM 1.5 MM.	1
HOW SEXED: GONADS. OVARY 16 X 4 MM, OVA VERY SMALL.	2
HOW SEXED: GONADS. OVARY 2 X 2 MM, DRAWN.	1
HOW SEXED: GONADS. OVARY 20 X 6 MM, GRANULAR.	1
HOW SEXED: GONADS. OVARY 21 X 8 MM, LARGEST OVA 1 MM.	1
HOW SEXED: GONADS. OVARY 25 X 9 MM.	1
HOW SEXED: GONADS. OVARY 3 X 5 MM, OVA 1.5 MM, LARGEST 567 MM.	1
HOW SEXED: GONADS. OVARY 3 X 7 MM, DRAWN.	1
HOW SEXED: GONADS. OVARY 3 X 9 MM.	1
HOW SEXED: GONADS. OVARY 35 X 20 MM, LARGEST EGG 12 MM.	1
HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGGS 1 X 1 MM.	1
HOW SEXED: GONADS. OVARY 8 X 3 MM, LARGEST OVA 0.5 MM.	1
HOW SEXED: GONADS. OVARY 8 X 4 MM, LARGEST EGG 1 MM.	2
HOW SEXED: GONADS. OVARY 9 X 4 MM, OVA TO 2 MM.	1
HOW SEXED: GONADS. OVARY ADULT, DRAWN. RED CROWN FEATHERS.	1
HOW SEXED: GONADS. OVARY CIRCA 3 X 4 MM, SMASHED, OVA TO 1 MM.	1
HOW SEXED: GONADS. OVARY CIRCA 5 X 3 MM, OVA TO 1 MM.	2
HOW SEXED: GONADS. OVARY DRAWN, GRANULAR.	43
HOW SEXED: GONADS. OVARY DRAWN, GRANULAR. DUCT NOT LUMPY.	1
HOW SEXED: GONADS. OVARY LEFT 10 X 6 MM.	1
HOW SEXED: GONADS. OVARY, LARGEST YOLK 7 MM.	1
HOW SEXED: GONADS. POSSIBLE TESTES MUSHY, CIRCA 2 X 1 MM, DECOMPOSED.	1
HOW SEXED: GONADS. TESTES? DRAWN.	1
HOW SEXED: GONADS. TRACE BLUE ON CROWN.	1
HOW SEXED: SEX DETERMINED BY PLUMAGE.	1
HOW SEXED: UNMARKED MEANS. BREEDING.	9
HOW SEXED: UNMARKED MEANS. OVARY: 8X4MM. LARGEST OVULE LESS THAN 2X2MM.	1
HOW SEXED: UNMARKED MEANS. POSSIBLY MISSEXED [RKP].	1
J. H. Gerould research: C	1
Lact; 5 pac scars	1
Lact; pac scars:3(R)&2(L)	1
Lactating Plactential Scars 2R 2L	1
Larva Sep 2000. Quercus Falcata, prepupal 30 Oct, ecl. 6 Jul 2001.	1
Larvae hatched 10 May 1995 sleeved on Quercus phellos. Spun Ca. 25 June - 5 July. ecl. 1 May 1996	1
Male, Tissue-scale clips	1
NB (20 x 14)	1
Ovaire : 13 mm.	1
Ovaires développés	1
Ovary: 1.5 x 1.2 mm	2
Ovary: 3 x 2 mm	5
Ovary: 6.5 x 3.5 mm.  Largest follicle: 1.5 mm. Oviduct thin, undeveloped	1
Ovocytes de 4 mm, oviducte très dilaté.	1
Plumage nuptail	1
Pupa found 09 Sep 1984, emerged 15 Oct 1984	1
Reared in lab; F1 of female no. 155	1
T = 18x11	1
T= abt 13	1
T=1.5x1.8mm, scr.	1
T=12x6	8
T=12x7, nonscrotal	1
T=17.2 x 12 mm	1
T=2 x 1 mm	15
T=2.8x4.7mm, scr.	2
T=3 x 1.5 mm	1
T=4.3x5.7mm, scr.	1
T=6x8 (L)	1
T=7 mm	165
T=8 X 5 mm	4
T=9 X 5mm, scrot.	1
T=9mm	8
T=very large	1
TA (3 x 1)	18
TA (3 x 2.5)	1
TA = 9x5	2
TA=7x3	21
TS 12 X 6	1
TS = 13x8	2
TS= 13 x 6	1
TSM (11.5 X 6.6)	1
TSM=12x6	1
Testes 6 mm	2
Testes not found (neutered?) but claimed male by owner.	1
Testes: 10 x 7 mm	1
Testes: L 1 x 4, R 1 x 2 mm	1
Testes: L 19 x 13 mm, R 18 x 14 mm	2
Testes: L 2 x 1 mm, R 2 x 1 mm	13
Testes: L 4.5 x 1.5 mm, R 3 x 1.5 mm	2
Testes: L 5.5 x 3, R 4 x 3 mm	1
Testes: L 6 x 4 mm, R 6 x 4 mm	2
Testes: L 6 x 5 mm, R 5 x 4 mm	2
Testes: L 6.5 x 2 mm, R 5 x 1.5 mm	2
Testes: L: 9 x 4 mm, R: 8.5 x 4 mm	1
Testes: Left: 0.0352g, Right: 0.0750g.  Testes: L 6.0 x 3.5, R 6.0 x 5.0 mm.	1
Testes: Left: 0.0501g, Right: 0.0396g.  Testes: L 5.5 x 4.0, R 5.0 x 4.0 mm.	1
Testes: left: 0.0714g, right: 0.0642g.  Testes:  L 6.5 x 4.5, R 5.5 x 5.0 mm.	1
Testes: left: 0.0896g, right: 0.0701g.  Testes:  L 7.0 x 5.5, R 6.0 x 4.5 mm	1
Testes: left=0.0198g, right=0.0108g	1
Testicules 2 x 1 mm.	1
VC, pg, R2, L4, CRL=23 mm, mammae large	1
VO, 10 placental scars, 3L, 7R	1
Vag open, 2 pac scars	1
With cystocarp	1
aterile; fertile	1
black box box #2	1
brood patch 0, lrgst follicle 3.5 mm, oviduct developed	2
brood patch 3, vascularized, t: l 7.3x5.6, r 6.3x5.3 mm, vas deferens developed	2
brood patch 5, t: l 10.9x5.2, r 11x4.4 mm	2
brood patch active, old ruptured follicles, ovary granular	4
brood patch down covered feathers regrowing	2
brood patch downy, oviduct enlarged, follicle 1 mm	2
considerable mammary tissue	1
contained eggs size of peas	2
ecl. 27 August 1993	1
egg ready to lay and 4 yolks	2
emerged 19 may 1957	1
ex ovis ecl. Sept. 1977	1
female cone present	1
floración	119
gonads reduced	2
gonads=ovary 1.4 mm; granular	1
gonads=ovary 10 x 10, lg ova 5 mm	1
gonads=ovary 12 x 5, lg ova 1 mm	1
gonads=ovary 12x18mm, egg in oviduct, 2 ruptured follicles	1
gonads=ovary 15 x 6 mm; largest ova 3 mm	1
gonads=ovary 4.5 x 3 mm, granular	1
gonads=ovary 5 x 2.5 mm; granular; ova minute	1
gonads=ovary 5 x 2.5, lg ova 0.5 mm	1
gonads=ovary 6 x 3, lg ova 1 x 1 mm	1
gonads=ovary 8 x 7 mm; lg ova 1 mm	1
gonads=ovary 9 x 8, lg ova 3 mm, oviduct convoluted	1
gonads=overy 8 x 4 mm, ova minute	1
gonads=testes (L) 8 x 4 & 7 x 5, seminal vesicles 3 x 2 mm, tubules visible	1
gonads=testes (L) 8 x 5 mm; (R) 6 x 4 mm; one seminal vesicle 4 x 3 mm; tubules enlarged	1
gonads=testes 0.8 x 0.3 mm	1
gonads=testes 1.5 x 1 mm, yellowish	1
gonads=testes 12 x 10 mm - 9 x 10 mm	1
gonads=testes 12 x 8 mm; seminal vesicles visible 4 x 4 mm	1
gonads=testes 2 x 1mm	1
gonads=testes 2.5 x 1.5 mm	10
gonads=testes 4 x 3 mm	49
gonads=testes 4 x 4 mm; L white, R black	1
gonads=testes 4.5mm	6
gonads=testes 4x12mm	3
gonads=testes 5 mm; seminal vesicles enlarged	2
gonads=testes 5 x 3 (L) & 7 x 3 mm	1
gonads=testes 5 x 3 (L) and 5 x 4 mm	1
gonads=testes 5 x 3 mm; seminal vesicles not enlarged	3
gonads=testes 6 x 5 mm; one seminal vesicle 4 x 3 mm, tubules enlarged	1
gonads=testes 8 mm; brood patch=present	2
gonads=testes 8x21mm	1
gonads=testes ~3 mm	1
gonads=testi 4 x 2 mm	1
gonads=unshelled eggs in oviduct	1
granular ov: 20x10 mm, granular	2
lactating; placental scars > 3R + 2L	1
larva found wild on Artemesia dracuculoides, ex pupa 15 Aug. 1967, eclosed 1967.	2
larva on Pinus near serotina, prepupal (02 July 2001), ecl. 17 April 2002.	1
larva reared on urtica	3
left testes 7 x 2 mm	1
lgst ovum= 1.1mm	1
lrgst ova: 23x27, 16x17, 9x10, 6x7 mm	2
lt: 3.5x4, rt: 4x3.5 mm	1
lt: 3x3, rt 5x3 mm	1
ov: 10x12, lrgst ovum: 6 mm	1
ov: 10x6 mm, enlarged oviduct	1
ov: 11x5, granular	1
ov: 11x5, lrgst ova: 2x2 mm	6
ov: 11x5, lrgst ovum: 3 mm	2
ov: 11x6 mm, granulated	2
ov: 12x4 mm, granular	6
ov: 12x9 mm, lrgst ova: 3 mm	2
ov: 14x9, ovum: 3x2, 3 ova: 2x2 mm, oviduct enlarged	1
ov: 18x10, ova: 10x10, 4x4 mm, shelless egg in oviduct	1
ov: 18x13x6 mm, well developed	2
ov: 18x20 mm	2
ov: 20x9 mm	6
ov: 23x15 mm	2
ov: 2x3 mm, milky	4
ov: 30x15, ova: 4x4 mm, oviduct enlarged	2
ov: 35x25, ova: 11x12, 10x11, 13x15 mm	2
ov: 3x4 mm	240
ov: 4x2 mm, lrgst ovum: 1.5x1.5 mm	1
ov: 4x3 mm, meas from label	1
ov: 5x 3 mm, measurement from label, enlarging	1
ov: 5x5 mm, granular, small brood patch	1
ov: 6x3 mm, 1x1	1
ov: 6x5 mm, from drawing	2
ov: 6x5, lrgst ova: 3x3 mm	2
ov: 6x6, lrgst ov: 1.5 mm, 4 ruptured follicles	1
ov: 7x3 mm, diagram on Munro tag	1
ov: 7x5, lrgst ovum: 4 mm	1
ov: 9x4, ova: 1x1 mm	1
ov: ca 1x5 mm, diagram on Munro label	1
ov: l: 17x5, r: 14x5 mm	2
ova: 13 mm	2
ovaries like No 1 shot	1
ovaries seen but not measured	1
ovary = 6x5mm, ova = 1.5mm	1
ovary collapsed follicle	1
ovary granular, five small ruptured follicles, active brood patch	1
ovary large, lrgst ova 8x8 mm	2
ovary receding	5
ovary sm, slight granular	1
oviduct enlarged, ov: 12x6, lrgst ova: 2x2 mm	2
oviduct enlarged, ov: 8x5, lrgst ova: 2 mm	1
oviductal eggs fused	1
p; 1 emb; cr-27	2
pg. 1R, 1L, CRL=12	1
phaon (Fla) (female) X tharos (Fla.) (male)	1
pregnant; 4 emb; 6 plac scar; CR-3	2
pregnant; lactating; 4 emb; CR-9	2
saved testes not measured	2
shelled egg in oviduct, 3 ruptured follicles, 1 yolky follicle: 9 mm	2
single lg. egg	1
t: 0.5x0.5 mm from drawing, yellow	2
t: 10, 7 mm	2
t: 11x8 mm, from drawing	2
t: 2x2 mm, see diagram on Munro label	1
t: 3 mm : enlarging	1
t: 4x1 mm mm, smaller gonad lost	2
t: 4x6 mm	134
t: 5 : enlarged, see label	4
t: 5x2 mm, smaller gonad lost	2
t: 5x2, 4x1 mm	10
t: 6x10 mm, see label	1
t: 6x3, 5x3 mm, see label	1
t: 6x3, 5x3.5 mm, from drawing	1
t: 6x4, 4x4 mm	1
t: 8x6 mm, vascular, cloaca enlarged	1
t: 9.5x6 mm	2
t: ca 1.5x1.5, 1.5x2 mm	2
t: ca 1.5x6 mm	2
t: elongated, 5 mm	2
testes - 10x7; scrotal	1
testes 10x7	1
testes" L 4.5 x 3.5, R 4.5 x 3.5 mm	1
testes-11x8; non-scrotal	1
testes-14X15	2
testes-14X7; scrotal	12
testes-17X9	8
testes-1913 ?	2
testes-19x14	1
testes-2.5X4 mm +captured at night	2
testes-25X11	2
testes-28x15; scrotal	1
testes-30x15	1
testes-5	155
testes-6X3	172
testes-7x2	5
testes-8.5X6	4
testes= 1x1/2mm, Epid	1
vagina open; 8 embryos; cr-7	1
vagina perforate; MULTI	2
vagina slightly opened, lactating; R=3, L=4 placental scars (?)	1
wild egg, Group BCD. Sun. ex pupa 11 March 1956.	1
young OF ROMM 106818	2
zygotosporangial, spermatangial (separate plants)	6
"Ovaries excited	1
"t.e."	2
#11 Project Atala '80, reared ex ovo on Zamia pumila	1
(9 X 5)	3
(per necropsy report)	7
(spermatangial)	4
0R,2L plac scar	1
1 emb, 1L, 0R, 5x4 mm	1
1 emb; CR-9	4
1 emb=12	1
1 testes; CR-18	1
11 pac scars: 7(R)&4(L)	1
12 embs, 9 mm	1
16 hembras ovadas	1
1981 parents females81-31 - males 81-34	1
1TA/1TS (35 X 18)	1
2 embs, 2L, 0R, 15 mm	1
2 embs, 3x3 mm	1
2 rt 1 lf, fresh scars	1
3 emb, 2 right, 1 left	1
3 embs/1R/2L	1
3L, 3R=6 CRL=17	1
4 embs, 2L, 2R, 15 mm	3
4 embs: 1rt&3lf, undev	1
4 embs:2(L)&2(R):CR=20mm	1
5 emb; cr-3	1
5 embs, 1L, 4R	3
5 embs, 2L, 3R, 15 mm	2
5 embs, 3L, 2R, 8 mm	1
5 embs/cr = X 24 mm	1
6 embs, 5L, 1R, 10 mm, mammae large	1
6 young WITH ADULT FEMALES	2
6+6 = 12 placental scars	1
Adult lab-reared from larva collected on the foliage of hickory, Carya sp., on the above date	1
Charles Oliver Phyciodes Broods Br. 75-65 Tharos Female X Campestris Male	1
Charles Oliver Phyciodes Broods Br: 78-5	1
Cross 1-78: brown broken-eye male (13-70) X red broken-eye female (13-70)	2
Deux testicules très ovales. Droit 4 x 0,9 mm, gauche 4,5 x 1 mm.	1
Ex larvae May-June 1985	1
Ex ovis, Connecticut, Hamden reared May-June on Pyrus (Malus) Xpurpurea, ecl. 15 June 1981	1
Ex ovis, female varia 99A. Sleeved on Quercus stellata June-July 1999, eclosed July 2000.	1
Ex ovis, pair A87, female white spot, male yellow. Ecl. 20-22 Aug. 1987, reared Dale Schweitzer. Sleeved late April to mid June, started on apple, 4th instar to Carya glabra, last instar on Juglans nigra at Dedham, Mass.	3
Ex pupa, emerged 5 Oct 1955, reared wild and lab, food: cassia sp.	1
F1 hybrid P-26-10-1, Colias eurytheme x alexandra	1
F1 of Cross No. 121 Reared in Lab. Oct. 1959 Charles L. Remington	1
F1 of Cross No. 4, reared in lab 1957-1958, Charles L. Remington	1
Floración; fructificación	78
Fred Thorne experimental cross: T7, Sep. and Oct.	1
Fred Thorne experimental cross: female polyxenes asterias (Osceola, Arkansas) crossed with male zelicaon (La Mesa, California); ex ova 30 Aug. 1964 at Spring Valley, San Diego Co., California; offspring male	1
GONADS DECOMPOSED, TWO DUCTS PRESENT.	2
GONADS NOT DESCRIBED ON LABEL.	2
GONADS NOT VISIBLE.	7
Gestante (1 embrión de 20mm)	3
Gonades 6 mm	1
Gonades : 8	2
Gonads decomposed - appear to be testes	1
HOW SEXED: GONADS, LEFT TESTIS 5 X 1 MM, CREAM-COLORED.	1
HOW SEXED: GONADS, LEFT TESTIS 6 X 2 MM, RIGHT 9 X 1.5.	1
HOW SEXED: GONADS, LEFT TESTIS 8 X 2 MM, RIGHT 5 X 2 MM.	1
HOW SEXED: GONADS, LEFT TESTIS 9.0 X 6.0 MM.	1
HOW SEXED: GONADS, TESTES 0.5 X 1 MM.	10
HOW SEXED: GONADS, TESTES 10 X 2.5 MM.	15
HOW SEXED: GONADS, TESTES 18 X 12 MM.	2
HOW SEXED: GONADS, TESTES 4 X 2 MM, BOTH BLACK.	1
HOW SEXED: GONADS, TESTES 8 X 7 MM, 7 X 8 MM, REDDISH VERMICULATED.	1
HOW SEXED: GONADS, TESTES CIRCA 6.5 MM DIAMETER.	1
HOW SEXED: GONADS, TESTES LEFT 12.5 X 7.5 MM, RIGHT 11 X 9 MM.	1
HOW SEXED: GONADS, TESTES LEFT 16 X 10 MM, RIGHT 15 X 9 MM.	1
HOW SEXED: GONADS, TESTES LEFT 2 X 1 MM, RIGHT 2.5 X 1.	1
HOW SEXED: GONADS, TESTES LEFT 2.5 X 1.5 MM, RIGHT 2 X 1.5 MM.	1
HOW SEXED: GONADS, TESTES LEFT 3 X 2 MM, RIGHT 2 X 1.5 MM.	3
HOW SEXED: GONADS, TESTES LEFT 6.5 X 2.5 MM, RIGHT 5 X 2 MM.	1
HOW SEXED: GONADS, TESTES LEFT 7.5 X 2 MM, RIGHT 5 X 2 MM.	1
HOW SEXED: GONADS, TESTES LEFT 9 X 2 MM, RIGHT 6 X 2 MM.	2
HOW SEXED: GONADS, TESTES RIGHT 7 X 5 MM, LEFT 6 X 5 MM.	1
HOW SEXED: GONADS, TESTES RIGHT DAMAGED, LEFT 9 X 6.5.	1
HOW SEXED: GONADS, TESTIS 4.5 X 3 MM.	1
HOW SEXED: GONADS, TESTIS ENLARGED.	2
HOW SEXED: GONADS. LARGEST OVUM 2.5 MM.	1
HOW SEXED: GONADS. OVARIES. LARGEST OVULE 4 MM.	1
HOW SEXED: GONADS. OVARY 10 X 6 MM, OVA 2 MM.	1
HOW SEXED: GONADS. OVARY 2.5 X 6 MM.	1
HOW SEXED: GONADS. OVARY 20 X 9 MM, EGGS.	1
HOW SEXED: GONADS. OVARY 3 X 2.5 MM, LARGEST OVUM 1.5 MM.	1
HOW SEXED: GONADS. OVARY 8 X 2.5 MM.	5
HOW SEXED: GONADS. OVARY 8 X 6 MM, OVA TO 2 MM.	1
HOW SEXED: GONADS. OVARY CIRCA 3 X 2 MM, OVIDUCT? SEEN.	1
HOW SEXED: GONADS. OVARY CIRCA 5 X 7 MM, OVA TO 2 MM.	1
HOW SEXED: GONADS. OVARY DECOMPOSED, OVIDUCT FOUND.	1
HOW SEXED: GONADS. OVARY DRAWN, NOT ENLARGED.	6
HOW SEXED: GONADS. OVARY INDISTINCT.	3
HOW SEXED: GONADS. OVARY QUITE ENLARGED, 1 OVUM 7 MM.	1
HOW SEXED: GONADS. OVARY SMALL, BROOD PATCH.	1
HOW SEXED: GONADS. OVARY USED.	1
HOW SEXED: GONADS. OVARY VERY SMALL.	6
HOW SEXED: SIZE. GONADS NOT FOUND.	3
HOW SEXED: UNMARKED MEANS. GONADS NOT FOUND.	4
HOW SEXED: UNMARKED MEANS. LARGEST EGG: 2MM IN OVARY.	1
HOW SEXED: UNMARKED MEANS. OVARY: 6X3.5MM, GRANULAR.	1
HOW SEXED: UNMARKED MEANS. OVARY: 6X4MM.	1
HOW SEXED: UNMARKED MEANS. SEXED BY S.P.ROGERS AS FEMALE, OVARY CIRCA 2 X 1 MM, PLUMAGE IS MALE.	1
J. H. Gerould research: Brood, 1924, second generation	1
J. H. Gerould research: eC 23-28	1
Lact, 3 pac scar (rt)	1
NE P	1
No embs, fatty ovaries	2
No embs; uterus turg.	2
No gonads found	9
Oiseau en ponte.	1
Ovaire assez développés.	1
Ovaire rosé à granulations très nettes.	1
Ovary:  5 x 3 mm	1
Ovary: 11 x 5 mm, largest ovum: 2 mm	2
Ovary: 2.5 x 1 mm	11
Ovary: 21 x 11 mm, 2 ruptured ova, Largest ovum: 5 mm	2
Ovary: 6 x 3 mm, Largest follicle: 1 mm	1
Ovary: drawing on label. Fully developed ova in oviduct	1
Pas de plaque incubatrice. Testicules : 2 x 2 mm.	1
Pieris napi: F1 of CGO[Female symbol]68 - larva on 15h, 78 degrees Fahrenheit day; 9 h, 72 degrees Fahrenheit night; pupa on 12-15h, 78 degrees Fahrenheit day; 9h, 72 degrees Fahrenheit night; nondiapausing; out June 1968	1
Placental scars: 4rt,5lf	1
Raised from cocoon	1
Reared in lab; F1 of female No. 154	1
Rt testis= 5mm diam	1
Sexed by OKC Zoo staff	2
Sleeved on Pyrus Xpurpurea at Hamden, Connecticut ca. 9 May-June 1978. Dale F. Schweitzer. Ex Ovis, ecl. 3 July 1978, bred Dale F. Schweitzer, larva without a dark dorsal stripe	2
T=12x7	15
T=18 mm, abdom.	2
T=20 mm, ing	1
T=27x14	1
T=35 mm	4
T=5.3	1
T=7 X 3 mm	1
T=8 x 5 mm, scrot.	10
T=9 X 7 mm	1
TA 3x1	1
TA=15x12	1
TA=5x1.5	1
TA=7x4	62
TS 12 X 7	3
TS=17x7	1
TSE 3x2	1
TSL (16 X 8)	1
TSL=10.01x5.2	1
TSM=12x7	1
TSS (12 X 7)	2
Testes: L 17.5 x 12 mm, R 16 x 12.5 mm	2
Testes: L 2.5 x 1.5 mm, R 2 x 1.5 mm	2
Testes: L, R 5 x 3.5 mm	1
Testes: left: 0.0110g, right: 0.0079g.  Testes: L 3.5 x 2.5, R 3.0 x 2.0 mm.	1
Testes: left: 0.0684g, right: 0.0448g.  Testes: L 6.5 x 4.0, R 5.0 x 4.0 mm.	1
Testes: left=0.0507g, right=0.0198g	1
Testicules :  0,5 x 0,5 mm. Pas de plaque incubatrice.	1
Testicules : 10 x 5 mm.	2
Testicules : 6 mm.	1
Tetrasporic, male	1
Tissue-Liver sample taken	2
VC 2L, 0R = 9	1
VC, R3, L1, CRL=18 (discarded), mamm. lg.	1
VC, mamm. lg., lactating	1
VO, 1 emb, 27 mm	1
VO, 2 embs, 1L, 1R, 110 mm, mammae large	1
VO, 4 embs, 2L, 2R, 14mm	1
VO, 4 embs, 3L, 1R, 22 mm, mammae large	1
VO, 5 embs, 3L, 2R, 22 mm, mamm. lg.	1
breeding, brood patch present	4
brood patch 3 down at edges, lrgst follicle 6.5 mm, oviduct developed	2
brood patch 3, t: l 15.4x3.7, r 16.8x4.7 mm	2
brood patch 4, t: l 5.6x2.2, r 5.7x2.4 mm	2
brood patch downy: 30x55 mm, t: l: 12x6, r: 10x5 mm	2
brood patch flaccid, old ruptured follicles	1
brood patch: 25x55, lt: 19x6, rt: 20x8 mm	2
eggs 44 1/1	1
enlarged oviduct, 4 follicles 4-5 mm	2
ex egg July 1936, hatched Jun 1937	1
ex larva 05-06 Jun 1949	1
ex larva, wet	1
ex ovis from female #1, reared and eclosed 1975	1
ex ovis, SAPPHO-A86	1
ex ovis, emerged 28 Jun 1976	1
from breeding colony, testes not developed	2
gonads=gonads destroyed by shot	1
gonads=largest ova 1.6 x 1.8 mm	1
gonads=laying condition; oviduct 12 mm at cloaca; brood patch=thickened	1
gonads=ova 8, 6, 4 mm, others smaller than 2 mm; oviduct 7 mm at cloaca; brood patch=bare brood patch	1
gonads=ovaries seen	1
gonads=ovary 1 x 2 mm	1
gonads=ovary 10 x 3 mm; largest ova 1 x 1 mm	1
gonads=ovary 25 x 15, lg ova 9 x 8 mm	1
gonads=ovary 3x6mm	4
gonads=ovary 4 x 3 mm, largest ova 2 mm; oviduct convoluted, 2 mm in diameter	1
gonads=ovary 4 x 3 mm; largest ova 1 mm; oviduct not enlarged; brood patch=none	1
gonads=ovary 4x21mm	1
gonads=ovary 5 x 1.5 mm	1
gonads=ovary 7 x 3 mm; brood patch=dry	1
gonads=ovary 7 x 5, lg ova 1, oviduct 2 mm at cloaca; brood patch=large watery	1
gonads=ovary 7 x 6 mm; largest ova 4 mm; oviduct 4 mm at cloaca	1
gonads=ovary 7x8mm, ova 1.5mm	1
gonads=ovary 8x12mm, pva 3mm	1
gonads=ovary granular, 10 x 5, lg ova 6 mm	1
gonads=testes (L) 14 x 8 mm; (R) 15 x 8 mm; one seminal vesicle 8 x 6 mm; tubules enlarged	1
gonads=testes (L) 2 x 1 mm; (R) 1.8 x 0.7 mm; black	1
gonads=testes (L) 6 x 4 mm; (R) 6 x 3.5 mm; seminal vesicles not visible	1
gonads=testes (L) 6 x 5 mm; (R) 5 x 5 mm; one seminal vesicle 4 x 3 mm, tubules enlarged	2
gonads=testes (L) 7 x 4 mm; (R) 5 x 3 mm; brood patch=none	1
gonads=testes (L) 9 x 6 mm; (R) 7 x 7 mm	1
gonads=testes 10 x 10 mm	5
gonads=testes 15mm, brood patch	1
gonads=testes 24mm	1
gonads=testes 3.5 x 2.5 mm, lt gray	1
gonads=testes 5 x 5 mm	17
gonads=testes 6 x 4 mm; one seminal vesicle 3 x 3 mm; tubules visible	1
gonads=testes 6x2mm	2
gonads=testes 9 x 5.5 and 7 x 4.5 mm	1
gonads=testes 9 x 6 (L) & 10 x 6, seminal vesicles 8 x 7 mm, tubules enlarged; brood patch=dry	1
gonads=testis minute	3
