"identificationQualifier","reps"
"(""Seattle form,"" Obsc.[?])",1
"(Seaver) M. Carbone et al.",1
"(sec. Salinum)",1
"(sect. Calodontes??)",1
"(semiorbicularis)",1
"(sensu A. H. Smith, Heim)",1
"(sensu Heim, AH Smith)",1
"(sensu Kauff.)",5
"(sensu Kauffman)",2
"(sensu K��hner)",1
"(Ser.)",4
"(Ser.) Diosmus group?",1
"(Ser.?) Telamonia?",1
"(ser.[?] RLS [R. L. Shaffer])",1
"(Seri.)",4
"(Seri.) ""fogarty""",1
"(Seri.)?",1
"(Sericeo.)",2
"(Sericeocybe cf. malachius group)",1
"(Sericeocybe)",9
"(Sericeocybe) aff. caninus",1
"(Sericeocybe) caesiifolius?",1
"(Sericeocybe) diosmus aff.",1
"(Sericeocybe) griseoviolaceus / alboviolaceus",1
"(Sericeocybe) lebretonii",1
"(Sericeocybe), sect. Anomali",1
"(Sericeocybe, Anomali), c.f.",1
"(Sericiocybe)",1
"(Serifluae)",1
"(Serifluae?)",1
"(setigera?)",1
"(Sm 8438)",1
"(Sm. 57524?)",1
"(smaller form)",1
"(snaggle tooth)",1
"(some are H. smithii)",1
"(sp. 33)",2
"(sp. nov. ?)",1
"(sp. nov.?)",2
"(sp. uncertain)",2
"(sp.?)",1
"(Sparganium simplex var. angustifolium Engelm.)",1
"(Spongipellis)",1
"(spore too large)",1
"(ss Overh.)",2
"(ssp. uncertain)",2
"(st. s.)",1
"(st. subdestricta)",1
"(st.) probably c. ameseae R. & C.",1
"(ST.S.)",1
"(""stairs Inoc."")",1
"(""stairs"")",6
"(stirps luridus?) vinaceobasis?",1
"(Stromatinia)",12
"(Stz 2203 et al. = cincinnatula?)",1
"(suaveolens)",1
"(subcarpta?)",1
"(subdecurrens?)",1
"(subdesctricta)",1
"(subdesctricta?)",1
"(subdestr. macrosp.)",1
"(subdestr[icta] megasp[ora])",1
"(subdestricta megalosperma?)",1
"(subdestricta)",1
"(Subexilis macrosp.)",3
"(subexilis macrospora)",1
"(subexilis type)",1
"(subexilis, macrosp.?)",1
"(subfloridana group)",1
"(Subg. Myxacium)",1
"(Subg. Telamonia)",1
"(subgenus Discina)",1
"(subgenus Discina) sp.",3
"(Subgenus Telamonia)",1
"(superbus or russeoides)",1
"(sylvester)(aruncus)",1
"(syn. M renati)",1
"cf. viridis",1
"cf. viridula",5
"cf. vitreum",10
"cf. vitreus",3
"cf. vulgaris",2
"cf. weberi",1
"cf. winchelli",251
"cf. yatuae",1
"cf. young",1
"cf. Yucca baccata X",1
"cf. zilloides (Banks)",1
"cf. zonistium",62
"cf.,",5
"cf., 'Pinaleno'",11
"cf., referred this as possble",1
"cf., s.s.",1
"cf., var.",1
"cf./L. poliopus var. discolor cf.",1
"cf.;",5387
"cf.; ?",3
"cf.; comb. nov.",1
"cf.; ex char.",2
"cf.; s.l.",5
"cf.; s.str.",2
"cf.; sp. nov.",1
"cf.; vel. aff.",1
"cf.?",1
"cf;",4
"cf?",1
"cff",1
"cfr",47
"cfr.",191
"cfr. brevipila",1
"cfr. irrorata",1
"ch?",1
"Chadron",1
"Chadron Fm",6
"Chadronia",1
"Chaeropus",1
"chalcedona",24
"""Chalco Race""",1
"chaon",1
"chaonuius",1
"chara",14
"Characeae",1
"charithonia",3
"Charles Bryson",1
"Charlotte M. Christy",2
"charlotti",8
"charonda",2
"Chasmaporthetes",1
"check",1
"check adalberti",1
"Check against image when available",1
"CHECK ID ON SPECIMEN",1
"CHECK NAME",2
"CHECK SPECIMEN FOR ID",2
"CHECK SPECIMEN FOR ID; may be misread",1
"Checked at U of A",1
"Cheilolejeunea novoguineensis",1
"Cheilolejeunea sandvicensis",2
"Cheilothela chilensis",1
"Chelydra",1
"Chem. strain no. 1",1
"Chemotype 0",1
"Chemotype 1",1
"Chemotype C",1
"chemotype ""J""",1
"Chemotype ""K""",4
"Chemotype N",1
"Chemotype ""N""",4
"Chemung Fm",7
"Chenopodium glaucum L. var. glaucum",1
"chermocki",17
"chersonesia",2
"chinatensis",12
"Chinji Fm",2
"Chinji Fm?",1
"Chlorizagrotis auxiliaris",1
"Chlorophyta",1
"Chlororhysis",2
"Chlosyne a. acastus",9
"Chlosyne gorgone carlota",8
"Chlosyne n. nycteis",2
"Chlosyne palla flavula",24
"Chonecetus",1
"Chordareale",1
"Chordariaceae",1
"Chriacus",15
"Chriacus ?",1
"christina",4
"Christine Upton",1
"chrysenteron? zelleri?",1
"chrysippe",1
"Chrysocetus",1
"Chrysocladium retrorsum var. kiusiuense",1
"Chrysohyphum chrysophyllum",1
"Chrysohyphum diminutivum",1
"Chrysohyphum polygamum",2
"Chrysohyphum protensum",1
"Chrysohyphum stellatum",3
"chrysomelas",14
"Chuckanut Fm",5
"Chumashius",1
"Chylocladia? Champia?",1
"Cij. delila",1
"Cilia conspicua",1
"Cimexomys",11
"Cimolestes",75
"Cimolestes ?",13
"Cimolodon",2
"Cimolomys",1
"cinara",1
"Cinclidium dendroides",1
"Cinclidium hymenopyllum",1
"Cinclidium latifolium",4
"Cinclidium macounii",1
"Cinclidotus fontinaloides var. Baumgartneri",1
"Cinclidotus mucronatus",1
"cinera (or cristata)",1
"""Cinn. Drab. Pyramid""",1
"""cinnamomeae""",1
"cinnamomeus group",1
"""cinnamoniodora""",1
"cinyras",1
"Cirriphyllum crassinervium",2
"cisalpina",9
"citima",9
"Clade",5
"clade 2",1
"clade 3",3
"Cladopodanthus truncatus",1
"clandesinus complex",1
"clandestinus/cotonus gp.",1
"Claopodium amblystegioides",7
"Claopodium hawaiense",1
"Claopodium laevicaule",1
"Claopodium laxifolium",1
"Claopodium microphyllum var. septentrionale",2
"clara",5
"clarens",7
"clarki",9
"Clastobryella kusatsuensis",4
"Clastobryophilum bogoriense",1
"Clastobryum assimile",2
"Clastobryum cupressoides",1
"Clastobryum katoi",2
"Clastobryum patentifoium",1
"cleis",2
"clemens complex",5
"Cleome isomeris",1
"Cleora? sp.",1
"Cleveland Sh",1
"Climacium novae-seelandiae",1
"Climacium ruthenicum",3
"Climacoceras",2
"Clinton Fm",1
"Clitocyboid/Butyracea",1
"-Clitocybula",1
"close to",10
"Close to G. elata",1
"Close to in addition to C. arapahoensis",1
"close to sphaerocarpon",1
"Close to ssp. intermedia",1
"close to ssp. velutinus",2
"closer to this than C. brennescens",1
"closest to",2
"closest to E. caespitosus",1
"clyton",28
"cnfr.",3
"coalita/mertensii",1
"coastal dunes race",1
"Cochilus cf.",2
"Coconino Ss",1
"Coelodonta",10
"coenia",8
"Coenonympha benjamini",1
"cognatus cf.",1
"Cokendolpher",1
"cola form?",1
"Colaenis phaetusa",1
"Colepiocephale cf.",1
"Colias astraea",1
"(syn. R. subalpina)",1
"(Tac. Pr. ""homomorpha complex"")",1
"(Tapajos)",1
"(Tapinella)",1
"(Tel.)",28
"(Tel.) biformis gp.",1
"(Tel.) erythrini gp.",1
"(Tel.) praestigiosis-like",2
"(Tel.) sp.",1
"(Telamonia)",173
"(Telamonia) aff.",1
"(Telamonia) aff. boulderensis",1
"(Telamonia) badiovinaceus?",1
"(Telamonia) chrysomallus group",1
"(Telamonia) chrysomallus?",1
"(Telamonia) ""Duracine""",1
"(Telamonia) erythrinus group",1
"(Telamonia) hemitrichus group",1
"(Telamonia) imatrehelis",1
"(Telamonia) laetus group",1
"(Telamonia) laetus group?",1
"(Telamonia) near distans",1
"(Telamonia) obtusus gp.",1
"(Telamonia) paleaceus group",1
"(Telamonia) pink veil",2
"(Telamonia) saniosus",1
"(Telamonia) sp.",1
"(Telamonia) ""weimanseii"" [?]",1
"(Telamonia) zinziberatus?",1
"(Telamonia), aff. sentulatus[?]",1
"(Telamonia), badiovinaceus group",1
"(Telamonia), cf.",1
"(Telamonia), incisus complex?",1
"(Telamonia), near [musicola?]",1
"(Telamonia, Leprocybe)",1
"(Telamonia?)",1
"(Telamonia-Leprocybe)",1
"(tent.)",2
"(tentative ID)",1
"(tephra or pruinata?)",1
"(terrestris or intybacea)",2
"(tetrasporic)",1
"(""The Purple Prince"")",1
"(The southern form.)",1
"(the ""xerophyte"" form)",1
"(Thelephoraceae)",1
"(thesis dulcamara)",1
"(thesis submuricellata?)",1
"(This may be Q. graciliformis Muller, a newly named species, I have not had same verified. OES)",1
"(tiny)",1
"(Togaria aurea)",1
"(transition to scaber)",1
"(triviales group)",1
"(tuberosa)",1
"(two fungi)?",1
"(type b)",1
"(typical)",2
"(Tyromyces)",2
"(ulophyllodes)",1
"(umbellatus?)",1
"(umbilicatus?)",1
"(umbricata?)",1
"(umbrina?)",1
"(undet.) sect. Marginatae",1
"(Undetermined)",1
"(var. kingianum ?)",1
"(var. maculata)",1
"(var. of ""caesariata""?)",1
"(var. pauciflora)",6
"(var. uncertain)",1
"(Vararia)",1
"(variimutans?)",1
"(velate)",1
"(velutina or rigidipes?)",1
"(Velutinae)",2
"(vermiformis?)",1
"(very young)",1
"(vetipes)",1
"(vinaceus?)",1
"(volemus, yellow variant?)",1
"(wh. SL Forma of napipes)",1
"(white group)",1
"(white)",2
"(Wood, 1911)",1
"(x G. leptorhynchos ?)",1
"(xanthocraspeda?)",1
"(xanthomelas complex)",1
"(xanthomelas type)",1
"(xanthomelas)",1
"(xanthomelas?)",1
"(xanthomelas?) (nigrescens?)",1
"(xanthomelas-nigrescens type)",1
"(xanthomelas-nigrescens)",1
"(yellow kaufmannii type)",2
"(young)",1
"(Zetters. 1838)",1
"(Zetterst. 1838)",1
"*",1
", [var.?] macrosperma",1
", aberrant meleagris?",1
", almost fma. gracilis",1
", between longicystis & lanuginosa",1
", close to",1
", Collybioid",1
", epi. on Neorhodomela oregona",1
", f. exilior",1
", f. hydrophila",1
", f. olympianus",1
", fma.",1
", gen. et. sp. nov.",1
", geophylla-like",1
", group",2
", in dulcamarae",1
", likely",1
", m. pinnata",1
", mss. sp. nov., = griseoscabrosa?",1
", n. sp.",1
", near",1
", near trivialis",1
", of [cf?] Burlingham",1
", or a species of Kallymeniopsis",1
", or asperrimum",2
", or granulosum?",1
", or Inocybe suaveolens",1
", or L. saccharina?",2
", or mottii",1
", or oregonensis",1
", pallid form",1
", pink pudica incarnatifolia",1
", probably",1
", prox.",1
", s. latiss (sensu Andrews)",1
", s. lato",1
", ""Seattle form""",1
", sec Smith",1
", sensu JFA",1
", sensu Kauff.",2
", sensu Lange",1
", sensu lato",1
", sensu Leathers[?]",1
", sensu Sakai",1
", sensu stricto",1
", ss K. et M.",1
", stirps diminuta",1
", syn. lepidopus",1
", tending toward",1
", ulmarius group?",1
", var.",1
", var. (?purpurea)",2
", var. (incarnatifolia nov. var.?)",1
", var. (purpurea?)",1
", var. macrospora",1
", vel [or] flexilis",1
", vel aff.",1
", ver. Molund[?]",1
", with V. amphibia",1
".",3
"/ C. cymosum var. canovirens intermediate",1
"/ Clitocybe",5
"/ Collyboid",1
"/ imitatus",1
"/ Inocybe",1
"/ Iridea heterocarpa",1
"/ kaufmenii[?]",1
"/ Kuehneromyces",1
"/ marmoripes?",1
"/ Phaeomarasmius",1
"/ Suillus glandulosipes",1
"/ var. intermedia",1
"/arvensis",1
"/bonari",1
"/bondieri",1
"/chlorinosma",1
"/chrysospermus",1
"/cinn.",1
"/Clitocybe sp.",1
"/cristata",1
"/glaucoaromatica?",1
"/glioderma?",1
"/modesta (?)",1
"/mottii",1
"/nordmanensis",2
"/Omphalina",1
"/Pan.",1
"/prob. maculata",1
"/pseudoarquatus",1
"/Pseudoplectania",1
"/Psilocybe?",1
"/Sarcosoma",2
"/subglabripes",1
"/subroseus",1
"/summensis?",1
"/zelleri",1
";",1
"?",25658
"""��?""",6
"? - Telamonia",1
"? (Bulbopodium)",1
"? (eastern)",1
"? (esorediata)",1
"? (in part)",1
"? (L. subfusca group)",1
"? (""N.W. Spring"")",1
"""?"" (no flowers)",1
"? (not in thesis)",1
"? (perigynia young)",1
"? (Pholiota)",1
"? (Sarcosoma)",1
"? (Tel.)",1
"? (Telamonia)",2
"? (yellow)",1
"? ?",1
"? = Aeodes gardneri?",1
"? = Rhodymenia antarctica",1
"? >",1
"? affinis?",1
"? aggericola (Pk.) Sacc.",2
"? albiflora",1
"? americana",9
"? anceps",1
"? angustifolium",1
"? Antennaria umbrinella",1
"? arguta",1
"? aromatica",1
"? Ascophanus?",1
"? atrobrunnea",1
"? austrina",2
"? authentic",1
"? babylonica",1
"? Bactris",1
"? Bactris gasipaes",1
"? bicolor",1
"? brandegeei x edulis",1
"? by Shultz on M. canescens var.",1
"? c.fr.",4
"? Catha edulis",1
"? cf.",1
"? Ciboriopsis?",1
"? coccineum",1
"? comb. nov.",1
"? complex",2
"? coronilla",1
"? cubenisis",1
"? Cultivar",1
"? deflexa",1
"? Does not appear to be a Scutellinia",1
"? Drep?",1
"? dumosa",1
"? ecklonis",1
"? europeanus",1
