"lifeStage","reps"
"(Fresh) Brought to WFVZ in 1993",$5.00
"(gummy) one week",$1.00
"(over 2 days)",$1.00
"(S/1)",$1.00
"(sub?)adult",$2.00
".",$2.00
". form II females, 2 form I males, 1 form II",$1.00
".0",$7.00
".1",$10.00
".2",$12.00
".2 (fertility = nil)",$1.00
".25",$3.00
".3",$4.00
".4",$6.00
".5",$10.00
".5 years",$1.00
".6",$1.00
".7",$1.00
".8",$1.00
"/adykt",$1.00
":130; EXT:200 mm.; age by plumag",$1.00
":134; EXT:180mm.; age by plumage",$1.00
":4&1/8""; EXT:7&3/8""; WCH:2&5/16""",$1.00
":6&7/8in; EXT:11&7/8in; age by p",$1.00
"; A-2; A-3; A-3",$1.00
"; Adult",$2.00
"; Adult; Adult",$2.00
"; brooding",$1.00
"; Calf",$1.00
"; copepodid",$46.00
"; Copepodid III",$1.00
"; Copepodid IV",$1.00
"; Copepodid IV; copepodid V",$1.00
"; copepodid V",$9.00
"; copepodid;;",$1.00
"; embryo",$2.00
"; exuviae",$6.00
"; I",$23.00
"; I; I",$2.00
"; I; II",$9.00
"; I; II; Juvenile",$1.00
"; I; II; juvenile; juvenile",$1.00
"; I; II; ovigerous",$1.00
"; I; II;;",$1.00
"; I; juvenile",$1.00
"; I; juvenile; juvenile",$1.00
"; I; ovigerous",$1.00
"; I;;",$4.00
"; II",$29.00
"; II; I",$4.00
"; II; I; juvenile; juvenile",$1.00
"; II; II",$1.00
"; II; juvenile",$4.00
"; II; juvenile; juvenile",$2.00
"; II; juvenile;; juvenile",$2.00
"; II;;",$8.00
"; II;; juvenile",$1.00
"; II;; ovigerous; juvenile",$1.00
"; immature",$25.00
"; immature;;",$3.00
"; Instar IV",$1.00
"; j-1; j-2; j-3; j-4",$1.00
"; j-1;;",$1.00
"; juvenile",$2634.00
"; juvenile A-1; juvenile A-4; juvenile A-5",$1.00
"; juvenile A-1;; juvenile A-1",$1.00
"; juvenile II",$1.00
"; juvenile IV",$1.00
"; juvenile V",$12.00
"; juvenile V;; juvenile IV; juvenile V",$1.00
"; Juvenile; II",$2.00
"; juvenile; II; I",$1.00
"; juvenile; II; juvenile",$1.00
"; juvenile; juvenile",$404.00
"; juvenile; juvenile; II",$1.00
"; juvenile; juvenile; juvenile",$9.00
"; juvenile; juvenile; ovigerous",$4.00
"; juvenile; juvenile; ovigerous;;",$1.00
"; juvenile; juvenile;;",$5.00
"; juvenile; larvae",$3.00
"; juvenile; larvae V",$4.00
"; juvenile; manca",$1.00
"; juvenile; ovigerous",$29.00
"; juvenile; ovigerous; juvenile",$11.00
"; juvenile; ovigerous; juvenile; juvenile",$2.00
"; juvenile; ovigerous;;",$1.00
"; juvenile; ovigerous;; juvenile",$1.00
"; juvenile;;",$72.00
"; Juvenile;; adult; adult",$1.00
"; juvenile;; juvenile",$58.00
"; juvenile;; juvenile; embryo",$1.00
"; juvenile;; juvenile; juvenile",$13.00
"; juvenile;; juvenile; ovigerous",$5.00
"; juvenile;; ovigerous",$6.00
"; juvenile;; ovigerous; juvenile",$24.00
"; juvenile;; ovigerous; juvenile; juvenile",$7.00
"; Larva; Pupa;;;",$1.00
"; larvae",$375.00
"; larvae V",$11.00
"; larvae V; ovigerous",$1.00
"; larvae;;",$1.00
"; Mammae",$3.00
"; manca",$12.00
"; nauplius; copepodid",$1.00
"; neuter",$16.00
"; non-ovigerous",$1.00
"; Nymph",$78.00
"; ovigerous",$2271.00
"; ovigerous; II; I",$1.00
"; ovigerous; immature",$1.00
"; ovigerous; immature; juvenile",$1.00
"; ovigerous; Juvenile",$259.00
"; ovigerous; juvenile V",$2.00
"; ovigerous; juvenile; juvenile",$15.00
"; ovigerous; juvenile;;",$1.00
"; ovigerous; larvae",$1.00
"; ovigerous; non-ovigerous",$2.00
"; ovigerous; ovigerous",$1.00
"; ovigerous; ovigerous; juvenile V",$1.00
"; ovigerous; praniza",$3.00
"; ovigerous; pranizae",$1.00
"; ovigerous; young",$1.00
"; ovigerous;;",$163.00
"; ovigerous;; immature; juvenile",$1.00
"; ovigerous;; Juvenile",$58.00
"; ovigerous;; juvenile V",$3.00
"; ovigerous;;;;",$1.00
"; postlarvae",$2.00
"; praniza",$4.00
"; premature",$1.00
"; subadult; manca",$1.00
"; transitional",$1.00
"; V",$3.00
"; V; IV",$1.00
"; young",$8.00
"; young; juvenile",$1.00
"; zoea I; zoea II; megalopa",$2.00
";; adult",$1.00
";; amplexus",$1.00
";; copepodid",$281.00
";; copepodid & nauplii",$2.00
";; copepodid V",$8.00
";; copepodid V; copepodid V",$2.00
";; Eggs",$1.00
";; I",$8.00
";; I; juvenile",$2.00
";; II",$1.00
";; II; Juvenile; Juvenile",$1.00
";; immature",$25.00
";; immature; juvenile",$1.00
";; immature; juvenile; manca",$2.00
";; Juvenile",$2555.00
";; juvenile A-1",$1.00
";; juvenile A-4",$1.00
";; juvenile I; juvenile II",$1.00
";; juvenile V",$30.00
";; juvenile VI",$1.00
";; juvenile; juvenile",$261.00
";; juvenile; larvae V",$3.00
";; juvenile; neuter",$1.00
";; juvenile; ovigerous",$9.00
";; juvenile; ovigerous; juvenile",$2.00
";; juvenile;;",$4.00
";; larvae",$247.00
";; larvae V",$3.00
";; manca",$12.00
";; Nymph",$114.00
";; ovigerous",$1569.00
";; ovigerous; immature",$2.00
";; ovigerous; Juvenile",$396.00
";; ovigerous; juvenile V",$1.00
";; ovigerous; juvenile; juvenile",$62.00
";; ovigerous; juvenile; larvae",$2.00
";; ovigerous; juvenile;; juvenile; juvenile",$1.00
";; ovigerous; subadult",$1.00
";; ovigerous; young",$5.00
";; ovigerous; zoea;;",$1.00
";; ovigerous;;",$3.00
";; ovigerous;; juvenile",$2.00
";; postlarvae",$6.00
";; praniza",$2.00
";; subadult",$1.00
";; young",$10.00
";;; I; II",$4.00
";;; juvenile",$8.00
";;; ovigerous",$3.00
";;; postlarvae",$1.00
";;;; Juvenile",$1.00
"?",$42.00
"? Nest fell from a tree, probabl",$1.00
"? Subad",$1.00
"@ 8 days",$1.00
"[ad?]",$10.00
"[ad]",$29.00
"[adult]",$13.00
"[imm]",$9.00
"[immature]",$5.00
"[juv?]",$4.00
"[juv]",$12.00
"[see eggs]",$2.00
"[Subadult]",$5.00
"\",$1.00
"_",$1.00
"`",$5.00
"~ 2 years",$1.00
"~ 3 mo.",$1.00
"~1 day",$4.00
"~1 week old",$1.00
"~10days, Originally Seen 12 July",$1.00
"~12 days",$1.00
"~12-13",$1.00
"~17 months",$1.00
"~17 years, 10 months",$2.00
"~2 years",$1.00
"~40 adults + 5 larvae",$1.00
"~46 days old",$1.00
"~50 adults + 1 larva",$1.00
"~50 adults + 2 larvae",$1.00
"+",$43.00
"+ oeufs",$1.00
"+ ponte",$1.00
"+ un t��tard",$1.00
"+(2)",$1.00
"+/- 1 year",$1.00
"+/- 11 mos.",$1.00
"+/- 4 days: forelimb buds and ey",$1.00
"+\- 5 Weeks",$1.00
"< 1 day",$2.00
"< 1 year",$7.00
"< 1 yr",$8.00
"< 1 yr old",$1.00
"< 2 days",$2.00
"< 31 hours",$1.00
"< 9 months",$1.00
"<1 week",$1.00
"<1 yr",$8.00
"<1yr",$1.00
"<No data>",$1.00
"=",$1.00
"> 2 yr",$1.00
"> 410 days",$1.00
"> 512 days",$1.00
"> 93 days",$2.00
"> or = 16 years",$1.00
">10 Years",$2.00
">439 days",$1.00
">5 days",$1.00
">90% pneumatized",$1.00
"0",$551.00
"0 - (deserted)",$1.00
"0 - Fresh",$1.00
"0  ou  1",$11.00
"0 0 0 0",$1.00
"0 0 b B e E E; bird on nest",$1.00
"0 chicks, 3 bad eggs #2",$1.00
"0 egg; 3 adult",$1.00
"0 form I males",$9.00
"0 juv",$1.00
"0 juvenile; 24 adult",$1.00
"0 juvenile; 55 adult",$1.00
"0 ou 1",$143.00
"0 ou 1 ou 2",$1.00
"0 ou 1 ou 2?",$1.00
"0 ou 2",$2.00
"0 to 1/3",$1.00
"0 to 5 days",$1.00
"0 to commenced",$1.00
"0 to well begun",$2.00
"0% ossified",$1.00
"0, unbef.",$1.00
"0.",$5.00
"0.0.t.b=0 to begun",$1.00
"0.135",$1.00
"0.249",$1.00
"0.4",$2.00
"0.5",$1.00
"0.5 mm embryo",$1.00
"0.5 year",$27.00
"0.5 years",$190.00
"0.5 yr",$78.00
"0.6",$2.00
"0.8",$1.00
"0.t-b-B",$1.00
"0; egg taken from bird",$1.00
"0?",$3.00
"0+",$4.00
"00",$1.00
"0-0-0-0",$2.00
"0-0-0-3",$1.00
"0-1",$11.00
"0-18",$1.00
"01-mars",$2.00
"0-2e-5B-3E",$1.00
"0-3 Days",$3.00
"03-avr",$6.00
"0-4 days",$1.00
"0-b-b-I",$1.00
"0ou1",$12.00
"1",$3101.00
"-1",$2.00
"1 - 1/3; 3 - 1/4",$1.00
"1 - 1/4; 1 - 1/3; 2 - 1/2",$1.00
"1 - 2 weeks old",$1.00
"1 - fresh (had yolk); 7  - norma",$1.00
"1 - fresh, 1 - showing blood, 1",$1.00
"1 - no embryo; 2 - fledged",$1.00
"1 & 2 Showing Blood; 3 Fresh",$1.00
"1 & 2: large embryos; 4: inferti",$1.00
"1 (found outside of nest fresh)",$1.00
"1 ?",$1.00
"1- 1/2 inc, 2 soft embryos",$1.00
"1 1/2 Yr Old",$1.00
"1 30 day old male banded",$1.00
"1 4 days, 1 2 days, Black-billed",$1.00
"1 5 days, others less",$1.00
"1- 80%, 2 no signs of developmen",$1.00
"1 about 1/3, 1 addled",$1.00
"1 about 1/3, 4 about 1/4",$1.00
"1 about 2/5 4 addled",$1.00
"1 about 5 days and 1 about 2 day",$1.00
"1 about fresh, 3 incubated",$1.00
"1 ad., 5 jeunes",$1.00
"1 added, 2 fresh, 2 showing bloo",$1.00
"1 addled - 1 started",$1.00
"1 addled 2 1/2",$1.00
"1 addled 2 advanced",$1.00
"1 addled 3 well started",$1.00
"1 addled and 1 hatched egg colle",$1.00
"1 addled and infertile egg",$1.00
"1 Addled Egg + 2(10 Day Old Chic",$1.00
"1 addled egg + 3 chicks within 1",$1.00
"1 Addled Egg And 1 Fully Fledged",$1.00
"1 addled egg and half a shell",$1.00
"1 addled egg of a 5 egg clutch",$1.00
"1 addled egg, 1 young 2.5 weeks",$2.00
"1 addled, 1 3/4 inc",$1.00
"1 addled, 1 begun",$1.00
"1 addled, 1 live bird",$1.00
"1 addled, 1 month-old juvenile b",$1.00
"1 addled, 10 days",$1.00
"1 addled, 2 about half",$1.00
"1 addled, 2 apparently freshly l",$1.00
"1 addled, 2 begun",$1.00
"1 addled, 2 feathered",$1.00
"1 addled, 2 fresh",$1.00
"1 addled, 2 large embryos",$1.00
"1 addled, 2 well begun",$2.00
"1 addled, 2 young; infertile",$1.00
"1 addled, 3 feathered embryos",$1.00
"1 addled, 3 nearly over",$1.00
"1 addled, 3 over 1/2",$1.00
"1 addled, 3 w/ large embryos. Ad",$1.00
"1 addled, 3 weeks",$1.00
"1 addled, 4 advanced",$1.00
"1 addled, 4 half",$1.00
"1 addled, 5 slight",$1.00
"1 addled, ready to hatch",$1.00
"1 addled, two highly incubated",$1.00
"1 addled; 1 about half",$1.00
"1 addled; 1 fresh; 1 with fair i",$1.00
"1 addled; 2 w/ large embryos",$1.00
"1 addled; 3 advanced",$1.00
"1 addled; 4 about 1 week",$1.00
"1 addled; 7 ready to hatch",$1.00
"1 adult",$562.00
"1 adult & 1 metamorphosing larva",$1.00
"1 adult (large)",$1.00
"1 adult (medium)",$1.00
"1 adult (small)",$2.00
"1 adult + 1 immature",$1.00
"1 adult + 1 larva",$50.00
"1 adult + 1 pupa",$1.00
"1 adult + 10 larvae",$2.00
"1 adult + 10 larvae/pupa",$1.00
"1 adult + 11 larvae",$2.00
"1 adult + 12 larvae",$3.00
"1 adult + 12 larvae + 2 pupae",$1.00
"1 adult + 13 larvae",$5.00
"1 adult + 14 larvae",$6.00
"1 adult + 15 larva",$1.00
"1 adult + 15 larvae",$2.00
"1 adult + 15 larvae/pupae",$1.00
"1 adult + 17 larvae",$1.00
"1 adult + 18 larvae",$1.00
"1 adult + 18 larvae/pupa",$1.00
"1 adult + 19 larvae",$1.00
"1 adult + 2 larvae",$27.00
"1 adult + 2 larvae + 2 pupal skins",$1.00
"1 adult + 2 larvae/pupa",$3.00
"1 adult + 20 larvae",$1.00
"1 adult + 21 larvae",$1.00
"1 adult + 22 larvae",$1.00
"1 adult + 24 larvae",$2.00
"1 adult + 3 larvae",$16.00
"1 adult + 3 larvae + 2 pupae",$1.00
"1 adult + 3 larvae/pupa",$4.00
"1 adult + 37 larvae",$1.00
"1 adult + 39 larvae",$1.00
"1 adult + 4 larvae",$7.00
"1 adult + 4 larvae/pupa",$1.00
"1 adult + 4 pupae",$1.00
"1 adult + 40 larvae",$1.00
"1 adult + 41 larvae",$1.00
"1 adult + 42 larvae",$1.00
"1 adult + 44 larvae",$2.00
"1 adult + 5 larva",$1.00
"1 adult + 5 larvae",$8.00
"1 adult + 5 larvae/pupa",$1.00
"1 adult + 6 larvae",$6.00
"1 adult + 61 larvae",$1.00
"1 adult + 7 larvae",$7.00
"1 adult + 7 larvae/pupa",$2.00
"1 adult + 8 larvae",$2.00
"1 adult + 9 larvae",$6.00
"1 adult + 9 larvae/pupa",$2.00
"1 adult + 98 larvae",$1.00
"1 adult + larva",$7.00
"1 adult +2 larvae",$1.00
"1 adult female",$9.00
"1 adult female with eggs",$1.00
"1 ADULT FEMALE; 2 LAR",$1.00
"1 Adult male",$1.00
"1 adult male, 1 adult female",$1.00
"1 adult male, 1 juvenile",$1.00
"1 ADULT MALE; 1 LARVA",$1.00
"1 adult sex unknown",$4.00
"1 Adult, 1 Immature",$6.00
"1 adult, 1 juv.(Sierra Nevada x",$1.00
"1 adult, 1 juvenile",$12.00
"1 adult, 1 Larva",$1.00
"1 adult, 1 near adult",$1.00
"1 Adult, 1 Sub-adult, 1 immature",$1.00
"1 adult, 2 juveniles",$3.00
"1 adult, 2 larvae",$1.00
"1 adult, 3 juveniles",$1.00
"1 adult, 3 subadults",$1.00
"1 adult, 4 juveniles",$1.00
"1 Adult, 5 immatures",$1.00
"1 adult, 8 immature adults, 5 ju",$1.00
"1 Adult, female",$22.00
"1 Adult, female, molted skin of holotype",$1.00
"1 Adult, female; 1 Adult, male",$1.00
"1 Adult, Male",$5.00
"1 Adult, male; 1 Adult, female",$1.00
"1 Adult, sex unknown",$122.00
"1 Adult, unknown",$3.00
"1 Adult,Unknown",$2.00
"1 adult; 1 juvenile",$5.00
"1 adult; 1 tritonymph",$1.00
"1 ADULT; 18 JUVENILE",$1.00
"1 ADULT; 23 JUVENILE",$1.00
"1 ADULT; 29 JUVENILE",$1.00
"1 ADULT; 3 JUVENILE",$1.00
"1 ADULT; 8 JUVENILE",$1.00
"1 Adult; sex unknown",$2.00
"1 Adult; unknown",$1.00
"1 adv., 3 infertile?",$1.00
"1 advancec; 1 addled",$1.00
"1 advanced 2 addled",$1.00
"1 advanced 2 infertile",$1.00
"1 advanced, 1 addled",$4.00
"1 advanced, 1 addled.",$1.00
"1 advanced, 1 infertile",$1.00
"1 Advanced, 2 addled",$2.00
"1 advanced, 2 commenced, 2 barel",$1.00
"1 advanced, 4 rotten",$1.00
"1 and 2 days",$1.00
"1 and 2 infertile; 3,4,5 small e",$1.00
"1 and 2 medium embryos, 3 fresh",$1.00
"1 apparently fresh, 5 advanced",$1.00
"1 begun",$2.00
"1 begun; 1 fresh",$1.00
"1 begun; 1 infertile",$1.00
"1 blood - 1 fresh",$1.00
"1 blood, 1 bones",$1.00
"1 broken",$7.00
"1 broken egg + 2 young approx. 3",$1.00
"1 broken, 1 egg, 3 very small yo",$1.00
"1 broken, 1 slight trace of bloo",$1.00
"1 chick & 1 egg in nest",$1.00
"1 chick & 2 eggs (1/2 had formed",$1.00
"1 chick + 1 egg",$1.00
"1 chick + 1 egg in nest",$1.00
"1 chick + 2 eggs",$1.00
"1 chick 1 egg",$1.00
"1 chick 2.5 weeks old + 1 egg",$1.00
"1 chick- 3 wk, 1 egg collected",$1.00
"1 chick 4-4.5 wks old in nest.",$1.00
"1 chick, 2 weeks old + 1 egg pip",$1.00
"1 Commenced 2 Fresh",$1.00
"1 commenced 2 weeks; 2 infertile",$1.00
"1 commenced; 1 infertele",$1.00
"1 con sangre- 5 frescos",$1.00
"1 cowbird egg showing blood, 3 i",$2.00
"1 cowbird fresh, 4 blackbird lar",$1.00
"1 Day",$128.00
"1 day (deserted)",$1.00
"1 day (nest held 3 eggs May 20)",$1.00
"1 day complete June 9",$1.00
"1 day fresh",$1.00
"1 day incubated",$3.00
"1 day old",$4.00
"1 day old; Downy chick",$1.00
"1 day, 2 eggs in nest on the 24t",$1.00
"1 day, a little blood",$1.00
"1 day. Nest held 3 eggs May 19",$1.00
"1 day-fresh (bird on)",$1.00
"1 day-heard singing Apr1, comple",$1.00
"1 decomposing small embryo, 2 la",$1.00
"1 died in lab",$1.00
"1 dry and old, 5 very far advanc",$1.00
"1 egg & 1 young 3 weeks old.",$1.00
"1 egg & 1 young 6.5 weeks",$1.00
"1 egg & 2 young 3.5 weeks old",$2.00
"1 egg (contained feathered embry",$1.00
"1 egg +",$1.00
"1 egg + 1 chick",$1.00
"1 egg + 1 young",$1.00
"1 egg + 1 young 4 weeks old",$1.00
"1 egg + 2 chicks",$1.00
"1 egg + 2 young",$2.00
"1 egg + 2 young 3.5 weeks",$1.00
"1 egg + 2 young 3.5-4 weeks old",$1.00
"1 egg + 2 young 4-4.5 weeks old",$1.00
"1 egg + 3 young",$1.00
"1 egg + 3 young, 2-2.5 weeks old",$1.00
"1 egg + 4 young 3 weeks old",$1.00
"1 egg + fragments",$1.00
"1 egg 5 days, 2 eggs infertile",$1.00
"1 egg 6 days. Others Fresh.",$1.00
"1 egg about 3/4 incubated, 1 egg",$1.00
"1 egg about 5 days; 1 fresh",$1.00
"1 egg addled; 1 egg large embryo",$1.00
"1 egg and 1 young; two weeks old",$1.00
"1 egg badly incubated",$1.00
"1 egg- box failed.  Was a clutch",$1.00
"1 egg clear, 1 young",$1.00
"1 egg containing feathered embry",$2.00
"1 egg exactly 13 days, other app",$1.00
"1 egg failed",$2.00
"1 egg failed.  T35NR13ES27SWNE",$1.00
"1 egg far adv., 1 newly young",$1.00
"1 egg- fledged young",$1.00
"1 egg found below MV-42.  Egg ap",$1.00
"1 egg fresh, 2 eggs advanced",$1.00
"1 egg fresh, 2 eggs merest trace",$1.00
"1 egg fresh, 3 eggs far advanced",$1.00
"1 egg fresh, 4 adv",$1.00
"1 Egg Fresh, 4 Trace Of Blood",$1.00
"1 egg fresh, one slight",$1.00
"1 egg fresh. The others half inc",$1.00
"1 egg in nest on 16th",$1.00
"1 egg in nest on 23rd",$1.00
"1 egg inc 25 days, 1 cracked emb",$1.00
"1 egg infertile or fresh, 1 abou",$1.00
"1 egg infertile, 1 egg far advan",$1.00
"1 egg infertile, large embryos",$1.00
"1 egg missing",$1.00
"1 egg of 3 failed eggs.  Dried y",$1.00
"1 egg of Chipping Sparrow fresh;",$1.00
"1 egg only",$1.00
"1 egg only incubate",$1.00
"1 Egg Rotten",$1.00
"1 egg showing blood",$2.00
"1 egg slight + fresh",$1.00
"1 egg slightly, the rest not set",$1.00
"1 egg started, 1 egg addled",$1.00
"1 egg very slight; 1 egg fresh",$1.00
"1 egg w/ talon hole + 1-7 wk old",$1.00
"1 egg with embryo",$1.00
"1 egg with embryo 3 or 4 days",$1.00
"1 egg, 1 chick, 6 weeks old",$1.00
"1 egg, 1 young 3.5 weeks old",$1.00
"1 egg, 1 young 5 weeks old",$1.00
"1 egg, 1 young fledged",$1.00
"1 egg, 2 young",$3.00
"1 egg, 2 young 3 1/2 weeks old",$1.00
"1 egg, 2 young 5 weeks old",$1.00
"1 egg, 3 young 1-2 weeks old.",$1.00
"1 egg, 4 young 2 weeks old",$1.00
"1 egg; 1 young predated",$1.00
"1 egg; 2 adult",$2.00
"1 egg; 5 adult",$1.00
"1 egg; 9 adult",$2.00
"1 embryo about 5 days old, 1 bro",$1.00
"1 embryo forming, 2 bloody yolks",$1.00
"1 embryon",$4.00
"1 extant",$1.00
"1 extant; fairly well set",$1.00
"1 exuvia",$3226.00
"1 F",$5.00
"1 far advanced 2 addled",$1.00
"1 far gone..1 infertile",$1.00
"1 feathered young..2 just starte",$1.00
"1 Female And 2 Male Eyases",$1.00
"1 Female with egg case",$1.00
"1 Female, 1 Immature",$4.00
"1 Female, 1 Immature Male",$2.00
"1 Female, 1 Juv",$2.00
"1 Female, 1 juv male",$1.00
"1 Female, 1 Juvenile",$3.00
"1 Female, 1 Male",$4.00
"1 female, 1 sex unknown",$1.00
"1 Female, 14 Immature",$1.00
"1 Female, 2 Immature",$4.00
"1 Female, 2 Immature Males, 7 Immature",$1.00
"1 Female, 2 Juvenile",$1.00
