"lifeStage","reps"
"11 juveniles",539
"1f",534
"Male Flowers",534
"12 adult",533
"AD",533
"Well begun",526
"Adult(s)",525
"SY",513
"Old adult",510
"eggs",505
"flower,fruit ripe",502
"mature",501
"6 unknown",499
"15 juveniles",498
"well started",496
"Gosner 45: anuran metamorph",494
"tritonymph",482
"50",481
"1m",476
"sub-adult",473
"2 pupae",470
"5 unknown",468
"juvenile;; juvenile",466
"1.5 years",464
"Skull ossified",460
"Second year",449
"Adult female",447
"20 juveniles",444
"2M",444
"adults(s)",439
"larvae or tadpole",436
"Adult, male",435
"Adult, Brood",432
"HY",426
"Showing blood",426
"13 adult",424
"Soldier; Worker",423
"2 larva",420
"NST",414
"metamorph",413
"II; juvenile",410
"I; II;; juvenile",408
"13 juveniles",404
"after second year",404
"Embryos",404
"; juvenile; juvenile",404
";; ovigerous; juvenile",393
"yearling",393
"Just begun",390
"Flowers",389
"Gosner 41: tadpole w/forelimbs inside",388
"nest",386
"juvenile; adult, juvenile",384
"1 juv. females",377
"II; juvenile; juvenile",376
"; larvae",375
"0",368
"Adult; skull oss.",367
"Fruit",365
"Large embryos",363
"Began",362
"well along",361
"14 adult",357
"1 form II females, 1 form II males",356
"far advanced",356
"just started",356
"15 adult",355
"1M 1F",347
"Not Given",346
"II;; juvenile; juvenile",345
"juvenile;;",344
"50 juveniles",341
"DNY",341
"ad?",339
"very slight",339
"foetus",336
"protozoan stage",334
"14 juveniles",329
"Reproductive; Soldier; Worker",327
"10 days",326
"Hatched",324
"Hatchlings",324
"I; II",318
"U-Imm",316
"phyllosoma",314
"fetus",311
"NC",311
"16 adult",310
"I; II;; juvenile; juvenile",310
"adult?",307
"I;; juvenile",303
"Adult, female",300
"16 juveniles",295
"2",294
"3 exuvia",294
"juvenile; cementum-0",294
"Imm",291
"larva/pupa",291
"egg case",290
"addled",284
"infertile",284
"Ad. Summer",283
"Far advanced",283
"In Bud",283
"flower,fruit unripe",282
"Well started",282
"1 form II females, 1 form I males",281
"1St Winter",281
";; copepodid",281
"I; juvenile;; juvenile",280
"2.5 years",276
"1J",275
"about 1/3",275
"JUVENILE",275
"skull ossified",275
"Emb",274
"half",272
"larve ou imago",271
"heavy",270
"teneral",268
"17 adult",266
"3 days",265
"G&D 53-54: larva w/5 hind limb digits",263
"Young adult",263
"20 adult",261
";; juvenile; juvenile",261
"19 adult",260
"Juvenile(s)",260
"Just started",258
"; ovigerous; juvenile",258
"3 larva",254
"4 larva",253
"in bud, flower",251
"juvenile; 1 yr",251
"4 days",250
"5 days",247
";; larvae",247
"United States",247
"ADULTS",245
"2 form II females",244
"2/3",242
"3 pupae",242
"perianth",242
"2 days",241
"II; juvenile;;",239
"adult + immature",234
"oocyst",234
"rotten",232
"Ad. Winter",230
"6 egg",229
"Fresh or barely started",229
"18 adult",227
"FEMALE 2, MALE 1",227
"18 juveniles",226
"3F",226
"metacercaria",226
"nouveau-n��",225
"7 unknown",223
"Adult male",222
"Heavy",222
"Undetermined",222
"2 nymph",221
"juvenile; adult",221
"Very slight",221
"1 week",219
"JV",219
"Slightly incubated",218
"1 juv. males",217
"Well along",216
"25 juveniles",215
"Adults and juveniles",213
"adult and nymph",212
"17 juveniles",210
"30 juveniles",209
"I; juvenile",209
"young-of-the-year",208
"Not reported",207
"Poussin",207
"2 form II males",206
"cystacanth",206
"well advanced",205
"juvenile; immature",203
"nearly fresh",202
"3",200
"first instar exulis",196
"imm?",196
"soft embryos",196
"young of the year",196
"FEMALE 1, MALE 2",195
"larvae/pupa",194
"oeuf",194
"hatch year",192
"metacercariae",192
"bloody",191
"0.5 years",190
"Age Class I",189
"21 adult",187
"mixed",187
"Sub",187
"Addled",186
"pullus",183
"2 form I males",181
"tadpole",181
"about half",180
"adult and brood",180
"adulto",179
"fertile",178
"copepodid",177
"hatched",177
"metamorph(s)",177
"22 adult",176
"4 exuvia",171
"23 adult",170
"egg(s)",170
"Fragments",170
"ovigerous; juvenile",168
"B",167
"fruiting",167
"I; juvenile; juvenile",167
"second year",167
"Gosner 34-36: tadpole w/hind toes",166
"moderate",166
"pup",166
"19 juveniles",165
"adult; juvenile",165
"AHY",164
"2 juvenile",163
"; ovigerous;;",163
"2 adults",161
"3M",161
"about 1/4",161
"other",161
"3 nymph",160
"adult; cementum-1",160
"IM",159
"No data",159
"Sub-adult",159
"fl., fr.",158
"adulte, t��tards",156
"see card",156
"10 larva",155
"about 1/2",155
"vegetative",155
"Downy-Juv.",154
"fr.",153
"ovigerous;;",153
"4 pupae",152
"leptocephale",152
"mort-n��",152
"adult; 399 C day",151
"first year",149
"hatch-year adult",149
"medium",149
"adult/juv sex unknown",148
"3/4",147
"incubated",147
"adult;;",146
"immature?",146
"adult adult",145
"adult(s)",144
"I; II; juvenile;;",144
"0 ou 1",143
"slightly",143
"22 juveniles",140
"4",140
"adult exulis",140
"juvenil 1K",140
"2 juv. females",138
"5 pupae",138
"25 adult",137
"8 unknown",137
"Nearly fresh",137
"2 form II females, 1 form II males",136
"Slightly",136
"6 days",135
"About 1/3",134
"3 or 4 days",133
"Fresh to slight",133
"JUVENILE 1, FEMALE 1",133
"subad",133
"1 form II females, 2 form II males",132
"23 juveniles",132
"24 adult",131
"Well advanced",131
"I;; juvenile; juvenile",130
"SKULL COMPLETELY OSSIFIED",130
"Subadulte",130
"12 days",129
"adult; 1.5 yr",129
"adult; 2.5 yr",128
"cyst(s)",127
"Flowering ?",127
"one week",127
"Premetamorph",127
"simplex",127
"4F",126
"fledgeling",126
"Nouveau-n��",126
"small embryo",126
"8 days",125
"Gosner 28-30: tadpole w/hind limb buds",125
"jeune",125
"Gosner 37-38: tadpole w/later toe stage",124
"1 day",123
"Bloody",123
"1 Adult, sex unknown",122
"cercariae",122
"P",122
"Soft embryos",122
"FEMALE 2, MALE 2",121
"1St Summer",120
"2M 1F",120
"After hatching year",120
"N/A",120
"Young fruit",120
"t��tards, imagos",119
"10 unknown",118
"2 deutonymph",118
"adult; 2 yr",116
"egg, larva",116
"in bud, fruit ripe",115
"Juvenile/Subadult",115
"microfilariae",115
"MX",115
"2 or 3 days",114
";; Nymph",114
"11 unknown",113
"2 form II females, 2 form II males",113
"9 unknown",113
"fresh to slight",113
"juvenil",113
"24 juveniles",112
"28 adult",112
"adult; pupa",112
"FEMALE 3, MALE 1",112
"1M, 1F",111
"21 juveniles",111
"3 adults",111
"Female",111
"metacestode",111
"30 adult",110
"Flowering and Immature Fruit",110
"1 form I males, 1 form II males",109
"40 juveniles",109
"adult; larvae",109
"megalopa",109
"over-wintered",109
"egg mass",108
"Juvenil",108
"4 or 5 days",106
"I; II; juvenile",106
"not begun",106
"Not indicated",105
"Reproductive",105
"1 juvenile, 1 exuvia",104
"3.5 years",104
"Half",104
"I; II; juvenile; juvenile",104
"Moderate",104
"Small embryo",104
"26 adult",103
"27 adult",103
"5 exuvia",103
"hy; sy",103
"1F 1J",102
"About 1/2",102
"I; juvenile;;",102
"Large embryo",102
"3K",100
"4 ��r",100
"7 days",100
"Adults, sex unknown",100
"young adult",100
"1m 1f",99
"26 juveniles",99
"27 juveniles",99
"Soldier",99
"1 juv. females, 1 juv. males",98
"Mixed",98
"100%",97
"1 larva",97
"4K+",97
"Nest",97
"USA",97
"Adolescent",96
"Larvae and metamorphs",96
"Metamorphs",96
"1 form II females, 1 form I males, 1 form II",95
"28 juveniles",95
"m��tamorphos��",95
"2Nd Winter",94
"Depredated",94
"one third",94
"ADULT BY PLUMAGE",93
"7 egg",92
"Ad. Breeding",92
"Broken",92
"Male",92
"Medium",92
"One week",92
"Slightly Incubated",92
"29 adult",91
"3 form II females",91
"Adult; Adult; Pupa",91
"FEMALE 1, MALE 3",91
"Fruiting ?",91
"in bud, fruit unripe",91
"T��tards & imago",91
"1M  1F",89
"3 ��r",89
"I; II;; ovigerous",89
"larvae and adults",89
"almost fresh",88
"1M 2F",87
"Juv.-1St Winter",87
"nymph gallicola",87
"subadult/adult",87
"35 juveniles",86
"5 larva",86
"larves",86
"12 unknown",85
"few days",85
"Few days",85
"Newborn",85
"100 juveniles",84
"One third",84
"Pup",84
"1 form II females, 2 form I males",83
"1 Male, 1 Female",83
"4 adults",83
"About half",83
"Aged Adult",83
"G&D 52: larva w/4 hind limb digits",83
"juv?",83
"large emrbyos",83
"Not noted",83
"one half",83
"third year",83
"5",82
"6 pupae",82
"adult; cementum-2",82
"2J",81
"Flowering & fruiting",81
"2 form II females, 1 form I males",80
"FLG",80
"Fresh.",80
"nulle",80
"1/3 advanced",79
"3 juv. females",79
"Eft",79
"large embryo",79
"One half",79
"0.5 yr",78
"2f",78
"2 ��r",78
"32 adult",78
"3 deutonymph",78
"Adult; Adult; Adult",78
"; Nymph",78
"plerocercoid",78
"quite fresh",78
"Transformed or nearly so",78
"Ultimate instar; Wings Alatoid",78
"1 juvenile, 1 pupa",77
"Adult;;",77
"adult, pupal case",77
"ammocoetes",77
"several days",77
"SKULL NOT COMPLETELY OSSIFIED",77
"Subadult/Adult",77
"2 weeks",76
"ADULT, JUVENILE",76
"All stages",76
"many adults",76
"U-Juv",76
"adult; 3.5 yr",75
"Age Class II",75
"considerable",75
"ju",75
"just began",75
"10 pupae",74
"1/2 advanced",74
"33 adult",74
"3 form II females, 1 form II males",74
"5 ��r",74
"Small Embryos",74
"32 juveniles",73
"33 juveniles",73
"about 5 days",73
"A trace",73
"pupal case",73
"very advanced",73
"3 form II males",72
"QP et imago",72
"slightly advanced",72
"2 Females",71
"34 adult",71
"3 form I males",71
"Adv.",71
"cercaria",71
"Considerable",71
"ponte",71
"sa",71
"S.A.",71
"adullt",70
"Flower and fruit",70
"hard embryos",70
"well under way",70
"1F  1J",69
"20 pupae",69
"31 adult",69
"31 juveniles",69
"adv.",69
"just commenced",69
"No development",69
"pouch young",69
"1M 1J",68
"2 form II females, 3 form II males",68
"3 form II females, 2 form II males",68
"5F",68
"Just commenced",68
"old adult",68
"one-third",68
"Sa",68
"Skull 100% ossified",68
"U-Nestling",68
"about 4 days",67
"adult gallicola",67
"adult; Rudd's age class 3-",67
"Brood",67
"Hatched in wild.",67
"neuter",67
"nymph exulis",67
"Skull windows",67
"slightly incubated",67
"13 unknown",66
"eft",66
"FEMALE 4, MALE 1",66
"Fresh; showing blood",66
"One fourth",66
"Postmetamorph",66
"14 unknown",65
"1 form II females, 3 form II males",65
"About 1/4 advanced",65
"first instar exuvium",65
"gall",65
"JUVENILE 1, MALE 1",65
"U-1St Year",65
"29 juveniles",64
"8 pupae",64
"a",64
"about 3 days",64
"G&D 55: larva w/gills reducing",64
"Recent metamorph",64
"Showing Blood",64
"Skull fully ossified",64
"sporophytes",64
"35 adult",63
"38 adult",63
"3 juvenile",63
"About one-third",63
"adult; 1 yr",63
"Gosner 40: tadpole w/hind foot complete",63
"nauplius",63
"nymph 5th instar",63
"15 unknown",62
"36 adult",62
"36 juveniles",62
"8 egg",62
"First winter",62
";; ovigerous; juvenile; juvenile",62
"Several days",62
"1 ��r",61
"adult; larva",61
"cysticercus",61
"Incubated",61
"SY imm",61
"Symplex",61
"Yearling",61
"4-5 days",60
"cysticercoid",60
"I;; ovigerous",60
"juvenile A-1",60
"All fresh",59
"Half incubated",59
"3-4 days",58
"4 nymph",58
"9 days",58
"about 1 week",58
"a trace",58
"; juvenile;; juvenile",58
"very heavy",58
"winged adult",58
"37 adult",57
"5 adults",57
"about 10 days",57
"age class 0",57
"Fledgling",57
"G&D 34-38: larva w/no front limb digits",57
"Hatchling and egg shell",57
"larval",57
"No sign of development",57
"; ovigerous;; juvenile",57
"Simplex",57
"2-3 days",56
"34 juveniles",56
"37 juveniles",56
"egg or embryo",56
"larves + juveniles",56
"Not begun",56
"Not given",56
"About 1/4",55
"annual",55
"fruit unripe, fruit ripe",55
"JJ",55
"perfectly fresh",55
"well on",55
"16 unknown",54
"About 1/3 advanced",54
"exoskeleton",54
"FEMALE 3, MALE 2",54
"juvenile; Rudd's age class 32+",54
"See card",54
"Stage 25",54
"2M, 1F",53
"42 adult",53
"5 or 6 days",53
"6 exuvia",53
"I; ovigerous",53
"Not provided",53
"tadpoles",53
"2 form II females, 2 form I males",52
"4M",52
"about 1/3 advanced",52
"adult; 3 yr",52
"adult or juv ?",52
"a few days",52
"all fresh",52
"Fresh or started",52
"Immature - Hatchling",52
"Ju",52
"juv.",52
"JUVENILE, ADULT",52
"ready to hatch",52
"Subad.",52
"tetrathyridia",52
"39 adult",51
"7 pupae",51
"adults & juveniles, sex unknown",51
"No incubation",51
"S��rie t��tard DP",51
"s��rie t��tards",51
"Slight.",51
"t��tard / larve",51
"1 adult + 1 larva",50
"2M 2F",50
"41 adult",50
"adult 2K+",50
"bad",50
"juvenile ?",50
"Soft Embryos",50
"1 juv. females, 1 form I males",49
"1M1F",49
"41 juveniles",49
"45 juveniles",49
"Collected post nesting. See addi",49
"I; II; juvenile;; juvenile; ovigerous",49
"in bud,fruit unripe",49
"medium embryos",49
"S��rie t��tards",49
"Ultimate instar; Wings Aptera",49
"U-S.A.",49
"1 juv. females, 1 form II females",48
"1 yr",48
"2 adults + 1 larva",48
"2 form II females, 1 form I males, 1 form II",48
"2 juv. females, 1 juv. males",48
"2 larvae",48
"6 adults",48
"about 2/3",48
"Ad. Sum.-Ad. Win",48
"adults, larva",48
"all stages",48
"Calf",48
"Reproductive; Soldier",48
"Skull not ossified",48
"Very fresh",48
"1M 3F",47
"3 form II females, 3 form II males",47
"9 egg",47
"ADULT, SKULL OSSIFIED",47
"cocoon",47
"juvenile; nymph",47
"Not applicable",47
"well set",47
"1 juv. undetermined",46
"40 adult",46
"42 juveniles",46
"adult; 4.5 yr",46
"adult; 8.5 mo",46
"; copepodid",46
"eft(s)",46
"eggs fresh",46
"Gosner 23-24: tadpole w/external gills",46
"juvenile?",46
"Premetamorphs",46
"Reproductive; Soldier; Worker; Termitophiles",46
"sporophyte",46
"Stillborn",46
"very fresh",46
"3-5 days",45
"3M 1F",45
"6F",45
"Advanced.",45
"Budding",45
"FEMALE 2, MALE 3",45
"Juveniles and metamorphs",45
"jv.",45
"naiad",45
"No recorded",45
"nymph female",45
"Skull oss",45
"two-thirds",45
"+",44
"1 juvenile; 1 adult",44
"3 form II females, 1 form I males",44
"8 exuvia",44
"about 1/4 advanced",44
"AD ?",44
"adult; 1 C yr",44
"All Fresh",44
"embryons",44
"(Fh)",44
"Reproductive; Soldier; Worker; Termitophile",44
"SKULL OSSIFIED",44
"t��tard stade 26",44
"uncertain",44
"1/8",43
"1 year",43
"20 unknown",43
"2m",43
"38 juveniles",43
"50 adult",43
"Ad.Sum.-Ad.Win.",43
"A few days",43
"Almost fresh",43
"FEMALE 1, MALE 4",43
"Gosner 31-33: tadpole w/hind foot",43
"Not available",43
"skull 100% ossified",43
"t��tard stade 29",43
"Well on",43
"?",42
"10 exuvia",42
"1j",42
"2 juv. males",42
"44 juveniles",42
"45 adult",42
"adult and larva",42
"Ad. Win.-Ad. Sum",42
"flowering and fruiting",42
"Four days",42
"G&D 41-42: larva w/3 front limb digits",42
"Null",42
"showing",42
"Slightly advanced",42
"1/5",41
"1St Win.-1St Sum",41
"2/5",41
"2 juveniles, 1 exuvia",41
"2 years",41
"43 adult",41
"4.5 years",41
"6",41
"Adult; Adult; Adult; Adult",41
"FEMALE 4, MALE 2",41
"Flower; Fruit",41
"forb",41
"Gravid adult",41
"hatchlings",41
"Large Embryos",41
"Larvae and metamorph",41
"Ovo",41
"strictly fresh",41
"V",41
"very small embryos",41
"1?",40
"2F 1J",40
"Ad?",40
"adult; 3+ yr",40
"adult / juvenile ?",40
"Egg mass",40
"Failed",40
"first instar nymph exulis",40
"Fresh to advanced",40
"gemmae",40
"Gosner 19-22: pretadpole",40
"IM ?",40
"partial",40
"protozoan stage sarcocyst",40
"Very advanced",40
"1M  1J",39
"39 juveniles",39
"4 juvenile",39
"Adult, skull oss.",39
"Branchiate adult",39
"Fresh or slight",39
"G&D 46-48: larva w/no hind limb digits",39
"Gosner 39: tadpole w/hind subtubercles",39
"JUVENILE 2, FEMALE 1",39
"larva; adult",39
"no development",39
"Slightly developed embryo",39
"Well developed embryo",39
"1St Year",38
"5M",38
"adult; immature",38
"adult on eggs",38
"feathered embryos",38
"immature;subadult",38
"juvenile; .5 yr",38
"Well Begun",38
"10 egg",37
"15 pupae",37
"1F, 1J",37
"1 pupa, 1 exuvia",37
"5-6 days",37
"Age Class III",37
"Bad",37
"bloodshot",37
"embryos formed",37
"HY ?",37
"juvenile A-2",37
"moderate to advanced",37
"redia",37
"1St Spring",36
"7F",36
"9 pupae",36
"egg masses",36
"; juvenile;;",36
"None over 3 or 4 days",36
"Pupa; Larvae",36
"three days",36
"well formed embryos",36
"1 juv. females, 2 juv. males",35
"1M, 2F",35
"2 juveniles, 1 pupa",35
"44 adult",35
"6 ��r",35
"6 nymph",35
"7 adults",35
"9 exuvia",35
"class 2 or 3",35
"hard set",35
"juvenile; Rudd's age class 31",35
"juvenile V",35
"petit",35
"Quite fresh",35
"1-2 days",34
"1 form II females, 1 form I males, 2 form II",34
"1 form I males, 2 form II males",34
"4 juv. females",34
"5 nymph",34
"adult; 12 mo",34
"adult; 6 mo",34
"adult; cementum-0",34
"adult; cementum-3",34
"adult/juv, sex unknown",34
"adult; pupal skin",34
"oeufs",34
"skull fully ossified",34
"stale",34
"Tetrasporic",34
"Two days",34
"U-Subad",34
"v. small embryos",34
"1/10",33
"19 unknown",33
"1F 2J",33
"2 form II females, 1 form I males, 2 form II",33
"2 form I males, 1 form II males",33
"46 adult",33
"46 juveniles",33
"47 adult",33
"49 adult",33
"about 25%",33
"About 5 days",33
"Adult unsexed",33
"almost complete",33
"Egg fragments",33
"fairly advanced",33
"juveniles",33
"manca",33
"one fourth",33
"Pregnant",33
"skull windows",33
"Three days",33
"1 form II females, 3 form I males",32
"1m 2f",32
"1 male, 1 female",32
"2 juv. females, 2 juv. males",32
"4 form II females, 3 form II males",32
"4 form II males",32
"56 adult",32
"5 to 7 days",32
"7 exuvia",32
"About 2/3",32
"About one third",32
"advanced-feathered",32
"Aged adult",32
"first-year",32
"flowers",32
"gravide",32
"��uf",32
"Infant",32
"JUVENILE; ADULT",32
"juvenile; Immature",32
"LEPTOCEPHALUS",32
"Mature fruits",32
"Not Reported",32
"nymph male",32
"one day",32
"Perfectly fresh",32
"st.31",32
"1 form II females, 2 form I males, 1 form II",31
"1ST YEAR SKIN",31
"2 Adult, sex unknown",31
"2M 3F",31
"3J",31
"47 juveniles",31
"50 pupae",31
"58 juveniles",31
"8",31
"About 3 days",31
"ADOLESCENT",31
"Adult ?",31
"adult 2K",31
"Flowering and young fruit",31
"Hatched eggs",31
"Immature - hatchling",31
"in bud, flower, fruit ripe",31
"Juv.-1St Win.",31
"one-half",31
"Stade 45-46",31
"t��tard 4 pattes",31
"well commenced",31
"2/3 advanced",30
"24 unknown",30
"2 form II females, 4 form II males",30
"3 form II females, 4 form II males",30
"3Rd Winter",30
"48 adult",30
"4 form II females, 2 form II males",30
"51 adult",30
"FEMALE 3, MALE 3",30
"first instar",30
"hatched-W",30
";; juvenile V",30
"neotenic",30
"non-ovigerous",30
"Reproductive; Worker",30
"tetrathyridium",30
"17 unknown",29
"1F1J",29
"2 Female",29
"2Nd",29
"43 juveniles",29
"51 juveniles",29
"55 adult",29
"About 1/2 advanced",29
"About 4 days",29
"[ad]",29
"Adult; Adult; Pupa; Larvae",29
"Adulte ?",29
"Eggs fresh",29
"FEMALE 4, MALE 3",29
"Fresh and well begun",29
"fruit",29
"growth series",29
"; II",29
"imm.",29
"juvenile IV",29
"; juvenile; ovigerous",29
"larvae and adult",29
"Mostly Fresh",29
"no record",29
"NULL",29
"Oeufs",29
"queen",29
"st. 39",29
"18 unknown",28
"1Adult, sex unknown",28
"1 juv. females, 1 form II females, 1 juv. mal",28
"1M  2F",28
"1St",28
"1 stage & sex unknown",28
"2 form II females, 3 form I males",28
"2 Males",28
"3 larvae",28
"5 juvenile",28
"about 2 days",28
"Beginning",28
"chrysalis",28
"FEMALE 2, MALE 4",28
"Fragments.",28
"juvenile; ovigerous",28
"Nof recorded",28
"No record",28
"over-winter; over-winter",28
"U-Subad.",28
"Very heavy",28
"0.5 year",27
"11 days",27
"12 pupae",27
"1 adult + 2 larvae",27
"1f 1j",27
"1 juvenile; 2 adult",27
"21 unknown",27
"3 juv. females, 1 juv. males",27
"4 form II females",27
"4J",27
"52 adult",27
"9 adults",27
"about 1/2 advanced",27
"Ad SFO",27
"adult; 4 yr",27
"Adult; Pupa",27
"Adult; skull fully oss.",27
"Broken eggs",27
"Collected post-nesting. See addi",27
"Fertile, not incubated",27
"first instar gallicola",27
"Fresh and started",27
"Juvenile/Eft",27
"Mature",27
"Trace.",27
"ty",27
"1 juvenile; 3 adult",26
"1St Sum.-2Nd Win",26
"22 unknown",26
"3 adults + 1 larva",26
"49 juveniles",26
"4 deutonymph",26
"4 form II females, 1 form II males",26
"54 adult",26
"5.5 years",26
"5K+",26
"about 7 days",26
"Adult SFO",26
"Age Class IV",26
"Almost complete",26
"capsules",26
"cub",26
"four days",26
"G&D 31-33: larva w/branching gills",26
"I; II; ovigerous",26
"immature fruit",26
"juvenile; pupa",26
"multiple",26
"nearly hatched",26
"nestling pullus",26
"One-third",26
"ovigerous;; juvenile",26
"Rotten",26
"slight to moderate",26
"st.45",26
"SY?",26
"teneral + exuviae",26
"t��tard QP imago",26
"turning",26
"1/4 advanced",25
"1F 3J",25
"1 t��tard",25
"2 adults + 2 larvae",25
"2 young-of-the-year",25
"3 form II females, 2 form I males",25
"3 years",25
"4K",25
"53 juveniles",25
"7",25
"A4Y",25
"about a week",25
"Ad.; S.F.O.",25
"fresh to trace",25
";; immature",25
"juvenile III",25
"Metamorph (early)",25
"metamorph with tail",25
"N/a",25
"ok",25
"over 1/2",25
"Partial",25
"st.28",25
"st.42",25
"subadulte",25
"Very Slight",25
"12 exuvia",24
"1 form II females, 4 form II males",24
"1M 1F 1J",24
"3 form II females, 5 form II males",24
"3M 2F",24
"4 larvae",24
"53 adult",24
"9",24
"about 3/4",24
"About one half",24
"adolescaria",24
"adult class 3",24
"adult + larva/pupa",24
"adult or juv?",24
"Adult orjuvenile",24
"adult; Rudd's age class 3+",24
"adult, skull fully ossified",24
"Fh",24
"fragments",24
"fresh, commenced",24
"G&D 56: metamorph",24
"gravid",24
"Hard set",24
"I; II;; juvenile; ovigerous",24
"II;; ovigerous",24
"J",24
"JUVENILE 1, FEMALE 1, MALE 1",24
"mature fruit",24
"POSSIBLY A SECOND YEAR BIRD",24
"postlarvae",24
"Ready to hatch",24
"Sk. Oss.",24
"st.46",24
"t��tard stade 28",24
"Transforming larva",24
"U-Fledgling",24
"1 juv. females, 1 form II males",23
"1M 4F",23
"1 or 2 days",23
"1 ou 2",23
"23 unknown",23
"2 females",23
"2 juv. females, 1 form I males",23
"2 Male",23
"45-46",23
"6 juvenile",23
"6 larva",23
"7 adults + 1 larva",23
"8 adults",23
"AHY?",23
"capsule",23
"class 2",23
"Eggs and Larvae",23
"embryo(s)",23
"Fertile?",23
"five days",23
