lifestage,reps
Fragments.,28
Nof recorded,28
No record,28
Beginning,28
Euring 7,28
Immadur | Euring 9,28
U-Subad.,28
Very heavy,28
1St,28
BURSA NOT FOUND; SKULL 10% OSS.,28
15 days,28
48 adult,28
SKULL 100% OSS.; NO BURSA,27
u sk.oss.,27
99 WEEKS,27
adult; 4 yr,27
Adult; skull fully oss.,27
NO BURSA; SKULL 5% OSS.,27
1 larva,27
5.5 years,27
Fresh and started,27
Collected post-nesting. See addi,27
Ad SFO,27
Trace.,27
G&D 56: metamorph,27
First year,27
"Fertile, not incubated",27
8 WEEKS,27
0.5 year,27
60 adult,27
Juvenile/Eft,27
ty,27
112 WEEKS,27
Broken eggs,27
about 1/2 advanced,27
larva; adult,26
Adult wings and tail,26
1St Sum.-2Nd Win,26
four days,26
multiple,26
cub,26
[Imm.],26
55 adult,26
turning,26
nearly hatched,26
Adult SFO,26
Rotten,26
Almost complete,26
1 têtard,26
One-third,26
juv. chick,26
st.45,26
têtard QP imago,26
slight to moderate,26
nestling pullus,26
[domestic],26
Age Class IV,26
54 adult,26
juv.sk.clear,26
about 7 days,26
OLD,25
7 WEEKS,25
st.28,25
subadult | Euring 3,25
NO BURSA FOUND,25
52 adult,25
st.42,25
metamorph with tail,25
sk.winds.,25
Partial,25
ed,25
1/4 advanced,25
Metamorph (early),25
N/a,25
about a week,25
A4Y,25
ok,25
over 1/2,25
Ad.; S.F.O.,25
BURSA NTO FOUND,25
Very Slight,25
METAMORPHS,25
Fertile,25
fresh to trace,25
sk.granulated,25
Adult orjuvenile,24
Sk. Oss.,24
G&D 50-51: larva w/3 hind limb digits,24
sk.windows,24
U-Fledgling,24
st.46,24
Transforming larva,24
u a.,24
"fresh, commenced",24
About one half,24
Hard set,24
BURSA 4 X 3 MM,24
têtard stade 28,24
fragments,24
adult; Rudd's age class 3+,24
Fh,24
"adult, skull fully ossified",24
LARVE,24
about 3/4,24
3P,24
POSSIBLY A SECOND YEAR BIRD,24
adult plumage,24
Adult tail,24
Ready to hatch,24
adult class 3,24
SKULL CA. 0% PNEUM,24
SKULL 25% OSS; NO BURSA,24
ahy,24
desconeguda,24
18 days,23
sm.sk.wind.,23
suspected adult,23
st.27,23
53 adult,23
u juv,23
1 or 2 days,23
juvenile; 20 day,23
Skull 100% oss,23
1 ou 2,23
33 years,23
110 WEEKS,23
Eggs and Larvae,23
sk. not oss.,23
Well under way,23
2.0,23
embryo(s),23
not given,23
SKULL NOT OSS,23
Near term embryo,23
class 2,23
Larvae and premetamorphs,23
well incubated,23
See data card,23
Hard embryos,23
Chicks,23
five days,23
45-46,23
Hatching year,23
skull clear,23
NESTLINGS,23
5.5 yrs.,23
Commenced.,22
s.1/4 o.,22
25 unknown,22
Well Started,22
24 unknown,22
well-formed embryos,22
adult; 5.5-6.5 yr,22
about fresh,22
Far Advanced,22
No further information available,22
118 WEEKS,22
adult male,22
SKULL COMPL. OSS,22
NO BURSA; SKULL 75% OSS.,22
6K,22
3rd,22
26 days,22
s.1/3 o.,22
STUDY,22
egg yolk sac larva,22
QP - imago,22
Skull Oss.,22
32 years,22
snco?,22
18 months,22
IMMATURE PLUMAGE,22
3 nestling,22
1st.yr.,22
s.c.o.,22
sk.dbl.,22
Well formed embryos,22
trace of red,22
6 or 7 days,22
NO BURSA; SKULL 50% OSS.,22
Showing,22
Started.,22
02 years,22
50%,22
well began,22
Just Begun,21
11 egg,21
adult | Euring 6 | Euring 4,21
Just began,21
Larval/In 2.5% Formalin,21
Not  recorded,21
Data not recorded,21
Well set,21
snco/ 1st year skull,21
"fresh, showing blood",21
1st.-2nd.,21
"IMMATURE,",21
Ammocoete,21
nestl.,21
about one week,21
têtard 2 pattes,21
HY by plumage,21
PARATYPE,21
3 YR,21
TISSUE AND PHOTO ONLY,21
One-half,21
alevin,21
Juv.?,21
About 2 days,21
st.39,21
Five days,21
Medium embryo,21
8-10 days,21
New born,21
m+,21
G&D 39: larva w/2 front limb digits,21
and,20
Larve,20
136 WEEKS,20
fledged,20
Com.,20
6.5,20
8 yr,20
99 adult,20
complete,20
5 yrs.,20
146 WEEKS,20
Embryos formed,20
HY; BURSA NOT FOUND,20
[chick],20
Huevo,20
fuc,20
Late stage embryo,20
along,20
adult; 19 day,20
62 adult,20
NO BURSA FOUND; SKULL 100% PNEUM,20
One day,20
about one half,20
about 6 days,20
From fresh to well began,20
two days,20
subadult; adult; adult; adult; adult,20
12 egg,20
128 days,20
BURSA NOT FOUND; SKULL 25% OSS.,20
"stage 43 of Gosner, 1960",20
adv,20
Over 1/2,20
subadult; adult; adult; adult,20
not commenced,20
têtards + imago,20
Well commenced,20
ASY; NO BURSA,19
adult; 1 yr 8.5 mo,19
58 adult,19
feathered,19
Subadulto,19
highly incubated,19
neonate; 1 day,19
U-Adult,19
5K,19
3 UNKNOWN AGE,19
juvenile; 1 mo,19
small,19
partly incubated,19
Juvenile ?,19
SFO,19
st.26,19
7 to 10 days,19
About fresh,19
blood,19
G&D 43-45: larva w/4 front limb digits,19
Immature ?,19
Adv,19
Egg(s),19
1/2 year,19
3 Days,19
[juv.],19
"SKULL NOT COMPLETELY OSSIFIED, S",19
7 yr,19
7 or 8 days,19
Eggs and embryos,19
tiny sk.winds.,19
Very small embryos,19
old,19
about 2/5,19
as,19
s.3/4 o.,19
st.42-43,19
1st. summer,19
59 adult,19
6 months,19
Adult; skull 100% oss.,19
57 adult,19
fresh to bloody,19
Nestling Downy,19
fresh - slight,19
Euring 4 | Immadur,19
about 8 days,18
subadult | Euring 7,18
24 months,18
Fresh or barley started,18
SKULL NOT OSSIFIED,18
>2nd calendar year,18
JUVENILE ; SKULL 10% OSS; BURSA,18
BURSA 3 X 2 MM,18
1 day old,18
20 days,18
U-1St Winter,18
half advanced,18
61 adult,18
BURSA 5 X 4 MM,18
sk. doubled,18
adult; 8-11 yr,18
no,18
6 yr,18
Juvenile?,18
BURSA 5 X 5 MM,18
Begun.,18
soft bones forming,18
1st yr,18
fresh and slight,18
Stage 26,18
14 days,18
22 unknown,18
Trace of red,18
post,18
4Y,18
Têtards QP et,18
jeune en mue,18
Failed nest,18
SKULL PNEUM,18
large larva,18
u nestling,18
30 unknown,18
a/n,18
"NO BURSA, SKULL 100% PNEUM",18
sk. double,18
G&D 40: larva w/elbow articulation,18
baby,18
two thirds,18
Im,18
adult; 5 yr,18
nearly 1/2,18
two weeks,18
Varied- see data card,18
One-third incubated,18
1 y.,18
Imm?,18
3.5 YRS.,18
Hatching,18
badly,18
Just Started,18
BURSA 7 X 6 MM,17
[Imm],17
"stage 44 of Gosner, 1960",17
juvéniles,17
about 2 weeks,17
Nearly hatched,17
ads,17
BURSA 4 X 4 MM,17
Nestling-Juv.,17
f,17
Stage 37,17
Cont.,17
2 young-of-the-year,17
132 WEEKS,17
downy young,17
6.5 years,17
is,17
adult; 2 yr 8.5 mo,17
tétard / imago,17
7.5,17
sk.single,17
19 unknown,17
About 3/4,17
senile,17
after first year,17
115 WEEKS,17
nearly complete,17
Well developed,17
Ten days,17
Turning,17
hatching,17
"larves, imagos",17
[Juv],17
Adult + young,17
immature plumage,17
5 YR,17
2-3 years,17
Well begun.,17
large sk.wind.,17
adult; 21 day,17
adult; embryo,16
2P,16
Juvenile/subadult,16
Large skull windows,16
63 adult,16
5 juvenile,16
adult; 25 day,16
about one third,16
"stage 40 of Gosner, 1960",16
23 unknown,16
éclosion,16
adult; Rudd's age class 3,16
embryos large and soft,16
125 WEEKS,16
About one week,16
class 3,16
sk.pneumatized,16
têtard stade 31,16
Complete,16
very bad,16
Bloodshot,16
Blood,16
13 egg,16
143 WEEKS,16
BURSA 6 X 5 MM,16
NO BURSA; SKULL 95% OSS.,16
21 unknown,16
1/3 incubated,16
femelle,16
Agé,16
nounat,16
3.5years,16
Imm.?,16
Gosner 01-18: anuran embryo,16
Heavily incubated,16
small sk.wind.,16
Two Days,16
130 WEEKS,16
U.Ad.,16
some,16
subadult?,16
barely begun,16
adolescent,16
sk. 1/2 oss.,16
Juv?,16
juvenil | subadult,16
