island,reps
Saint John,321
Basse-Terre Island,321
Angel de la Guarda Id.,320
Canton Island,319
Espanola I.,318
santo,317
Eilat,317
Santa Rosa Island,315
Clipperton,315
Saturna Island,314
Wake,312
Mallorca,312
Raphael Island,312
Tsushima Id.,311
Camiguin Norte Island,310
luzon,310
Suemez Island,308
Vanua Balavu I.,308
Phuket Island,308
Basilan I.,307
Saint George Island,306
Vella Lavella Island,300
Graham,300
Ulithi Atoll,300
Tumbagaan I.,299
Tanna,298
Culion I.,297
Rose Atoll,297
Tiburon Island,297
Raivavae,294
Isla Grande de Chiloé,294
amsterdam,294
Mactan Island,294
Flores Island,293
San Salvador I.,293
St. Croix Island,292
Seram,291
Marthas Vineyard,290
Polillo Id.,290
Tortuga Id.,288
Floreana,287
Manus,286
Taravai,285
Biliran Island,285
Marajo Island,284
Minami Tori Shima,281
Cumberland,278
Sariguan Island,277
Tern,275
Angaur,275
Santiago,274
Nuku Hiva,273
Fatuhiva,273
Fatu Hiva,273
Zarembo Island,272
Romblon Island,270
Fernandina Id.,269
Lombok,268
Ifaluk Atoll,268
South Georgia Island,266
Antigua Island,264
Santa Magdalena Id.,264
Isla de Culebra,262
Augulpelu Reef,262
Groote Eylandt,262
Ikishima Id.,261
Yap Island,260
Fuga I.,260
Ngerechong Id.,258
St. Thomas Island,257
Mahe Island,255
Sibuyan Id.,255
Shortland Island,253
Polynesia,253
Pulau Tikus,252
Ngadarak Reef,252
Saint Helena Island,251
Borneo Id.,251
Cocos Island,251
Ascension Island,251
Malaita Id.,251
Nunivak Island,251
Emae,249
Bora-bora,249
sao vicente,249
South Pagai,248
Socorro Id.,247
Biri Island,247
San Esteban Id.,246
Heceta Island,246
Hinchinbrook Island,246
Guimaras Id.,244
Camiguin Island,244
Knight Island,243
Jenny Lind,243
Mota Lava,242
Bainbridge,241
Sibuyan Island,241
Little Santa Cruz Island,239
Kayangel,239
Sardegna,238
Isabel Id.,237
Midway Atoll,237
San Cristobal I.,236
tutuba,235
Upolu Id.,235
Halmahera Island,234
Virgin Gorda,234
Busuanga Id.,232
Rotuma,231
Sukkwan Island,231
Pinzon Id.,227
Waigeo I.,227
Bongao I.,226
East Sand,225
Bioko Island,225
Peleng Island,224
Genovesa,224
Tablas Id.,224
Baffin,224
Taumako Island,223
Buldir,222
Mauphelia Atoll [Maupihaa],221
Dog Island,221
Australia,221
Tiburon Id.,220
Duke Island,220
Kodiak,220
Koror Island,219
Nggela Sule,219
Fernandina I.,219
San Andrés,218
Johnston Atoll,218
Marchena Id.,217
Ngarchelong,216
Kyushu Id.,216
Guadalcanal Id.,215
Tubuai,215
Barbuda,215
Mangaia I.,214
Ticao I.,214
San Jose,214
Oeno Atoll,214
espiritu santo,214
saint paul,214
Sibutu Island,214
Jayawijaya Div.,213
KwaZulu-Natal,212
Nosy Be Id.,211
Sipura,210
sumatra,210
Mangareva,209
Nihoa,208
Tongatapu Island,208
Pinta Id.,208
East Falkland,207
Peleliu I.,207
Tiburón,206
Saint Matthew Island,206
Pandanon Island,205
Pohnpei,205
Cocos Id.,205
Male Atoll,205
Ko Samui Id.,205
San Fernando Island,205
Caluya Id.,205
Mangareva Island,205
Carmen,205
One Tree,205
Monserrate Id.,204
mayotte,204
Bimini,203
Koro I.,203
Verde Island,202
Jana Island,201
Lopez Island,201
Tumindao Island,200
San Pedro Martir Id.,200
Vavau Island,200
Kosrae,199
Grand Manan Island,199
Mustang Island,198
D'Entrecasteaux Islands,198
Borocay Id.,198
North,198
Hull Island,197
Sicogon Id.,197
Isla Cedros,197
Nggela Sule Island,197
Balicasag Island,196
Bay Farm Island,195
West Falkland,195
South Caicos,195
Rota Island,195
Marajó,194
Rum Cay/San Salvador,194
Anatahan Island,193
Great Swan Island,193
Kure Atoll,192
Rarotonga Id.,192
Trinidad Id.,192
Saint George,192
San Benedicto,191
Mago I.,191
chausey,189
West San Benito Id.,189
Massas Island,189
Rennell,187
Oahu*,185
Langara,185
Viwa Island,185
Ua Pou,184
hiva oa,184
Hiva Oa,184
Sergief Island,184
Shrubby Island,183
Niuafo'ou,183
Grenada,182
Anvers Island,182
Efate Id.,182
Isla Isabela,181
nuku hiva,180
Simulac,180
Masbate I.,180
Perry Island,180
Mayotte,179
Crete,179
Lion Island,179
Cat Cay,179
Makuluva I.,178
Navassa,178
Babeldaob Island,177
Motupore,177
Clarión,176
Anegada,176
Tataan,176
Sorol Atoll,176
Talisse Island (Talisei Island),176
Makian Island,175
Eiao,173
Cobb Island,173
Chusan I.,173
Babelthuap,173
Isla Aves,172
Ngeruktabel Id.,172
Hawkins Island,171
Viti Levu Island,171
Saboga,171
Tahuata,171
Laysan Island,170
Buka Island,170
Nukulau I.,170
Maculabo Island,170
Louisiade Arch,170
Cedros,170
Manokwari Div.,170
Candaraman Island,170
Coronados Id.,169
Little Cayman Island,169
Kyushu I.,169
Bering Island,169
Tomahu Island,169
Albemarle Island (Isabela),169
Shikoku,168
Laysan I.,168
Anjouan Island,168
Isla Espiritu Santo,167
Kirawina Island,167
Port Moresby,167
Ninigo Atoll,167
Banda Neira,167
Isla Todos Santos,167
Idjwi,166
Andros,165
Santa Fe Island,165
Polillo I.,165
Unimak Island,165
Guadalupe I.,164
Raiatea Island,164
Eleuthera Island,164
Hesketh Island,164
Saint John Island,164
Pak Thong Chai Dist.,164
Ngemelis I.,164
Amot Island,163
Ishigaki Island,163
Huahine,163
Barro Colorado Island,163
Tutuila Id.,163
Peleliu Id.,163
Enderbury Island,163
Isle of Pines Id.,162
Montserrat Island,162
Buton Island,162
lifou,162
Tikehau Atoll,162
Mt. Desert,161
Isla de Santa Margarita,161
Clara Id.,161
Lulu Island,160
Masbate Id.,160
Great Gull Island,160
Natividad Id.,160
Timor Island,160
Paniai Div.,160
Devon Island,160
Tuxekan Island,160
Camano,159
San Salvador,159
San Francisco Id.,158
Krankett Island,158
Maripipi Island,158
Pohnpei Id.,157
South Partida Id.,157
Kiritimati (Christmas) Atoll,157
Simunul I.,157
Inampulugan Id.,157
Rotuma Island,157
Dmasech Id.,156
Marchena,156
Angaur Island,156
Bora Bora,156
Ambon Island,156
Wrangell,155
Alibijaban Island,155
"Coco, I. del",155
Rowa Islands,154
Jamaica Id.,154
Woronkofski Island,154
Alamagan Island,154
Fernandina Island,154
Socotra,154
Seymour,152
Vurosewa Island,152
Palau Islands,152
Kiriwina,151
Kikaiga Shima Id.,151
Johnston,151
South Coronado Id.,150
St. Joseph Atoll,149
Rangiroa Atoll,149
saint-paul et amsterdam,149
Shelter,148
Isla San Martin,148
Baltra,148
Curlew Bank,148
Sitangkai I.,148
Babelthuap Island,148
Anticosti Island,148
Jawa,147
Arakabesan I.,147
Agattu,147
Arno Id.,146
San Andrés y Providencia,146
Puna Island,146
Pamilacan Island,146
Pini,146
Gillolo Island,146
Talampulan Island,145
Fernandina,145
Savaii Id.,145
Vava'u Island,145
Great Tobea Island,144
Kruzof Island,144
grande-terre,143
Carabao Id.,143
Tablas I.,143
Apo Id.,143
Ulebsechel Id.,143
Santiago Island,142
Isla de RoatÃ¡n,142
Yadua I.,142
Stewart Island,142
Kanaga Island,141
Ysabel Island,141
Clarion Island,141
Totoya Island,141
Naked Island,141
Kerala State,141
Bequia,141
Ureparapara,140
Pelsart Id.,139
Bonaire Id.,139
Española,139
D'Entrecasteaux Group,139
Hog,139
Emirau Island,138
Kanacea I.,137
Geelvink Bay Dist.,137
Butauanan Island,137
Santa Barbara Island,137
Scilly Atoll [Manuae],137
futuna,137
Siberut,136
Popof,136
Howland,136
Pan de Azucar Id.,136
Isla Magdalena,135
Tabuaeran (Fanning Island),135
ISLA SOCORRO,135
Hokkaido I.,135
Eua Island,135
Baltra Id.,135
Southeast Farallon Id.,135
St. Croix,134
Pico,134
Tahuata Island,133
St. Paul Id.,133
Fakaofo Atoll,133
Maria Atoll,133
Nantucket Island,133
Sangihe I.,132
Duff Reef,132
Tioman Island,132
San José,132
Kolombangara Island,132
de clipperton,131
Selayar Island,131
Salsipuedes Id.,131
Fana,131
Victoria Island,131
McKean Island,131
Isla de Guadalupe,131
Menorca,130
Makatea Island,130
Ross Island,130
Pacijan Id.,130
New Hebrides Group,130
Nossi-Be,130
Muschu Island,130
Iriomote Shima Id.,130
Malolo Island,129
Ani-jima,129
Carriacou Island,129
de sao miguel,129
Makira Island,129
Isla San Jose,129
Baranof,129
Natividad,129
con dao,128
Providencia,127
Clipperton Island,127
Prince Edward Island,127
Siluag I.,127
San Nicolas,127
Robinson Crusoe Island,126
Marajo,126
Ngemelachel Island,126
Dauphin Island,126
Manado,126
Atata Island,126
Cooper Id.,125
Glacier Island,125
Tuangku,125
Taliabu Island,125
Frigate Island,125
guadeloupe,125
Oreor Island,125
Great Abaco Island,124
Hong Kong Island,124
Ducie,124
Upolu Island,124
Maybag Island,124
Prince of Wales,124
Gull,124
Chichi-jima,124
Batag Island,123
Masirah Island,122
Lifuka Island,122
Kiritimati (Christmas Island),122
Aitutaki Island,122
Marinduque,122
Apo Island,122
Howland Island,122
Tuamotu Archipelago,122
Gigante South Id.,122
Magusaiai Id.,121
Roatan,121
Rimatara,121
Vaiatekeue,121
James Island (Santiago or San Salvador),120
Semirara Island,120
Tutuba Island,120
Partida,120
Montserrat,119
Grande Comore Island,119
Santa Isabel Island,119
Indefatigable Island (Santa Cruz),118
San Nicolas Id.,118
Santa Inez Id.,118
Darwin,118
Attu Island,118
Rurutu Island,118
Gomomo Island,118
Baker Island,117
San Cristobal Island,117
Atiu,117
Island II,117
Nevis Island,117
Ishigaki-shima,117
Bagabag Island,117
Linapacan Island,117
Ponson Id.,117
Sapelo,117
Southern Oman,116
Banda Besar,116
Kouaku,116
South Andaman I.,116
Kanton Island,115
Maiao I.,115
Gunung Api,115
Difnein,115
Santa Isabel I.,115
Kenya,115
Busuanga I.,115
Taka Atoll,115
San Roque Id.,114
Santa Margarita Id.,114
Swains Island,114
Tsushima Island,114
Isla Meanguera,114
Kandavu Island,114
Tugidak Island,114
Simeulue,113
Genovesa I.,113
Kahoolawe,113
Hokkaido Island,113
Vanikolo I.,113
Rattlesnake Island,113
Kadavu Island,113
Baffin Island,113
Avery Id.,113
Union Island,112
Sanguisiapo Island,112
South Todos Santos Id.,112
Rota,112
Polong Dako Id.,112
Gravina Island,112
Los Negros Island,112
Burias I.,112
Bonaventure Island,112
Tenoko,112
Taboga Island,112
Tau,112
San Diego Id.,111
Ascencion,111
Heron,111
Bainbridge Island,111
Espanola Island,111
Maria Magdalena Id.,111
Hokkaido Id.,111
San Pedro Nolasco Id.,111
Ngcheangel Id.,111
Albemarle Island,111
Isla de Vieques,110
Lisianski,110
Vashon,110
Peleliu Island,110
Tubuai Island,110
Aurapushekaru I.,110
Florida Island,110
Marinduque Island,110
Quinalasag Island,110
Crooked Island,109
Keraward Island,109
Abaco Islands,109
Mayaguana Island,109
Makaroa,109
Tanzania,109
Faial,109
Basilaki Island,109
Karimundjawa,108
Peleliu,108
Tortuga,108
San Cristóbal,108
Uki Island,108
Western Australia,107
46 Id.,107
Unalaska,107
chypre,107
Bouro Island,107
Guana Island,107
Tenerife,106
Cayman Brac Id.,106
Warren Island,106
aux cochons,106
Ukerewe,106
Delemmi,106
Bikar Atoll,106
Cobia I.,106
Hivaoa,106
Calagna-an Id.,106
South Bimini,106
Machesi Island (Makesi Island),106
Chol I.,105
Maldive Islands,105
Bird Island,105
Basilan Island,105
Block Island,105
Espiritu Santo I.,104
Lesser Sunda Islands,104
Santa Maria,104
Middle Bass Id.,104
Selinog Island,104
Grande-Terre Island,104
Miyake-jima,104
Mare Island,103
Nevis,103
Wailangilala Island,103
eiao,103
Vancouver I.,103
Garukoru I.,103
Generale Island,103
Coronation Island,103
Rurutu,103
San Miguel Id.,102
La Digue Island,102
Caroline Atoll,102
Shikoku Id.,102
Ryu Kyu Ids,102
Rapurapu Island,102
Simaluc Island,102
Douglas Island,102
D'Arros Island,102
Apo Reef,101
Tongoa,101
South San Lorenzo Id.,101
Singapore Island,101
Ant Atoll,101
Orcas Island,100
North Partida Id.,100
Shumma,100
Necker,100
Campbell Island,100
Bugsuk Island,100
Carp Id.,100
Hatuta'a,99
Farm Island,99
Banks Island,99
High,99
Vatoa Island,99
Lapinin Grande Id.,99
Isla Margarita,99
Dry Tortugas,99
Gilgo,98
Sicogon Island,98
Jarvis,98
Awaji Id.,98
Kunghit,98
Nunivak,98
Pinzon Island,98
Makogai I.,98
East Amatuli,98
Calayan Island,98
Vancouver Id.,97
Basa Island,97
Paradise Id.,97
Jaluit Atoll,97
Noyes Island,97
Tanegashima,97
Betton Island,97
Medio Island,97
Vavau Group,97
Socorro Island,96
aésé,96
Pearl Islands,96
Gorgona,96
Malinoa Island,96
Key West Id.,96
de norfolk,96
San Felix Island,95
Ulebsechel Island,95
Nelson,95
Mompog Island,95
Poro Id.,95
Great Exuma,95
Latouche Island,95
Ko Miang,94
Danzante Id.,94
Saint Helena,94
Lakao Island,94
Isla Plaza,94
Great Inagua Island,94
Komodo,94
Heard,93
Savai'i,93
Sawda Island,93
Gardiner's Island,93
Tidore Island,93
Marie Galante,93
Mavudis Island (Y'Ami Island),93
Amot,93
Sulade Island,92
Akutan Island,92
West Nalaut Island,92
Mejia Id.,92
Isla Chiloe,91
Clark Bank,91
Spitsbergen,91
Saint Kitts,91
Ross I.,91
Sicilia,91
Polillo,91
Rice,91
Eastern Island,91
Pulau Gaya,91
San Jose Island,91
Teraina,90
Boot Key Id.,90
Futuna,90
Mahe I.,90
Morotai Island,90
Madras,90
Garayamo I.,89
Amaknak Island,89
Pulau Ajer,89
SAN CLEMENTE IS,89
Wolf,89
Ellesmere,89
Deer Island,89
Angel Island,89
Bering,89
San Esteban,89
Rattlesnake Id.,88
Evans Island,88
Harat,88
Tanah Jampea,88
Dimipac Island,88
Babuyan Claro Island,88
Sumilon Id.,88
Jeju Island,88
Aiktak,88
Antigua Id.,88
Pagbilao Chica Island,87
Lizard,87
Matuiloto Island,87
Caxisigan Island,87
Saint Martin Id.,87
Lapinin Chico Id.,87
Ticao Island,87
Savo Island,87
Biak,87
Jawa Island,87
Ossabaw Island,86
Rennell Island,86
Lesser Mendjangan Island,86
Isla Cerralvo,86
Cedros Island,86
Uahuka,86
Ngeaur Id.,86
Yttygran Island,86
Martha's Vineyard,85
Manatee Cay,85
Youth Id.,85
Ryukyu Islands,85
Cox,85
Sint Eustatius,85
Sulu Archipelago,85
Middleton Island,85
Swan Islands,85
Sacol Island,85
Terceira,85
Pulau Siburu,85
Tanega Shima Id.,85
Easter Island,85
Efate I.,85
East Island,84
Kauai Id.,84
South I.,84
Clarion,84
North Pagai Island,84
Uapou,84
South Male Atoll,84
Floreana Island,84
Adak,84
Palaui Island,84
de bornéo,84
Tarauru-Roa,84
Gardner-by-Espanola Id.,84
Aitutaki,83
Kiska,83
Mauke,83
Clipperton Id.,83
Chincoteague Island,83
ibiza,83
Rasa I.,83
Panapompom Island,82
Fenualoa Island,82
Alite Reef,82
Asuncion Island,81
Farquhar Atoll,81
Dodepo Island,81
Santa Fe,81
Doworra Island,81
Mandarte,81
Maewo,81
Aguiguan Island,81
North Andros,81
Abariringa (Kanton) Atoll,80
Ovalau Island,80
Fayal,80
Amak Island,80
Los Negutos Island,80
San Geronimo Id.,80
South Farallon Island,79
Pilas Island,79
Cocoro,79
Sao Tome I.,79
GreatHarbor Cay,79
Diego Garcia Island,79
Buka Buka Island,79
Malaita I.,79
Ngerekebesang Island,79
Takaroa Atoll,79
Manus Island,79
Goat Island,79
Tatoosh Island,79
Sigaan Island (Singaan Island),79
sao tiago,78
Dibatuc Island,78
Guadalcanal I.,78
Kent Island,78
East San Benito Id.,78
Hainan I.,78
Pinipel Island,77
Dalaganem Island,77
Sibi Sibi Island,77
Isla San Esteban,77
Duck,77
mavéa,77
Tulagi Island,77
Tupai Atoll,77
New,77
mururoa,77
Albatross Island,77
Little Scrub,77
solitaire,77
Oman,76
San Salvador Island,76
Isla Taboga,76
Vanikoro Island,76
Pinas Island,76
Teauaone,76
SANTA CRUZ IS,76
Babel Lukes Reef,76
Togian Island,76
Maratua Island,76
Atafu Atoll,76
Kadin Island,76
Pohnpei Island (Ponape Island),76
Ovalau Id.,75
Cagayan Island,75
Sabtang Island,75
Rey,75
Penrhyn Atoll (Tongareva),75
Wrangel Island,75
Maffia Island,75
Arimasuku Id.,74
guam,74
Semirara Id.,74
Morseby,74
Bathurst Island,74
Swains I.,74
Caban I.,74
Culebra,74
Moorea Island,74
Marquesas Ids,73
Simushir,73
Ilhabela,73
de sao jorge,73
Triangle,73
Nananu-i-cake I.,73
Kendrew,73
Lowrie Island,73
Angel de la Guarda,73
San Juan Bautista Island,73
White Island,73
Baker,73
Mirbat,72
Saturna,72
Salomon Atoll,72
Anglesey,72
Chatham Island (San Cristobal),72
San Ambrosio Island,72
Mantacao Island,72
Savaii,72
Clipperton I.,72
Barbuda Island,72
Moku O Loe Island,72
Talajit,72
Verde Island (Isla Verde),72
Destruction,71
Flores,71
Apo I.,71
Reunion,71
Sledge,71
Makatea,71
Midway,71
lubang,70
Grand Turk,70
Herschel Island,70
Bristow Id.,70
Pearl and Hermes Reef,70
Ceycen Island,70
Bioko,70
Eil Malk Island,70
semirara,70
Peleng,70
Makemo Atoll,70
Santa Rosa,70
Kia I.,69
Seram Island,69
Lapinig Island,69
Mombasa,69
Bradford Island,69
Andros Id.,69
Saluag I.,69
Sakhalin Id.,69
Baltra I.,69
Malapascua Island,69
Daphne Id.,69
Ngermalk Id.,69
Gorgona Island,69
Charles Island (Floreana or Santa Maria),69
Siayan Island,69
Miyako Shima Id.,69
Tobago Id.,68
Tulnalutan Island,68
West Ulong Id.,68
Misool,68
Old Providence Island (Isla de Providencia),68
Sand,68
Ioulomekang Id.,68
Bonoon Id.,68
Kasa Island,68
Tongatapu Id.,68
Santa Barbara,68
Chatham Island,68
Atka Island,68
Marakei Atoll,67
unknown,67
Santa Margarita,67
Great Banda Island [Banda Besar],67
Culion,67
Anaho Id.,67
Isabela Island,67
Coiba Island,67
San Juan,67
East Nalaut Island,67
La Touche Island,67
New Georgia Island,67
Moser Island,67
Little Inagua,66
Pulau Putri,66
St. George's Island,66
Shemya Island,66
Eastern Id.,66
Kalgin Island,66
Falarik Id.,66
Merritt Island,66
Ofolanga Island,66
Green Cay,66
Baltra Island,66
raiatea,66
Southeast Farallon,66
Takaroa,66
Mabul Island,66
San Nicolas Island,65
Miyake-jima Island,65
Sullivans,65
Maria Cleofas,65
Chenega Island,65
Ua Huka,65
Mona,65
Marquesas Islands,65
Narborough Island (Fernandina),65
Bohol I.,65
Banks Group,65
Klein Curacao,65
Isla Coronado Sur,65
Saint John Id.,64
Kayoa Island,64
Indefatigable Island,64
Palaui I.,64
Sibay Id.,64
Ranongga Island,64
Egg Island,64
Balabac Island,63
Glen Island,63
Dalupiri Island,63
Barter Island,63
Eivissa,63
Vangunu Island,63
Society Ids,63
Smith,63
Rabi I.,63
Aasiaat,63
Pearl And Hermes Reef,62
Galoc Island,62
Chamisso Island,62
Motu One,62
Nauru,62
Aunu'u,62
Pulau Semakau,62
Trincomalee,62
Anastasia,62
Ellesmere Island,62
Little Swan Island,62
Makura,62
Swan Island,62
Admosin,62
One Tree I.,61
Sanibel Island,61
Samar Id.,61
Sao Miguel Island,61
Wolf Id.,61
Kosciusko Island,61
Mitiaro,61
Tuckernuck Island,61
Malakal I.,61
Manda,61
Marcus Island,61
Navutu Ira Id,61
Key Largo,61
$$$$,60
Hood Island,60
Kangaroo Island,60
Emirau,60
Kotelny Island,60
Cocos,60
Channel Island,60
Atata,60
Exuma Cays,60
Lotu Islet,60
Matuku I.,60
Merritt,60
Ponape Island,60
Jolo,60
Sonsorol,60
Kuwait Bay,60
Magnetic Island,60
Eleuthera,60
Santa Rosa Id.,60
tablas,60
Rendova Island,59
Tauna,59
Aru Island,59
Ha'ano,59
Saint Catherine,59
Mores Island,59
Malhon Island,59
Medny Island,59
Acklins,59
Hong Kong,59
Siasi Island,58
Ano Nuevo Island,58
Java Id.,58
Nunivak Id.,58
Teomabal Island,58
D'Entrecasteaux Grp,58
