disposition,reps
Presented to Education Dept. for use in Army Museu,1
"Exch. with Mr. E.T. Seton, May 24,1928",9
"Destroyed by insects, Discarded 9 May 1917",12
"Exchange with Princeton Mus., Jan 1926",1
Exchange Cleveland Museum June 1923,1
Ex. with G. Kohn Nov 29/90,8
"Ex. with s.I. Nov.27,1889",2
"Sent in exch. to Tring Museum, July 9, 1928",3
"Sent to Berlin Zool. Mus., Jan 8, 1932",1
"Exch. with Carlos Reeds, Mendoza Feb. 9, 1917",9
"Exchange with Carnegie Mus., June 15, 1929",2
Sent in exchange to U.S. National Mus. 1925,4
"Sent in exch. to E. Lehn Schioler, Jan 1927",4
"Exch. with E.T. Seton, Apr 1918",3
Exch. to Rothschild -when returned renumbered 7006,1
"Tucumen, Argentina, Dr. C.C. Olrog Exch. to Miguel",1
"Discarded, Nov 1937",1
"Sent in exchange to E. Lehn Schiöler, Jan 1927",1
"Exchanged to Rolf Grantsan, Parque Terrauvo, S.B.",1
"Exch. with U.S. Nat'l Museum, Feb 18, 1925",1
"Ex. with Rusby, 7/8/1896",3
Exchange with Tring Museum May 1927,1
"Exchanged with Carlos Reeds, Mendoza, 9 Feb 1917",1
28,2
"In collection Additional Information, see Other Information",17
"Exchange to Academy of National Sciences, April 19",1
Discarded 6-X-54 JF,1
Gift - City College-1969,1
"Exch Nat Mus Kenya, Aug 1983",3
"Exch. with Imp.Co..Agr. Japan, Oct '08",1
"Exchange sent to Cleveland Mus. Jan 6, 1932",10
"Discarded, June, 1971",3
Given in exchange to Field Museum of Nat'l History,2
"Sent to UMMZ, Michigan, on exchange; Sep 1984",2
Gift to Berlin Museum July 1936 - See #213128,1
Exch. to N.Y. Sci. Supply,6
Exchanged to Phil. Acad. Nat. Sci.,2
"Exchanged to San Diego State College, Apr 1969 L.L",1
"Sent in exchange to Bishop Mus., April 1928",5
By exchange with M.C.Z.,2
"Exch. Museo Paulista, Mar 1917",1
Presented to Cornell Univ.,1
"Exch. with Tring, July 9, 1928",1
Exchange with Cleveland Museum Feb. 1926,1
"Exch. to Rothschild Coll. and when ret'd to AMNH,",1
Exch. to Scientific Supply Co. (Mr. Rubinger) May,1
"Presented to J.G. Williams, Coryndom Museum, Afric",1
To Queens College August 1953,1
Ex. with G.Kohn Nov 29/90,1
Exch. Count von Berlepsch Feb.'05,7
Exch. Phil.Acad. Nat.Sci.,2
"Exch. Museo Paulista, Brazil  March 1917",1
"Discarded by Dr. Amadon, Jul 1961",3
On exhibit In Collection,1
"Additional Information, see Other Information On exhibit",1
"Sent in exch. to the Senckenberg Museum, Dec 1926",1
"Given in exchange to the Senekenberg Museum, May 1",1
"Exch. Phila., Acad.Nat.Sci.",1
From H.G. Reeve,1
"Gift to Western N. Mexico Univ., Dr. D. Zimmerman,",1
"Discarded, 4 Mar 1955, D.A.",1
Sent as sample to a collector in Peru.,1
Exch. W.F.H. Rosenberg Sept 1921,2
"Exchange with Phila. Acad. Nat. Sci., Jul 1928",1
"Gift to Berlin Museum, July 1936 never sent",5
"Ex. Geo. E. Mason,July 1922",1
Oversize; Type Collections,2
in catalog,5
Exch. Stockhom N.H. Museum May 1927,1
"Gift to Hope College, Holland, Mich., 4/5/71)",1
"Exch. Nat Mus Kenya, Aug 1983",1
"Exchanged with H.K. Coale, 24 Apr 1907",2
"Discarded, Feb 1937",2
"Exchange Princeton Mus. Z., Jan 1926",1
"Sent in exchange to Senckenberg Museum, Dec 1926",5
"Exch. with Dr. L.C. Sanford Collection, 28 May 195",1
"Exchanged with H.P. Attwater, April 9, 1892",5
Ex. Tackapausha Museum,1
Exch. to Rothschild Coll. & when R. Coll came to A,1
"Pres. Univ. Oklahoma - Sutton, March 1953",6
"Exchange Museum of Southwestern Biology, Aug 2002",2
"Sent to Sweedish Nat. Hist. Museum, 16 Oct 1928",1
Exchanged to N.Y. Scientific Supply Co. (Ons. Rubi,1
Exch. to Museum National D'Histoire Naturelle,3
"Gift to Western New Mexico University, 1968",3
"To Field Museum, July, 1919",2
"Exch. with H.K. Coale, Chicago, Ill., 24 Apr 1907",1
"Sent in exchange to E. Lehn Schioler, Jan 1927",2
"Exchange Fla. State Museum, 22 Jul 1974",1
Exch. F.M.Chapman 1925,1
Given in exchange to Major Allan Brooks on Sept. 1,1
"Exchanged to Museo Ecuatoriano y Cien. Nat., Quito",3
"Sent in exchange to E. Lehn Schioder, Jan.1927",1
Given to New Guinea Museum,1
"Exch. W.[illeg][illeg] Rosenberg, Sep 192[illeg]",1
"Presented to Mr. Crauford H. Greenwalt, June 20, 1",1
"Exchanged to Goeldi Museum, Beléin, Brazil, June 1",1
"Exch. with H.K. Coale-Dec 4, 1924",1
"Exch. with Imp.Col.Agr.,Japan Dec.'09",2
Exchange with Stockholm N.H. Mus. May 1927,1
Sent in exchange - W.E. Clyle Todd (?) Carnegie,1
Rec'd exch. Carnegie Mus. Mar. 1939,1
Exchanged to U. Fla. 7/19/63,1
Discarded: 20 Jul 1920,1
"Exch. with O.Bangs, Sept 20, 1918",5
Discarded: Aug 1953,1
"Exch. Brit Mus., Sept 1927",3
Sent as a gift to Loxahatchee National Wild Life R,1
"Exchanged with Royal Scottish Museum, Sep 1915",1
"Sent in exchange to H. Hovel, Haifa, Israel, 5 Jun",1
"Given in exchange to the Everhardt Museum, Scranto",1
"On loan, see Loan Database In Collection On exhibit",14
"Exchange with the British Museum, Sept 1948",1
"Given to Dept. of Entomology, Jan 25, 1951",2
"Sent in exchange with Leiden Mus., Nov 1934",3
"Sent to Swedish Nat. Hist. Mus., Oct 16, 1928",2
"Exch. with U.S. National Museum Feb 18,1925",1
"Presented to Centenary College for Women, Hachaett",1
"Exch. with Carnegie Mus. June 14, 1929",5
"Sent in exchange to Academy of National Sciences,",2
"Exchange to Royal Scottish Museum, April 1928",4
"Sent in exchange to U.S. National Museum, Oct 1927",1
"Sent in exchange to Royal Scottish Museum, April 1",2
"Given in exchange to U.S. National Museum, Washing",1
Discarded: 10 Apr 1942 C.O.B.,1
"Exch. with Imp.Col.Agr., Japan, Dec.'09",2
Ex. with Louis Molnar Sept. 10 1890,1
"Gift to CSIRO, Cambera",1
"Exchanged with Geo. Hollister, Nov 1913",2
"Exchanged Vienna Museum - Apr. 6, 1982",1
"Exch. Mus. Paulista, Brazil March 1917",1
"Given to Dr. Sanford-Dec 24, 1932",1
"Exch. Museo Nacional, Argnetina Sept. '17",1
"Exch. Tring Museum, England July 1906",2
Exchanged with Princeton Mus. z.-Jan 1926,1
Exchange with British Muse.,1
"Exch. to Dr. Campos Seabra, 4/22",1
Exch. with Dr. L.C. Sanford Sept. [1913 illeg.],1
"Taken by the Morden to Acad. Sci. Leningrad, July",1
"Sent in exchange to Edwin Asgby, Australia",1
"Discarded, D. Amadon, 24 Jun 1964",1
"Sent in exchange Univ. of Florida, Prof Pierce Bro",1
Ex. with Dr. Rushy 8/8/96; Returned Via Exchange w,1
Pres. To Dep't. Conservacion De La Fauna Silvestre,2
"Ex. with S.I. Nov.27,1880",1
Exchange to Museo Zoologia Univ. Nac. Aut. de Mexi,1
"Sent in exch. Zoologisches Museum, Amsterdam, Marc",1
Gift of Mr. Geo. Haux,2
"Given in exchange to the Field Museum, March 2, 19",1
1965 Exch. - Dr. Carlos Alberto Campos Seabra,1
"Exchange to Rijks Museum, Leiden, Netherlands, Feb",1
Exchanged with E.T. Seton for a Canachites frankli,1
Given in exchange to the Museum Comparative Zoolog,1
"Discarded by Charles OBrien, 24 Jul 1961",1
"Given in exchange to the U.S. National Museum, Sep",2
Exchange to Museo de Zoologica Univ. Nac. Aut. de,1
"Sent in exch. to H.B. Conover Field Mus., Oct 7, 1",1
"Discard, 6 Oct 1954, J.[illeg].",1
Exch. Phil. Acad.Nat. Sci.,1
"Traded, Thayer, 22 Jul 1907",1
"NYC Exhibit, Sept 1983",1
"No data, discarded 9 Apr 1941",1
"Sent in exchange to U.S. National Museum, Mar 1928",2
"Exchanged with Brooklyn Institute, 3 Aug 1908",1
"Exch. Museo Nacional, Augentina, Sept '17",1
Exchanged with H.K.Coale March 10,1
49,1
Exch. to Carnegie Muse. Jan 1932,1
"Discarded, 7 Oct 1954 J.F.",1
"Ex. with Carlos Reeds Mendoza, 9 Feb 1917",2
Ex. with Chicago Acad. Sci.,1
Discarded Sep 1908 by W.M. (grease burnt etc),1
Exchange to S. Austral.,1
"Ex. with Imp.Col.Agr.,Japan Dec.'09",1
Given to Dept. of Preparation for mounting in bird,1
"Received Exch. National Museum, S. Rhodesia, Dec.",2
Exch. Phil.Acad.Nat.Sci,1
Exchanged to Museo de Zoologia Univ. Nac. Aut de M,1
"sent to Tahiti Museum, 1928",1
Duplicate for U.S. nat. Mus. Nov 1912,1
"Pres. to Cornell Univ., K.C. Parkes, November 4, 1",1
"Presented to U.S. Customs, 1 Sep 1943",1
"Exch. with O. Bangs Sept 20, 1818",1
"Exchanged to Rolf Grantsa[illeg], Parque Terranova",1
"Sent in exchange to Paris Mus. June 6, 1929",2
"Ex. with F.O. Johnson May 20, 1889",2
Given in exchange to the Zoological Museum of the,1
"Pres. Children's Mus. Boston - Jan 13, 1953",1
"Exch. with M.C.Z., July",1
"Given in exch. to Wm. H. Phelps, August 1940",1
"Discard. 27 Apr 1953, D.A.",1
"Presented-Wellington Mus., New Zealand-June 7, 196",1
Exchanged to Dr. W.H. Phelps,2
"Exch. With U.S. Nat. Museum, Feb 18, 1925",1
Exch. Geo. E. Mason 1922,1
"Ex. with S.I. Nov. 27, 1890",1
"Exchange with W. Robinson-May 4, 1925",2
Exch. with Dr. Stresemann-Berlin Mus.-May 1927,1
"Exchanged to Rolf Grantsan, Parqua Terranova, SB C",2
Exch. sent to U.S. National Mus.,1
"Exch. to Carnegie Museum, Jan 1936",1
Sent in exchange with Leiden Mus. Nov. 1934,3
"Exchanged with A. Eiche, March 1911",2
Loaned to New Jersey Audubon Society,1
"Exchanged to State Univ. College, Oneonta, N.Y., 2",3
Discarded 15 May 1975,1
"Exch. sent to Cleveland Mus., Jan 6,1932",1
"Taken by Mr. Marden to Acad.Sci., Leningrad, July",1
Duplicate for U.S. NBat. Mus. Nov 1912,1
"Exchange with M.C.Z., May 1927",1
Exch. Delaware Museum N.M.,1
Museumobile,2
Exchanged with Abbot Thayer,1
"Exch. with Count von Berlepsch, Feb.'05",1
"Taken from storage Mus., Bklyn Institute",2
"Given in exchange to Univ. Michigan, Dec 24, 1952",1
"Discarded by Dr. Vaurie, 5 Mar 1956",1
"Pres. to Blair, Univ. Tulsa 3-IV-53",1
"Given in exch. Nat.Sci. in Phila., June 7,1944",1
"Given in exchange to Dr. A. Jacobi, June 15, 1931",1
"Given in exchange to U.S. National Museum, Oct 7,",2
"Presented to Dr. G.P. Dementiev, Moscow, U.S.S.R.,",1
Exch. Bristish Mus. May 1921,1
"Exch. Bird craft Sanctuary, Fairfield, Conn. March",1
"Exchange to R.S. Crossin Museum, 18 Dec 1968, L.L.",1
"Exchanged with New York Scientific Supply Co., 28",1
"Exch. with Mr. A.C. O'Connor, 14 Jun 1929",1
Rec'd exch. Newark Mus. Mar. 1939,2
"Exchanged to State Univ. college, Oneonta, N.Y. 10",1
Exch. to U. of Conn. MNH Mar 1984 - LLS,1
"Exch. Museo Nacional Aregentina, Sept '17",1
"Discarded, Jul 1946",1
"On loan, see Loan Database Additional Information, see Other Information",2
"Exch. with Cleveland Mus, Feb 1926",2
"Exch. Louisiana State Univ. Mus, March 1975",1
"Given in exchange to the Field Museum of N.H., Mar",1
Given to Brooklyn Museum; Discarded,1
"Exch. sent to Bishop Museum Jan 21,1932",1
Exch. U. Conn. Mus N.H. Ma[illeg] 1984 [illeg],1
to Berlin Museum Jan 1956,1
Mounted in Sanford Hall-discarded August 1995 PRS,1
Exch. to U.S. National Museum Sept. 1930,1
"Exch. with Phila. Acad. Nat. Sci., Jul 192[illeg]",2
Duplicate for U.S. National Mus. Nov. 1912,1
"Sent in exchange to M.C.Z., Dec 1928",1
"Ex. with Kn[illeg], S & Co. [illeg]2/28.00",1
Ex. - Tackapausha Museum,1
"Exch.W.F.H. Rosenberg, Feb 1921; Exchanged to Nati",1
"Dr. George M. Lowery, Exch. to Louisiana State Uni",1
Sent to Prof. van Oort-,1
Exch. with Chee Foo Mus. through Rev. Geo. Cornwal,3
"Exch. with H.K. Coale, Feb 18, '07; Given in excha",1
333,1
"Sent in exchange to Acad. of Nat. Sciences, Jul 19",1
Buffalo Mus. of Sci.,1
"On loan to Bernard Thayer, 27 Dec 1940; Not return",1
Fla. St. Univ. Exchanged U. Florida 7/19/63,1
Given to the Department of Education,2
"Exchanged to Storrs Olson, March 1967",1
Exchanged with Dr. Wm.C. Avery,1
Ex. with John Whitehead Sept. 12/90,2
"Exch. O.Bangs, July 1906",1
Exchange sent to Cleveland Mus. Jan. 6 1932,1
"Exch. sent to Berlin Mus. Jan 8, 1932",1
Given to Dept. of Education,3
N.Y.C. Area Exhibit,1
Discarded damaged 8/91,1
"Given in Exchange to Dr. Roberto Dabbene, Sept 193",1
"Given in exchange to Dr. R.C. Murphy, July 31,1956",1
"Exch. with O. Bangs May 17,'05",1
Exchange to Phelps- Aug. 1949,2
"Gift Princeton Museum, 1951",1
"Exchanged to S. Australia Mus., 20 Nov 1974",1
Exch. E. Loehn Schioler Jan. 1927,1
"Exch. to N. Car. State Mus., 1/1989",2
Sent as sample to a South American collector,1
Given to Miss Dickerson for Florida Group,1
Dr. Herman to D.G. Elliot & Aus. Mus.,1
"Given in exchange to Acad. Nat. Sciences, Oct 1938",1
"Discarded, 22 Jan 1956. [illeg].F.",1
"Given in exchange to Mr. H.B. Conover, Chicago, Il",2
"Exchanged with Mr. Hoyle, Dec 1908",1
"Mounted for Sanford Hall, Sept. 1982",1
Found dead by a boy and sent to W.F.Smith by whom,1
"Exch. to Carnegie Museum, Jan, 1932",1
"Gift, Short Hills above N.J.",1
"Exch. with Dr. E.W. Nelson, July 1925-Biol. Survey",1
"Exch. with Berlin Mus., July 1926",1
Exchange -Iowa State University-May 1967,1
"Ex. with F.O. Johnson May 20, 1890",1
"Ex. with S.I. Nov. 27,1889; Return  [illeg.] -as w",1
"Given in exchange to Wm. H. Phelps, Aug 15, 1939",1
"Exch. with O.Bangs, Sept 20 1918",2
"Exchwith O. Bangs, Sept 20, 1918",1
"Exch. Field Mus., Nov 1922",1
Exchanged with H.K. Coale March '10,2
* Gift to Suffolk Museum,1
Exchanged to Rolf Gr[illeg][illeg]ts[illeg][illeg],1
"(Gift to Hope College, Holland, Mich., Dr. de. Gre",1
"Exchanged with Geo. Hollister for Hawk, 29 Nov 191",1
"Exch. with Imp,Col.Agr. Japan Dec'09",1
Exch. with M.C.Z. 1928,3
"Pres. to U.S. Customs Dept., New York - Feb 1942",1
"Exchanged with Geo. Hollister for Hawk, Nov 29, 19",1
Exchange Princeton Mus. Jan 1926,1
"Gift to Rutgers University Coll., March 1964",1
"Exchange to Australion Museum, New South Wales, Au",1
Exchanged to Tahiti Museum 1928,1
Exch. with Chee-Foo Museum through Rev Geo. Cornwa,1
Returned - August 2002,1
"Exchanged to Goeldi Mus., Belém, Brazil, June 1989",1
"Exchange Brit. Mus., Sept 1927",1
"Taken by Mr. Mordre to Acad. Sci., Leningrad, July",1
"Exchanged to Rolf Grandsau, Parque Terranova, SB C",1
From John Akhurst,1
Sent in exchange to Tring Mus. 9 Jul 1928,1
"Exchanged with Zoological Refeicne Collection, Sin",1
Exchanged with J. Rowley for another quail killed,1
Gift of T. Roosevelt,1
Transferred to L.C. Sanford Collection,1
"Gift Short Hills Abo[illeg][illeg]., Mrs. F. Wolpe",2
"Ex. with Brown Univ.,Oct.7/90",1
Exch. with M.C.Z. Julu 1928,1
"Exch. with Paris Museum, June 13,1928",1
"Ex. with P.L. Sclater, Sep 1893; Exch. Museo Nacio",1
Exch. with G. Kohn Nov 29/90,1
Gift to Berlin Mus.July 1936 never sent M.L.,1
Exch. Paris Mus. Oct 1932,1
Exch. Museo Paulista March 1917,1
"Exchange with Berlin Zoological Mus. Nov 1, 1930",1
"Gift to Hope College, Molland, Mich., Dr. D.E. Gre",1
"Sent in exchange to the British Museum, April 1959",1
"Exchanged to S-Austral Mus., 20 Nov 1974",1
"Exch. to Herbert Zeidler, Feb. 10, 1956",1
"Exchange to Pateerson Museum, N.J.",1
Gift to Western New Mexico University - 1968,1
"Gift- SWRS, Portal, Arizona",1
"discarded October 1, 1973",1
"Sent to Swedish Nat. Hist. Museum, Oct 16,1928",2
"Additional Information, see Other Information On loan, see Loan Database",1
"Ex. with Brown Univ., Oct 7/90",1
Discarded 2/2/74,1
Exchange to Museo de Zoologia Univ. Nac. de Mexico,1
"Sent to Hoyes Lloyd in exchange, Apr 1926",1
Mounted for plains group in African Hall - Given t,1
"Queensland Mus. Australia, Exch. to: D.P. Veynon -",1
To Mrs. S.L. Elliot,1
"Given in Exch. to Mus. of Comp. Zoology, Dec 1922",1
"Exch. with Academy of Nat. Sciences, Phila., Jul 1",1
Gift of NY. Zoo. Soc.,1
Exch. with Imp.Col.Agr. Japan Dec '08,1
"Sent in exchange to Edwin Ashby, Australi",1
"Discarded from Collection (Grease-burned), 10 May",1
"Given in exchange to Wm H. Phelps, August 1940",1
"Mounted for the Japanese Group, June 1961",1
"Exchange to Gorgas Mem. Laboratory, Dr. Amadon 9/2",1
"Sent in exchange to M.C.Z. June 11, 1929",1
"Exch. to National Mus.-Kenya, Africa, 2/14/82",1
"Gift to Fish & Wild Life S[illeg][illeg], 2 Aug 19",1
"Mounted and presented to William Vogt, December 19",1
"Sent to Prof. Van Ort, Leiden",1
"Sent in exchange to Rutgers University, 22 Apr 197",1
Exchanged with Berlin Mus. July 1936,1
Pres. to Western Australian Regional Laboratory. S,1
"Exchanged to Australia Nat. Coll., Sept, 1981 LLS",1
U.S. Nat Museum,1
"Exch. to Rothschild, on return renumbered 700677",1
"Exch. to Prince Hans of Liechtenstein,1952",1
"Presented to Wh. H. Phelps, Dec. 26, 1956",1
Exchanged with Louis A. Fuertes for an im. of the,1
"Exch. Nat. Mus., Kenya Aug 1983",1
Presented to U.S. Cusoms Dept. New York Feb. 1942,1
Exch. to Rothschild-when returned renumbered 70076,2
"Given in exchange to Wm. H. Phelps, August 21, 194",1
"Exch. with Dr. E.W. Nelson, July 1925-Biol.Survey",1
"Exch. with C.A. Smith, May 10/90",1
Given in exchange to Museum Comparative Zoology-Ma,1
"Exch. to Zool. Mus.-Copenhagen, May 1959",1
"Gift to Dr. H.A. Menegaux, Musée dé Historie Natur",1
Mounted and Loaned to New Jersey Audubon Society,1
"Exchange with Tring Mus., July 7, 1928",1
"Exch. with Louis Molnar, Sept 10,1890",1
"Exchanged to S. Australian Mus., 20 Nov 1974",1
"Exchanged with Cornell University, April, 1916",1
"Given in exchange to Mr. Allan R. Phillips, 10 May",1
"Present to Crawford Greenwalt, Feb 1957",1
"Presented to Mr. Creuford H. Greenwalt, June 20, 1",1
Presented to Roosevelt Memorial Assoc. Aug. 1923,1
"Given in exchange to the Carnegie Museum, 4 Dec 19",1
"Exchanged to San Diego State College, Apr 1969, L.",1
Exchanged to Museo de Zoologia Univ. Nac. Aut. de,1
"Exch. with Tring Mus.- July 9, 1928",1
"Ex. M.C.Z., Nov 1923",1
"Discarded, 27 Aug 1916",1
"Sent in exchange to J. Berlioz, Oct 1932",1
"Pres. to Dr. Stanley C. Ball by L.C. Sanford, Nov",1
"Mounted and presented to Mrs. Carll Tucker, Mar 19",1
"Exch. to Swedish Mus. Dec 12, 1931",1
Exchange Museum of Southwestern Biology 812002,1
Ex. with Cleveland Mus. Feb. 1920 [illeg.],1
,17182738
"Deaccessioned as discarded, destroyed or lost",491
"Additional Information, see Other Information",408
"Additional Information, see Other Information In collection",1808
"In collection Missing parts, see Availability Remarks",405
ON LOAN,28
"Exch. Museo Nacional Argentina, Sep 1917",65
Exch. with C.A. Smith and receiving back in his co,6
Exchanged to Chicago Mus.,670
Exch. Delaware Museum N.H.,50
"Exch. sent to Cleveland Mus. Jan 6, 1932",120
Ex-Walter Koelz-April 1926,6
"Exch. to Zool. Mus. Copenhagen, May 1959",2
Exchange Museum of Southwestern Biology 8/2002,4
"Exch. with Tring Mus., July 1928",1
Ex. Mus. Comp. Zool.,70
"Gift to Putney School, 1959",83
Exchange to Chicago Mus.,12
Exch. with Cleveland Mus. Feb 1926,20
"Exch. with Mr. E.T. Seton, 24 May 1928",31
"Sent to Australian Mus., Aug 1982",1
Exch. with M.C.Z. July 1928,576
"Exch. Tring Mus., May 1921",26
"Exch. Museo Paulista, Brazil, Mar 1917",196
"Exchange to Paterson Museum, N.J.",53
"Exch with Imp. Col. Agr. Japan, Oct 1908",26
"Ex. with Cleveland mus, Feb 1926",47
Deaccessioned,695
"Discarded by Dr. Mayr, 23 Dec 1943",7
"Exchanged with John E. Thayer thru O. Bangs, April",1
Gift to the Berlin Museum July 1936 never sent M.L,36
1965 - Exchange - Dr. Carlos Alberto Campas Seabra,1
"Exch. to N. Carolina State Mus., 1/89",1
"Gift-SWRS, Portal, Ariz.",21
"Exch. with M.C.Z. July, 1928",13
Given to Brooklyn Musuem,3
"Ex. with S.I. Nov.27,1889",123
Sent in exchange to the Australian Museum - 23 Sep,6
"Sent in exch. to E. Lehn Schiöler, Jan 1927",1
"Sent to Prof. van Oort, Leiden Mus.-Oct 1932",3
"Exch. with U.S. National Museum Feb 18, 1925",4
"Exch. with H.K. Coale, Dec 4, 1913",14
"Exch with Imp. Col. Agr. Japan, Dec 1909",49
"Exch. to U.S. National Museum, Jan 1932",100
"Exchange - Auckland Mus., April 20, 1950",1
"Exch. to U.S. National Museum, Sept 1930",43
Gift to Putney School,6
1,2281
319,1
Present,1912
not applicable,21308
exchanged,16
Recent Osteology Collections,299
systematic Purchased,2
Oversize collections,8
Deaccessioned as gift,340
