geodeticDatum,reps
WGS115,1
WGS209,1
WGS99,1
WGS208,1
NAD32,2
WGS155,1
WGS88,2
WGS224,1
WGS160,1
NAD33,2
NAD41,1
WGS122,1
NAD31,2
WGS140,1
WGS143,1
n./k,1
WGS214,1
WGS188,1
WGS96,1
NAD38,1
WGS191,1
(WGS84) World Geodetic System 1984,1
WGS221,1
Nad83,1
World Geodetic System 1984,390589
NAD27,651628
WGS205,1
Kertau 1948,49
World Geodetic System 1972,2860
Guam 1963,459
"UTMG NAD27, Decimal Degrees NAD83",896
WGS89,1
WGS193,1
19 56' 15.4 N 110 14' 38.9 E,7
WGS136,1
WGS110,1
WGS159,1
NAD30,6
WGS93,1
WGS218,1
Nad27,1
WGS135,1
WGS187,1
WGS172,1
WGS138,1
20 03 00.0  N 110 19 11.0 E,1
WGS124,1
WGS123,1
WGD84,1
NAD40,1
WGS114,1
WGS195,1
WGS105,1
NAd27,4
18 50' 24.4 N 109 38' 45.7 E,1
NAD39,1
WGS139,1
"NAD83/WGS84, ACME Mapper 2.1",1
WGS137,1
WGS225,1
WGS196,1
WGS112,1
WGS95,1
WGS157,1
WGS141,1
WGS133,1
WGS213,1
WGS232,1
WGS236,1
WGS202,1
