establishmentMeans	reps
found in gas flue	1
hatched? captured? Nov 12, 1930, died in captivity	1
nest kill	4
picked up dead by Prof J R Dymond	1
trapped	144
Cultivada	27
captive since 1992 November	2
captive, 4 mos	2
captive, found dead Mar 29, 1939, bred in aviary	1
caught in roost in earth	2
collected 1963 or after	1
collected between 09:00-1130 hrs	1
found dead on road, fresh	2
found dead, partly decomposed, killed by Hurricane Fran	2
found injured, captive for ca 6 months	1
found nearly dead	2
found unable to fly	2
one of 4 taken from nest in abondoned shed	4
released bait: hitch hiker with stocked fish	165
trapped, taken at nest with seven eggs	2
? native	3
LECB N. LR-539	1
captive for ca 1.5 months	2
captive, bred in captivity, 1929	1
captive, killed by cold	2
collected at 1330 hrs	28
collected ca 0730 hrs	1
found alive, captive for a couple days	2
found dead in wood pile	2
found dead on railway tracks	2
found dead under bird feeder	1
found dead, drowned?	1
frozen in ice, broken wing	2
leg caught in fork of tree	2
released aquarium: escaped captivity aquaculture	51
shot during cull of 2004	2
botulism victim	2
captive for ca 18 months	2
captive, cagebird	2
captive, died in avairy	2
captive, see card	1
captive, trauma, shock, pen injury; hatched 1992 June 3, died 1992 August 24, Ring Tag; prepared 2007 December 9	1
caught alive, captive, caught alive by Moses Dec 4 1922, sent to H A R Smith and died, sent to R W Tufts for H Lloyd	1
caught in wire fence	2
collected at 1250 hrs	2
collected at 1410 hrs	2
fell out of sky while flying	2
found dead at quarry siding	2
found in nest	2
found injured 11 Apr 1927	1
bought 1884 April	1
captive, from aviary of Wakefield, C, Mrs	1
caught in grain elevator	2
collected 1500 hrs	2
collected at 1105 hrs	2
died in net	1
excavated in swamp at depth of 16 feet, between 1946 and 1956	1
found dead at waters edge	2
found dead in bush, no visible cause of death	2
found ill in census area, ca 6 hrs after spraying	1
killed by Clover cutter	2
road kill, after dark	1
taken at nesting colony	1
captive, 1 month	2
caught in banding trap	3
collected at 1025 hrs	1
found dead, electrocuted by fence	1
found dead, killed by Great-horned Owl?	2
found dead, very emaciated	2
nest destroyed	4
trapped in Weasel trap	2
uncertain	207
bought in Leadenhall Market, London	1
breeding colony	1
caught in Sherman Trap	2
caught on fishing line holding up Halloween decorations in a barn	2
collected with thrown stone	1
found dead on lawn, mummified	1
found shot	30
found with bones and feathers	2
invasive alien A1	1996
killed by thrown frisbee	1
Nativo	253584
bought in flesh at Hamilton, Ont, game shop in Dec 1883	1
captive, ca 22 days	2
captive, died in captivity, emaciated	1
caught alive by hand	2
caught in a hen house	1
collected 0530-0730 hrs	1
collected 1800 hrs	1
collected at 1630 hrs	3
deliberate introduction	3
found dead on floating Tern nesting raft, killed by Hurricane Fran, September 1996	1
found dead, claw caught in barbwire fence	1
found dead, oil soaked	6
found dying	48
found ill, captive for three days	2
found weakened, died soon after	2
invasive alien A2	179
shot by hunter	2
taken with set of 9 incubating eggs	1
tower kill	998
Transplanted	1
captured alive, killed	1
collected 0600-700 hrs	2
collected at 0815-1030 hrs	1
collected at 1325 hrs	1
died in fish net	2
dispersed: hitch hiker fishing, boating	5
found ill, emaciated, wild caught	1
found in nest, captive ca 13 months	1
found in weakened condition June 13	1
found in weakened state	2
impaled on Hawthorn	1
invasive alien A3	283
netted in 60 fathom trout net-JHG catalogue	2
shot in garden	2
taken alive	2
unknown: shipping ballast water	18
window kill, ROM parking	1
captive, 4 days	2
captive, taken from nest	7
captive?, JHF catalogue says 'cage bird'	1
captured for banding, died in captivity after ca 10 yrs	1
found alive but dying	2
found dead by road	5
found dead in nesting cavity	1
found dead in pesticide spray area	4
found injured, left wing	2
found on train at Toronto	2
banding casualty?	1
bought in London, Ontario market	1
captive ca 1933 Oct 15	1
captive in Toronto	2
captive, died at Univ of Alaska 1977 December 22	1
caught alive in a laneway	2
collected at 1930 hrs	1
collected ca 1100 hrs	1
dog kill	11
escaped captivity aquaculture: stocked illegally	1
found alive, captive for 12 days	2
found alive, orphaned	1
found dead in garage	1
found dead under wires, wire kill?	1
impaled on cactus	4
Herbarium societatis "Oulun luonnonystävät"	1
Uppl. Stockholm	1
captive, died in captivity, collected in late December 1944	1
collected 0700 hrs	1
collected 1415 hrs	1
found alive	51
found dead by egg in crevice, had shot wounds	2
found dead by railroad	2
found dead, hanging by neck to fence wire	1
lighthouse kill-WE Saunders catalogue	1
released lab animals	42
attacked and killed by Common Crow	1
captive bred on Quail Breeding Farm, Mono-Amaranth Twp, Dufferin County, Ontario	2
caught in insect net	1
collected at 1545 hrs	6
found alive, oiled	2
found dead in tern colony	2
found dead with fish hook in its abdomen	2
found injured or diseased	1
kill by Peregrine Falcon?	2
lead poisoning	2
nest taken after adults deserted nest	1
taken off nest	2
taken with nest and eggs	1
captive for 3 months	1
captive for ca 2 plus years	1
captive, died Nov 01, 1948, in captivity since first week of Sept, 1948	1
caught in fish nets	4
collected at 0910 hrs	1
died by trauma	2
found dead, killed by hunters	2
found dead, one day after being shot	2
found dying on lake shore Feb 27, died Feb 28	1
found eaten by scavengers	2
found injured, captured	2
killed by accident	4
nest had fallen down	8
unknown: dispersed	1
Offspring from plantet	713
captive, trapped	5
caught in gill net	30
collected before 0945 am	1
drowned in pool	2
found dead in chimney	5
found dead in fence	1
found dead on shore	2
found dead, frozen	2
found dead, skin and organs gorged with blood	4
found dead, tangled in fish line	2
from a carcass at fox den	2
injured by car, died	1
taken from nest on roof	2
taken from nest, collected ca 0845 hrs	1
Cultivado	968
Herb. G. Lång	16
born and died on same day	2
captive, at Henley-on-Thames, Oxfordshire, England	1
caught after bathing, feathers froze	1
caught alive, captive	7
caught in muskrat trap	48
escaped aquaculture	30
found dead in crotch of tree	2
found dead in nest box, perahps by a Sparrow	1
found dessicated, carcass	2
killed pullet	1
parents not collected	2
road kill on hwy	1
smokestack kill	2
Cultivated. Origin known.	45
Herbarium Onni Lundson	1
Sauvage	7078
captive since 1993 May, injured by car, accidentally strangled	2
captive, bred ca 1938	1
captive, ca 3 days, caught in opossum trap	1
collected along tide rip line, over 45 fathoms	1
eagle kill	8
found dead on beach	28
found dead on sand dunes	1
found dead on street	6
found dead, old shot wound	2
found drowned in trough by A Loughrey	1
nest and adult taken	1
stocked escaped	55
stocked for sport: stocked for food	1635
captive, 1934 June 27, taken from nest	1
captive, had about 3 yrs	1
caught by hand on nest	1
found dead, had broken wing	2
shot by Eskimo	1
taken from nest on a roof	2
bought in Leadenhall Market, London, 20 Nov 1886	1
bought in Madras market	9
captive for 7 yrs	1
captive, at Delta, Manitoba	1
caught in 4 inch gill net	2
collected 0600-0700 hrs	2
collected in late am or pm	1
found alive on 26 March, died 5 April	2
found dead at roadside	2
found dead on top of fresh snow under hydro lines, wire kill	2
found in weakened condition	2
shot from nest	2
trapped in marsh	2
Culture escapee (forvildet)?	997
Plantet?	401
alien B2	833
captive, bred in Germany	1
caught alive, caught April 30, hatched 1962	1
collected 0900-1330 hrs	1
collected 9000-1400 hrs	1
collected at 1300-2100 hrs	1
fell from nest	1
found alive 12 November, died 16 November	2
found dead, see comments	1
taken from nest, 7 ft from ground	2
Cautividad	1
bought in London	1
captive for ca 11 days	1
captive, from wild	1
collected at 1040 hrs	1
collected at 1200 hrs	4
collected ca 0600 hrs	1
flew down chimney of partly burned house	2
found dead, caught by bill in fly screen	2
naturalised	1052
raised in captivity	14
taken from a nest, nest also collected	16
captive fotr ca 1 yr	2
caught alive from group of augmented young	2
collected 1130 hrs	1
collected at 1120 hrs	1
euthanized	6
found alive, and caged for one week	1
found dead on fencepost, no injuries?	1
injured by motor	1
net casualty	2
taken from nest, captive	2
captive for ca 2.5 yrs	1
captive, raised from eggs	20
found dead and decayed	2
found dead under nest	2
found dead, wire kill?	2
found dessicated, carcass caught on burdock	1
hitch hiker on imported plants	54
netted	55
taken in nest	2
Migrante de USA	11
building kill?	1
captive for 12 hrs	2
captive, bred in aviary, fall 1939	1
captive, in aviary 9 yrs, from Trinidad or Guiana	1
caught in same net at collecting	1
collected at 1500 hrs	26
dog kill?	3
escaped captivity [NULL]	6
found dead in mist net	6
found dead, emaciated	22
found dead, hanging from a pole	2
full of porcupine quills	2
released food fish	2652
bought in Montreal market from taxidermist	1
captive, caught	2
captive, found dead	2
collected between 0800-1200 hrs	1
found alive, injured	2
found wounded	9
killed by pesticide	1
mist net casualty	12
nest and eggs collected	1
nest nest also collectedalso collected	1
one of a pair	6
purchased in bird market, Paris	1
wild caught	2358432
beach kill, found in fresh condition, prob died ca 1927 May 27	1
captive for ca 25 days	2
found attached to burdock	4
found dead in Spider Monkey Pool	1
found dead on roof	2
wind turbine kill	1
Endémico cuenca Magdalena	39
bought in Montreal Market, Jan 1909	1
captive bred, killed and eaten by Raccoon	2
captive, died 1977 July 28	1
captive, escapee, found dead	2
caught in snare, captive	2
collected 1430 hrs	3
collected at 1800 hrs	5
dispersed: hitch hiker	40
found dead inside ROM	1
found dead; picked up at Service Station, prob carried dead in grill from the north	1
killed in Fox snare	2
Culture relict	1380
captive bred, Terra Fauna Environmental Consulting Ltd., Surrey, British Columbia	4
captive for ca 1 yr	2
captive for one day	4
captive, had 1.5 yrs, died	1
captive, in aviary 2 yrs, imported from Australia	1
captive, raised in captivity at Henley-on-Thames, Oxfordshire, England	1
caught at nest hole	1
collected at 1115 hrs	6
collected at 1720 hrs	2
collected over water 23 fathoms	1
found alive with broken wing	1
found dead at tide level	2
found dead on wharf	2
found dead, no injury?	2
found, wing shot	2
killed in mist net by Laughing Kookaburra (Dacelo novaeguineae)	2
lead poisoning, emaciated	2
released food fish: released aquarium	2
road kill, captive for ca 2 yrs	2
washed up on beach	2
beach kill, oil kill?	2
bought in London, May 1895	1
captive bird from Germany	1
captive, at least 20 yrs	2
captive, died in London Zoological Gardens	1
caught alive, oil soaked	2
collected at 1640 hrs	1
found dead at base of silo	2
found dead on lakeshore, very thin	2
found dead with bill caught in screen door	2
found dead, found on shore 1926 April 22	1
found dead, under aerial	1
found frozen	7
road kill	1375
shot by Indian	2
taken from nest April 24 1952	1
taken on nest	4
Offspring from plantet?	9
caught alive on ground	2
caught in 52 ? in gill net	2
collected 1730 hrs	1
collected at 1335 hrs	1
found alive 15 Dec 2004 on snow bank	1
found dead on Hwy shoulder	1
found dead, partly decomposed, killed by Hurricane Fran, September 1996	2
killed by flying against sign	2
mist netted near rest house	1
one of 501 birds killed at lighthouse	157
taken from nest, captive for 4 months	1
DOR=dead on road?	1
captive, ROM aviary, cage #65	1
caught in snap trap	8
collected at 0700 hrs	2
collected at 1415 hrs	2
collision	4
flightless when collected	2
found dead on tidal flat	2
found dead, covered with oil	2
found dead, under wires	2
found ill, died soon after	2
found impaled and stuck on Burdock bush with female	1
found injured on road side, emaciated	2
killed by a farmer	2
captive for ca 6-8 months	2
captive, died in captivity, Toronto Zoo	1
captive, found alive	2
caught after severe storm	4
caught in gill net, 100 ft below surface	4
found alive, died shortly afterwards	3
found dead by nest	8
found dead in field	2
had fallen out of nest after wind storm	2
killed swallowing a Sculpin	2
plantet?	12
found ill, oil soaked	2
found near nest with adult	2
illegally shot and seized	4
killed by Wild Cat	2
killed by train	2
netted over a brook	1
other	1
shot from large flock	1
taken from egg	14
taken from nest which had been blown down by heavy rain and wind	1
wire kill?, found under wires with broken neck	2
captive for 10 days	2
captive, 3-4 days	1
car kill?, wire kill?	1
collected at 1555 hrs	1
collected between 0900-1200 hrs	1
confiscated	19
found dead on CPR railway tracks	2
found dead on trash heap	4
found dead, decomposed, killed by Hurricane Fran	6
found floating dead, had been shot	2
killed by stone	2
mist netted	85
shipping ballast water: dispersed	4
LECB	1
beach kill, oil soaked	2
bought in 1874	1
captive, bred in aviary 1942	1
caught alive after storm	2
caught alive in bush	1
collected at 0920 hrs	1
found dead in garden	6
found dead, escaped cage bird; found July 22, 1954 on court at 2 Sultan St, Toronto	1
true	4995
Migrante	1
beach kill, no wound	2
caught by hand on side of road	2
collected 0900-1200 hrs	1
collected over water 45 fathoms	3
found alive on beach	2
found dead in colony	20
found dead, hanging in tree	1
found in dying condition at Abbey Dawn and sent to ROMZ where it was received Jan 6 in flesh, no injuries	1
found tangled in a multi-flower rose	1
killed while eating a road kill Rabbit	2
stocked misidentified	21
taken from nest, captive for ca 4 days	2
Herb. G. Lång,X HSI 2001	1
captive for 24 days	2
captive, 4 yrs	1
captive, caught by cat on Oct 12, 1935, Jimmy kept it until the 14th	1
fell out of nest	4
found dead at base of tree with mouse in talons	2
found dead on artificial raft	2
killed by oil slick	2
netted over forest road at trail a 3A-B	1
Garden weed?	15
captive at Henley-on-Thames, Oxfordshire, England	2
captured alive in barn	2
collected ca 1550 hrs	2
excavated in 1967	1
found dead tangled in Gill net	1
found dead, very thin	2
found dying on bank of Rio Paleenque	1
found frozen in snow storm	2
found in sleeping position, had come to shore alive and died of starvation on the beach	1
from 25 found freshly dead at entrance to Fox burrows	2
trapped in winter?, seized	2
victim of bird control	1
banding casualty, drowned	2
bought in store (shot at Rondeau) by J E Keays	1
caught in net	14
colony nesting	2
died from disease	2
found dead of starvation	1
found dead, found in nest with RAD 1078	1
killed by American Kestrel	1
killed by raptor	2
shipping solid ballast	21
stocked: dispersed	2
taken from nest, captive for ca 9 months	1
tangled in fishing line	2
unknown: released pet	15
OULU	4
captive bird bred in 1933 at Vineland, Ontario	1
captive, bred in captivity in Germany	1
captive, taken alive at Portage la Prairie by GEA in Feb 1900, this is the male of the pair that JHF bred in captivity in 1902	1
caught on burdock	1
found dead in ROM Chinese Library	1
trapped in mouse trap	1
captive, Calgary Zoo, Alberta	1
caught alive, crippled, wing bone healed	2
caught in fish net	18
caught in pole trap	2
caught in snare	10
caught in trap	63
collected at 0915 hrs	4
found alive, captive for 1 day then euthanised	2
found dead beside road	5
found dead by Armstrong, N	4
released aquarium	2228
shot off of Pine Tree	2
taken from nest in telegraph pole	2
trapped, captive	3
unknown: hitch hiker with stocked fish	30
Ex. herb. Mauno J. K.	1
bought in Leadenhall market, in London, in teaching collection	1
bought in London, England	1
captive, bred ca 1942	1
collected at 1050 hrs	5
collected at 1210 hrs	1
drowned in gill net	2
electrocuted	1
found injured, broken wing	17
invasive	11553
poisoned	3
bought from game dealer, Montreal ca Nov 1923	1
captive for ca 20 days	2
collected 0925 hrs	1
collected at 1130 hrs	1
died of exposure	1
found alive unable to fly	2
found dead, probably killed at night by wire or house-CL	2
found dead, seen alive 2011 December 27-29	1
found on fender of train	2
frost victim	4
one of 54 found dead	8
train kill	21
bought in Dunedin, NZ	1
bought in Leadenhall Market, London, England	1
captive for 6 yrs, caught as wild young	2
captive for four yrs	2
captive since 1930	2
captive since 1988, road kill 1988 September	2
captive, bred in captivity in the summer of 1937	1
caught in butterfly net	3
collected at 1023 hrs	1
flightless	4
found dead on front of train originating at Vancouver, British Columbia	2
found dead on train	4
found injured, captive for ca 1 day	2
killed by storm	1
Herb. Arvo Adiel Koskinen (1898-1982)	29
captive, bred in aviary ca summer 1938	1
captive, wild caught	2
collected at 1350 hrs	4
collected at 1510 hrs	1
died in captivity	2
escapee? From captivity	2
found dead on water	2
found injured on 1973 April 11	2
found injured on Hwy	2
mist netted on shortcut trail through forest over Lodo Creek in forest at Centro Cientifico Rio Palenque	3
bought in Leadenhall Market, London, England, December 10 1890	1
caught alive, 1934 February 18	2
caught in a room	2
collected 1600 hrs	1
collected at 1430 hrs	8
collected at 1530-1630 hrs	1
collected between 1830-1900 hrs	1
collected over water 30 fathoms	1
died after eating poisoned carrion	2
found dead, frozen in stream	2
found dead? (FDR = ? found dead on road)	2
found mummified on beach	2
mist netted in garden	1
Herbariumrnst Häyrén	42
captive, ca 10 days	1
caught alive, captive 2 days	1
caught in muskrat trap and mounted	2
collected 6:00 pm	1
collected after 1500 hrs	4
collected in am	32
drowned in can of water	2
found dead, under telephone wires on roadside	2
found on beach after storm, partly eaten by gulls	2
had injured leg, caught by campers	2
invasive alien	6262
netted on 18, seen on 17	1
stocked aquaculture: dispersed: unknown	3
?	12
Endémico del Neotrópico	189
Metsätieteellisen laitoksen kokoelmia	5
captive since 1950 May 10	2
cat kill?	1
collected at 0920 am	1
collected at 1045 hrs	5
collected between 1630-1830 hrs	1
found dead 8-10 inches high on burr plant	1
found dead beside railway tracks	2
found dead on CNR railway tracks	2
found dead, mummified on beach	1
found dying in garden	2
found exhausted, died	2
found injured, 1944 February 28	2
trapped in Wolf traps	4
Adventiv?	72
aspergillosus?	1
captive for 1 day	4
captive, died in captivity, Port Sydney, Ont	1
captive, died in captivity, Toronto Ont	1
captive, killed by female	2
collected at 1730 hrs	5
excavated Sept 1946 from Cahiague Indian village site of 1615	1
found dead in furnace air vent in basement	2
hatched in captivity 1991 November, died of stress in new surroundings	2
hitch hiker on aquatic plants?: hitch hiker with stocked fish: accidental [NULL]	9
lighthouse kill	426
non wild source	42
shipping	182
captive, ca 8 months	1
collected  1630-1830 hrs	1
collected at 1650 hrs	2
collected over water 41 fathoms	1
found dead and frozen	1
found dead at ice edge	2
found dead, desiccated	1
found dead, skin gorged with blood	2
found dead?	4
found ill, large watery bubble on left side near wing to tail	2
shipping hull fouling	38
taken from eggs	2
taken from nest	391
taken with nest and 3 eggs	2
captive, ca 3 days, caught in Opossum trap, found injured 11 May 1991, died 14 May 1991	1
captive, wild caught, Fikkema Aviaries	2
collected at 1345 hrs	4
collected at 1505 hrs	3
found dead by Trudeau, S	2
found dead, fresh	11
found dying on lawn	1
found in destroyed nest	2
killed with stone	1
one of 13 killed by truck	3
stocked aquaculture: dispersed	1
accidental [NULL]	4
bad skunk odor, porcupine quills embedded in head and neck	2
captive ca 4 days	2
caught by cat and given to me alive by A P Leslie, died during night-OED	1
found dead in nest box on top of one egg and four young	1
pesticide poisoning?	2
road kill, hit by Ray Hepburn's car on road at 10:30 pm EST	1
bought in market	11
captive for 21 yrs	2
captive from London, Ontario	1
captive, caught 1961 March 19	1
captive, died in captivity about 1888	1
caught alive, captive 1 day	3
collected 0800 hrs	1
collected at 0630 hrs	1
domesticated	2
found covered in ice	2
found dead in barn after frost	2
found dead, under hydro wires	2
found dead, under nest	7
wounded by boys	2
Migratoria	294
Number in Set: 1 Condition: good	1
captive for 18 months	2
captive since 1946 June 23	2
captive, bred in aviary summer 1939	1
captured alive in henhouse	1
collected in pm, fledged Aug, 1971	1
found alive during Eastern gale	2
found dead on lakeshore, shot	2
found dead partly decomposed, killed by Hurricane Fran, September 1996	2
found in garden, captive for 5 months	2
mist netted at Centro Cientifico Rio Palenque	6
Herb. Reino Kalliola (1909-1982)	6
airplane kill at 1200 ft	2
bought in Reykjavik, Iceland	1
captive at Can Nat Exhib	2
captive for 11 days	1
captive since 1963-64	1
captive since 1979	2
captive, ca 2 yrs	1
captive, ca 5 wks	2
captive, died June 18 1941	1
collected ca 1500 hrs	2
escaped captivity aquaculture: released aquarium	1
found dead in parking lot	1
found dead, head caught in fence	2
found floating in lake	2
one of thirty-two found dead	2
Cultivated	45
captive for ca 10 hrs	1
captive, 3 yrs	2
captive, caught by dog	2
collected 1815 hrs	1
collected at 0930 hrs	23
collected at 1645 hrs	1
found dead on 21st, on road, collected on October 18 1917	1
found dead on railway track	2
found dying, pesticide poisoning	1
found ill	25
netting casualty	10
one of a brood just out of nest	1
stocked for biocontrol: stocked for sport	7
taken from nest of 3	1
tower kill, struck light on forestry tower	1
captive for 5 yrs	3
captive for ca 1 day	1
captive, ca 8 months, taken from nest on June 12, 1933, kept in captivity until death	1
captive, from aviary of Davis, L	1
excavated in swamp at 16 ft, 1946-1956	1
found alive in pesticide spray area, died later	1
found dead in gill net	2
picked up sick on Nashwaak census area about 36 hrs after spraying	1
taken from nest of 4	2
taken in gill net, 12 fathoms	2
From CARGO: not wild	53
Herbarium A. L. Backman	1
captive, bred in aviary, 1941	4
captive, euthanized	2
caught on nest	2
collected 0900-1130 hrs	1
collected 0900-12:00 hrs	1
collected 2030 hrs	1
died of exhaustion	1
found dead, found dead with air rifle pellet in head	1
found dead, under power line	3
impaled on Cholla Cactus	33
poletrap kill	6
stocked for forage: released bait	70
taken from egg in nest	4
EX HSI 2001	18
beach kill, head injury	2
captive for 17 days	1
captive since 1984 June 11	1
captive, 10 months	2
captive, died ROM Aviary	1
captive, found dead in Rhino moat skimmer basket	1
caught alive, injured, captive for ca 2 days	2
collected at 1000 hrs	48
collected at 1945 hrs	1
died from obstruction in stomach, food had backed up in esophagus to skull	1
excavated from 2 ft below surface at Woodlands Indian Site, 1955 April 03	1
found alive, oil soaked	2
found alive, young bird from late brood left behind in box, prob too weak to follow parents, and picked up exhausted in garden after prolonged rain	1
found dead on fresh snow	1
found dead, exposed to herbicide	1
taken at nest	8
taken fom egg	2
trapped in snare	4
bought in a market	1
captive for 7 days	1
captured alive 18 June, killed 22 June	2
found dead at base of cliff	3
killed by owl?	1
native	8791086
nest predated	1
road kill, , seen alive 1986 Oct 5	1
captive for ca 6 months	1
caught in gill net in 25 ft of water	2
collected at 1011 hrs	3
found dead in nest box	6
found orphaned 8 July 1967	1
mist netted at mouth of cave near airport	2
stream capture	2
unknown	21343
building kill, collided with grain elevator during storm	1
captive, died after fight with Emu	2
captive, died in captivity at Riverdale Zoo after 6 yrs	1
collected at 0925 hrs	1
collected at 1300 hrs	4
cultivated	3483
found dead on kithcen floor of sherarers quarters, mummified	1
found dead, partly eaten	2
found in yard, diseased	2
killed by Sharp-shinned Hawk	1
killed by hail storm	2
picked up dead under electric wires on city streets during AOU field trip	1
picked up in an exhausted condition	1
picked up sick during night census, seemed to revive, died prob of lack of food, for pesticide analysis	1
purchased from locals	2
stocked for research	1
swept over falls	98
taken from a group of young in rocks	2
taken from a nest in telegraph pole	2
Aspergillosus?	1
airplane kill	6
captive, died in captivity at Tring, England	2
captive, died in captivity ca 1940 Dec24	1
captive, taken from nest on June 21, 1933 when about 8 days old, kept until died in captivity, died Feb 19, 1934	1
caught alive, entangled by string in bushes	2
caught by cat, captive two days	1
caught in wolf snare	6
collected 2030-2130 hrs	1
collected at 0845 hrs	2
collected between 0530-7000 hrs	2
collected between 1300-1600 hrs	1
excavated at Armant, Published in 'Temples of Armant',	1
found alive, tame and uninjured, soon died	2
found dead under hydro line	2
found dying, injured in trap	1
killed by cold	2
stocked for biocontrol: dispersed	66
Selfsown	46852
captive for ca 14 months	1
captive, hatched in incubator by Buck Joren	1
caught in fish nets-LLS	4
collected at 1140 hrs	1
