basisOfRecord	reps
Vectius niger	8
26 specimens	17
Abapeba grassima	3
Acanthinus bordoni	1
Achaearanea taeniata	2
Agyneta	30
Anapidae	14
Cleared and Stained	1
Corinna mourai	13
Cratossomus sp5	2
Cydianerus latruncularius	3
Cylicasta coarctata	1
Envia moleque	7
Found 3 larvae on Hops	1
Freudeita interlata	2
Hadrotarsinae	1
Hilipinus sp7	3
LivingSpecimen, PreservedSpecimen	1
Material seco	7621
Moving Image	15
Novafrontina	1
Paecilaema manifestum	207
Synotaxidae	5
cf. Ero	1
enteromorpha intestinalis	2
10 specimens	136
81 specimens	3
Argyrodes	12
Capeta cachimbo	3
Dichyota dumosa	1
Ellipticus pallidus	4
Erica	5
Euticurine?	1
Found 1 larva, on hops	1
GP Gillette Museum of Arthropod Diversity	11
Goianinha eutrachela	2
Hilipinus sp8	1
LiteratureOccurrence	9879
Stenoonops	3
pinned specimen, stainless steel dorsally through thorax.	14
specimen in ethanol	45
24 specimens	13
Acanthinus bechyneorum	2
Allocolaspis brunnea	2
Brignolia cubana	7
Cholus trilineolatus	4
Chrysoprasis moerens	4
Hilipinus sp9	1
Imagen	2
Label 1	260
Lurio	1
Mimetidae	33
Observation, Published Report, Personal Communication, Specimen, Unpublished Report	322
Oxyopes hemorrhous	10
Sosippinae	1
Tenemontes abdominalis	22
Trinella	12
Vendaphaea lajuma	1
Xyloperthella picca	6
cf. Phoroncidia	6
genomic RNA	3
occurrence	2413
Acanthonycha parvula	2
Acragas	1
Attacobius carranca	1
Brachypnoea arbustorum	2
Carminaltica uniformis	3
Dictyopteris plagiogramma	1
Dipoena banksi	1
Guaralycosa?	3
Hypnea musciformis	7
Label 2	262
Linyphiidae	29
Methesis semirufa	1
Neoxyphinus furtivus	77
Sargassum	52
Simlops bandeirante	1
Trochospongilla gregaria	4
cf. Eutimesius	41
95 specimens	1
Acanthinus parianae	5
Alagoasa nigroscutata	1
Anelaphus robi	11
Anthonomus opis	1
Araneus	19
Avicularia versicolor	4
Brasilaphthona buritiensis	5
Calluga	23
Escaphiella	1
Herbarium specimen	2
Ianduba abara	1
Label 3	160
Lycosa nordenskjoldi	1
Micrathena triangularis	12
Scytodes altamira	30
whole specimen in ethanol	276
111 specimens	1
38 specimens	3
Alagoasa plaumanni	1
Architis tenuipes	3
Cacoscelis feldneri	1
Carapoia	5
Colpomenia sinusa	1
Coprophanaeus lancifer	40
Fufius	63
Fufius auricomus	27
Gelanor	76
Label 4	56
Lasiodora	3
Lyssomanes amazonicus	2
Lyssomanes velox	3
Metazygia erratica	2
Micrathena kirbyi	47
Neocutrypanus mutilatus	1
Oonops	64
Physocyclus globosus	28
Plant Virus	20
Prionostemma	89
Radulphius laticeps	8
Tenedos hoeferi	37
Trochospongilla variabilis	2
Vindullus	2
cf. Ariadna obscura	1
cf. Noegus	1
fluid specimen	7870
mRNA	33
22 specimens	25
Anthonomus potens	1
Antichei capucina	1
Drymusa  colligata	2
Label 5	14
Lycosidae	62
Maeota	2
Preservado	5317
Published Report, Specimen, Unpublished Report	2947
Scytodes cotopitoka	6
Sicoderus prolatus	1
Spintharus	2
Abapeba taruma	5
Acalymma punctatum	1
Ceragenia bicornis	4
Cerichrestus batesi	5
Chrysoprasis aurigena	2
Diomus basil	2
Heilus sp10	1
Lyssomanes vinocurae	3
Soesilarishius flagellator	2
Sparassidae	144
Tupirinna rosae	6
Type:Allotype	1
Voucher type:  morphological	5
Zonarius erythrogonus	2
voucher	555330
Alpaida veniliae	2
Benficana longigena	4
Caught 1 pocahontas female	1
Caught 10	1
Coleosoma floridanum	13
Dysderina urucu	3
Found 4 ova, 1 larva	1
Found 8 larvae	1
Gonyleptidae	8
Itata	22
Kalcerrytus	58
Micrathena cyanospina	1
Micrathena spinosa	18
Phoneutria reidyi	47
Pseudanthonomus tachyon	26
Published Report, Personal Communication, Unpublished Report	5744
Samoidae	7
Sargassum swartzii	3
Stygnidius	113
Thaumasia	103
TypeSeries:Paratype	4
180 specimens	1
36 specimens	11
Acalymma theimei	14
Caulerpa sertularioides	4
Chrysoprasis floralis	5
Coleosoma	27
Collection	440
Cosmetidae	151
Cynorta juruensis	58
Dossenus	11
Episinus	437
Fissiphallidae	237
Hytanis	8
Levringea borgesenii	1
Macrinus	1
Neozodes Signata	1
Pocockiella variegata	3
Published Report, Personal Communication	5228
Synagelinae	1
Zuniga magna	1
20 specimens	29
Eburodacrys crossimana	4
Hapalopus	21
Kimulidae	28
Labelscan	33
MNHN	82
Macropophora trochlearis	3
Mangora pia	26
Neodiplothele irregularis	1
Praxithea Travassosi	1
Sampaiosia	5
Scaphiella irmaos	30
Syntrechalea tenuis	1
Titidius quinquenotatus	14
Uloborus	8
Ulva lactuca	24
Xylergates dorotheae	1
aff. Neoxyphinus	10
living, growing plant	6189
34 specimens	8
Alpaida urucuca	9
Chaetacis aureola	67
Cholus calamita	3
Creugas	20
Cydianerus latinsculys	2
Cynorta	251
Dipoena militaris	24
Fossil	63
Found 2 ova	1
Heikertingerella callifera	2
Hemilophus smithi	2
Lyssomanes tenuis	9
Mangora porracea	2
Masteria	18
Peucetia	3
Uraarachne	1
Voucher	78450
Alagoasa erux-nigra	1
Ancylometes concolor	1
Antitypona egleri	114
Antitypona hebe	47
Atractomerus tupinamba	2
Cryptocellus abaporu	2
Cupiennius	3
Dendryphantes	9
Diomus angela	38
Hasarius adansoni	8
Holothele rondoni	38
Lasaeola donaldi	14
Living	6387
Micrathena duodecimspinosa	2
Neoxyphinus boibumba	28
Parisoschoenus brevipennis	1
Plant	110017
Selenopidae	7
Sheet	370
Titidius galbanatus	1
Trichophorus quadristigma	1
Tullgrenella	32
Allocosinae	1
Caulerpa serrularioides	1
Chlamisus chapadensis	8
Ctenus serratipes	142
Dipoena trinidensis	2
Eucerotoma egleri	1
Halymenia porphyroides	10
Heilipus discoides	4
Linothele	3
Lyssomanes	71
Micrepeira pachitea	4
Observation, Published Report, Personal Communication	693
Pachistopelma rufonigrum	2
Phoroncidia	13
Photo	210
Sarinda	4
Specimen/still image	1
Synemosyna paraensis	2
Trachelinae	2
Zygoballus	2
l	603
121 specimens	1
48 specimens	4
Achaearanea trapezoidalis	39
Brasilianus luridipennis	2
Brasilianus rusticus	3
Cholus patruelis	8
Cholus sparsus	5
Cupiennius bimaculatus	14
Diomus scholastica	1
Discocyrtus carvalhoi	16
Eburodacrys sexmaculata	1
Emerged specimen	3
Epitrix egleri	2
Gnomidolon melanosomum	1
Nyssicortylus overali	1
Pavocosa canarana	1
Trachelopachys sericeus	4
Valoniopsis pachynema	5
Veturius cephalotes	2
Zimiromus beni	7
! Complete spm as sample	1
32 specimens	8
Azilia histrio	7
Dipoena pusilla	1
Escaphiella hesperoides	1
Found many ova, 8 larvae	2
Gen.n.	11
Gephyroctenus	23
Glenognatha	6
Gnomidolon musivum	4
Hubardiidae	6
MC collection	35
MCCI	6
Metazygia enabla	1
Mionochroma aureotinctum	1
Mummuciidae	3
Neoxyphinus barreirosi	110
Odo vittatus	17
Onocolus compactilis	1
Palame crassimana	1
Sternechus sp1	1
Surazomus paitit	31
Thelyphonellus	48
Thiodina	21
Thymoites	60
Acanthinus pilositibia	1
Alpaida negro	1
Amazonepeira manaus	2
Brasilaphthona hortensia	2
Cinetomorpha	18
Deliphastus bechyneorum	2
Dictyota bartayresiana	2
Dinaltica tuberculata	2
Epicratinus	61
Escaphiella aratau	13
Gênero ind. humbom	1
Otiothops curua	55
Patrera	46
Santinezia tremembe	2
Scopocira histrio	3
Sternechus sp2	1
Theridiosomatidae	27
Veturius transversus	1
cf. Neotrops	41
o	725126
preserved in alcohol	3298
Acanthoscurria geniculata	4
Aff. Hapalopus	2
Diomus sennen	1
Dipoena duodecimpunctata	12
Hapalopus butantan	61
Metazygia castaneoscutata	1
Neodiplothele	2
Nyssicus aureopilosus	1
Pinned specimen, stainless steel dorsally through thorax.	1
Spilasma duodecimguttata	15
Sternechus sp3	1
Stygnidae	1
Toronacus perforator	1
Ummidia	10
cf. Gradungulonoops	2
46 specimens	5
Adult, ex larva on Fraxinus americana	1
Anthonomus ratio	1
Aphantochilus	47
Architis	5
Bertrana elinguis	7
Codium elongatum	2
Ctenus minor	4
Eilica	9
Erana nigrita	1
Genaphthona orthochroma	1
Hentziectypus rafaeli	6
Lophopaeum acutispina	2
Mazax	1
Metagonia	2
Monoblemma	1
Nephaspis hydra	1
Opades costipennis	1
Phoneutria	21
Sternechus sp4	1
ZOBODAT	6
abdoman tissue	1
gen. nov.	16
q	1
30 specimens	21
Antitypona quinquepustulata	35
Cerocida ducke	21
Chinoscopus	9
Corinna recurva	1
Cratossomus sticticus	18
Found 50 ova on Rumex crispus	1
Guyruita cerrado	2
Neoxyphinus	483
Nothroctenus	56
Nyssodrystes afflicta	1
Protosphoerion signatipenne	1
Pseudosparianthis	12
Sternechus sp5	2
44 specimens	6
Acalle recurvata	2
Acanthoderes compta	1
Chrysso	31
Diomus bibiana	2
Enoploctenus	28
Envia garciai	2
Eriophora edax	2
Faiditus	21
Habrophora colorata	1
Halymenia amoena	1
Hoplistocerus gloriosus	1
Mangora woytkowskii	13
Microrhinus grandis	2
Parawixia matiapa	1
Prionostemma aureomaculatum	141
Sternechus sp6	1
Uaiuara?	1
s	39275
Allocolaspis halli	1
Araneus guttatus	3
BC ZSM HYM 07721	1
Babiomaltica ifrit	2
Cacoscelis marginalis	188
Chthoneis clypeata	1
Cleogonus conicollis	1
Found 5 larvae	2
Ilha de Maracá, SEMA Estação., North side of island at Três Igarapés, ca. Ca. 2km along picada from sub-camp. Open sunny area of tree fall in open seasonal evergreen forest (lower and less dense tha at base camp on south of island).	1
Label	110
Phoebe bicornis	1
Zalmoxidae	77
Ammotrechidae	1
Antitypona diachroma	126
Antitypona nitentula	48
CAS	1173
Capraita clarissa	1
DrawingOrPhotograph	19427
Enna  igarape	5
Epilachna cacica	51
Eriophora fuliginea	21
FossileSpecimen	1091069
Gracilaria verrucosa	1
Hesychotypa liturata	1
Ischnocolinae	10
Lyssomanes unicolor	7
Noegus fulvocristatus	2
Rhynchophorus palmarum	390
Spécimen	174
larvae	10
58 specimens	1
Acanthinus fimbiatus	1
Acanthonycha arbusticola	34
Anthonomus pruinosus	1
Argiope  argentata	39
Capraita motschulskyi	3
Caulerpa varavalensis	1
Chrysso sulcata	1
Ctenus similis	66
Ctenus taeniatus	11
Dictyota automaria	1
Elaver valvula	60
Enna  bonaldoi	8
Episinus garisus	14
ICSTZM	1
Ischnothele guianensis	30
Micrathena miles	27
Nemesiidae	1
Oonopinae	18
Otiothops puraquequara	7
Padina pavonica	1
Pantomallus piruatinga	1
Paracleocnemis	30
Simonestus	11
Tenedos	1
Ultinaltica calcarata	5
Xyccarph	1
Xylethrus	1
42 specimens	6
Architis maturaca	5
Codium coronatum	2
Colobothea securifera	1
Coxapopha	1
Desmiphora cirrosa	3
Diomus docothy	1
Diomus ubald	24
Dorcasta implicata	1
Epeirotypus	2
Epicadus heterogaster	2
Erodiscus obidensis	1
Especimen	48387
Found 13 larvae	1
Helimeda opuntia	12
Hypnea spicifera	1
Ianduba varia	1
Kapogea alayoi	1
LivingSpeciman	1
Lydipta conspersa	1
NomenclaturalChecklist	1489
Oonopoides	6
Published Report, Personal Communication, Specimen, Unpublished Report	776
Strophius	24
Tetragnathidae	73
Thaumasia  argenteonotata	29
Tropidion pubicolle	1
Tyloderma sayi	1
TypeSeries:unknown	20
aff. Xyccarph	68
livingspecimen	59506
Actinopodidae	1
Architis cymatilis	1
Cosmopolites sordidus	4
Cymatobaris coerulea	1
Dynamis borassi	15
Eburodacrustola pickeli	1
Ephebopus murinus	15
Mecynogea	1
Neocteniza	9
Observation, Personal Communication, Specimen	1337
Reportado	162128
Senoculidae	7
Sparianthis	10
Syntrechalea adis	2
Tatepeira tatarendensis	1
sp. 14	1
Acallepitrix ywa	6
Aff Holothele	18
Alpaida bicornuta	3
Ammoxenus	1
Anthonomus sugillatus	1
Capidava	1
Chamaedoris auriculata	3
Clubionidae	12
Diomus hedwig	1
Gephyroctenus juruti	1
Goeldia zyngierae	1
Hersiliidae	4
Hiotus parviscutis	1
LivingSpecimen	1069192
Oecobius concinnus	4
Otoniela	11
Personal Communication, Unpublished Report	39877
Scytodes piyampisi	19
Steirastoma aethiops	2
Synaemops	1
Xeropigo camilae	1
Xylethrus superbus	4
Zimiromus hortenciae	9
