v_earliestAgeOrLowestStage,reps
Early Devonian (early Helderbergian),3
To2,3
Lower Visean,3
"{ ""geologicAge"" : ""Carboniferous; Westphalian (Coal Measures)""}",3
Gulfian?,3
ORELLAN?,3
SUB-RECENT,3
CARNO-NORIAN,3
Middle Valentian,3
Hauterivian-Barremian,3
upper Keuper,3
Whitrockian,3
Callovian L Age,3
Late ?,3
Aptian? - Albian,3
RUSCINIAN,3
HELVETIAN,3
Kimméridgien?,3
Santacrucense,3
Early Cretaceous (late Albian),3
Upper Neocomian,3
eerly Early,3
LUTETIAN (=BRUXELLIAN),3
Ludlowian,3
Sangamonian,3
Tastubian,3
latest Maestrichtian,3
HOLOCENE,3
"Cincinnatian, Edenian",3
Missouri Stage,3
lower to middle,3
"Campanian, Cenomanian",3
Placentian,3
Milazzian,3
Naparima,3
subactuel,3
late Early Devonian (Emsian),3
Laurentian,3
Rancholebrean,3
Late Arikareean?,3
lower Comanchean,3
Colloncuran,3
UPPER AQUITANIAN,3
Oamurian,3
Oxfordian Age,3
L. Neocomian,3
Rognacian,3
B.b.,3
Barremian-Aptian,3
Praguien?,3
Carodocian,3
Waltonien,3
"{ ""geologicAge"" : ""Permian (upper Autunian)""}",3
BARSTOVIAN?,3
SINEMURIAN-PLIENSBACHIAN,3
Great Vally Series,3
UPPERMOST VIRGILIAN,3
Kaugetuma,3
Serrarian,3
Assélien,3
Middle-Serravallian,3
Early Jurassic (Sinemurian),3
Etalian,3
Chibanian,3
"{ ""geologicAge"" : ""Tertiary, Eocene, Middle""}",3
upper Turonian,3
"{ ""geologicAge"" : ""Jurassic (Middle Saurian Bed)""}",3
Aquitanian?,3
Ludfordian Age,3
Melekesian,3
PORTLANDIAN,3
LATE TIFFANIAN OR CLARKFORKIAN,3
Pennsylvanian (Illinois),3
RANCHOLABREAN/RECENT,3
Early Mississippian (Kinderhookian-Osagean),3
Aptian (Upper Neocomian),3
"Mississippian, Kinderhookian",3
Anversien,3
Kinderhookian?,3
Late Cretaceous (Campanian),4
IRVINGTONIAN?,4
Valentian,4
Vesulian,4
Fortunian,4
Poundian,4
Tiffanian?,4
Upper Caradocian (Berounian),4
Lower Ashgillian (Kralodvorian),4
Gunz,4
Sahelian,4
Late Ordovician (early),4
Wealdian,4
Oligocene L,4
Earliest Tiffanian,4
Late Barstovian (C5Cn1),4
Sheinwoodien-Homérien,4
Maastrichtien?,4
LOWER WASATCHIAN,4
Sherwoodian,4
Pliocène,4
Porangan,4
?Barremian,4
Yarengian,4
ibexian,4
Late Villafranchian,4
Ludian?,4
Stampian-Inf.,4
Santonian?,4
Upper Callovian,4
"{ ""geologicAge"" : ""Cretaceous, Senonian""}",4
Langsettian,4
Early Pleisocene,4
Bathonain,4
"{ ""geologicAge"" : ""Pennsylvanian (Stranger Formation, Tonganoxie sandstone member)""}",4
Langevoja,4
"{ ""geologicAge"" : ""Triassic, Upper (Chinle Formation)""}",4
Early Mississippian (Visean),4
Early or Middle Pleistocene,4
*Westphalian,4
Early-Middle,4
Dévonien,4
Patagonian,4
Turonian?,4
Colhuehuapense,4
Volgian,4
prob. Clayton,4
Early Proterozoic,4
middle Miocene (Tortonian),4
Lochkarian,4
Chemung Grp,4
LUDIAN,4
Stage 2/3,4
Wanwanian,4
Spathien,4
Leonense,4
Juanian,4
Tongrian,4
Narizian?,4
Sellersburg Ls,4
middle Norian,4
chesterian,4
Upper Muschelkalk,4
Upper Frasnian,4
Miocène supérieur,4
Devonian (Upper Lower Emasian),4
Late Arikareean,4
Middle Pennsylvanian (Missourian),4
Toarcian Age,4
Cheremshanian,4
Upper Lutetian,4
late Desmoinesian,4
Khamovnichean,4
"Santonian, Coniacian",4
Dordonian,4
CAMPANIAN,4
Cerithian,4
Bulitian,4
Frasnien?,4
Hautero-Barremian,4
Pleistocène moyen,4
LATE TIFFANIAN?,4
NATUFIAN,4
LOWER + UPPER,4
LateEarly,4
Lowest Maastrichtian,4
LATE BRIDGERIAN,4
Lower Yorkian,4
Rhaeto-Liassic,4
"{ ""geologicAge"" : ""Cretaceous; Maastrichtian; Paleocene (Willow Creek Formation)""}",260
Dawan,260
Kimméridgien,1796
Dyeran,2564
Campanian-Maastrichtian,5124
Cenozoic,18692
Upper Pennsylvanian (Stephanian),5
CROMERIAN,5
Early Tiffanian,5
Domerian,5
Wealden,5
Molodian,5
"{ ""geologicAge"" : ""Jurassic, Late (Tivoli Formation)""}",5
Middle Gondwana,5
Sandbian/Katian,5
PAMPEAN,5
"{ ""geologicAge"" : ""Tertiary, Eocene, MIddle""}",5
LATE WASATCHIAN,5
Late?,5
TORREJONIAN?,5
RANCHOLABREAN?,5
EARLY RUSCINIAN OR LATE TUROLIAN,5
Late-Miocene,5
early Silurian (Llandoverian),5
Eifel,5
Toarcien?,5
"{ ""geologicAge"" : ""Tertiary, Miocene (Yakima Basalts)""}",5
early Pennsylvanian,5
Sokian,5
SPARNACIAN OR THANETIAN,5
PLEISTOCENE,5
EARLIEST HEMPHILLIAN,5
Campanian - Scaphites hippocrepis zone,5
ARISAIG,5
Mangapanian,5
Middle Devonian (Hamiltonian),5
PURBECKIAN,5
Titoniense,5
Cistecephalus Zone,5
Lampasas (= Atokan),5
"{ ""geologicAge"" : ""Tertiary, Miocene (Columbia River Basalts)""}",5
Dogger alpha,5
Westphalien,5
Gorstien,5
Tournaisian Age,5
"{ ""geologicAge"" : ""Eocene (Claiborne Formation)""}",5
Lillburnian,5
middle Oxfordian,5
Piacenzian (Waltonian),5
Asselien,5
"{ ""geologicAge"" : ""Tertiary, Miocene (Blue Mountains Formation)""}",5
Chesterian?,5
Greensand,5
LATE KANSAN,5
Upper Llanvirnian,5
Reinbekien Glimmerton,5
Marmor,5
Gault,5
SARMATIAN,5
Lotharingian,5
COMANCHEAN,5
Bairnsdalian,5
Tortonian/Serravallian,5
"Upper Ludlow, Pragian, Zlichovian",5
Albian to Maastrichtian,5
Aquitaniense,5
CRETACEOUS,5
Devonian (Upper Siegenian),5
Danien?,5
Ashgill?,5
?VIRGILIAN,5
Sabinian,5
"{ ""geologicAge"" : ""Eocene (Huntingdon Fm.)""}",5
Late Early,5
Blacksforkian,5
Late Cretaceous (probably Campanian-Maastrichtian),5
Cambrian,773
Early Mississippian (Kinderhookian),1285
Late Frasnian,1541
L. Eifelian,6
MAESTRICHTIAN,6
Oxfordian ?,6
Chasicoan,6
"{ ""geologicAge"" : ""Tertiary, Eocene (Indio Formation)""}",6
Whitcliffe,6
Callovian/Oxfordian,6
BLANCAN II,6
Uquian,6
Middle Proterozoic,6
White Jura,6
Karnic,6
Salandian,6
Burtsevian,6
Cf1,6
L. Senonian,6
Darriwilian / Chazyan,6
late Westphalian A,6
Argovian,6
Seguanien,6
Pleistocene?,6
EARLY BLANCAN,6
RUSCINIAN; ASTIAN,6
Lower/early,6
Devonian (Lower Emsian),6
Ludlow moyen-supérieur,6
Coniacian-Santonian-early Campanian,6
Ottnangian,6
"Cénomanien, Turonien",6
"""Aptian, Albian""",6
BARREMIAN-APTIAN,6
Cenomanian - Turonian,6
Upper Downtonian,6
CHATTIAN,6
Oxfordiano,6
Tiglian,6
Late Devonian (middle Frasnian),6
Vindobonien,6
Cenonian,6
Upper Greensand,6
"{ ""geologicAge"" : ""Tertiary; Eocene""}",6
Late(?) Oligocene,6
Cénomanien?,6
Late Wasatchian,6
EARLY DUCHESNEAN?,6
Middle Carboniferous,6
fourth stage,6
YPRESIAN OR SPARNACIAN,6
Kalimnan,6
Devonian (Emisian),6
Eifélien-Frasnien,6
Charmouthian,6
Sinemuriano,6
Irvingtonian?,6
Modern,6
Carboniferous Ls,6
Olenidian,6
"{ ""geologicAge"" : ""Recent""}",6
Aksayan,774
Floian,1030
Early,1542
LATE WISCONSINAN; RANCHOLABREAN,2310
Upper Maastrichtian,7
upper,7
"Maastrichtian, Coniacian",7
Hutchinsonian,7
Lower Helderberg,7
Taghanic,7
early Westphalian B,7
Karnian,7
Lorraine,7
Vraconian,7
Late Kazanian,7
"{ ""geologicAge"" : ""Pleistocene""}",7
Middle Dogger,7
Undillan,7
Dogger,7
Upper Triassic,7
Lower Dogger,7
Ti5,7
Late Jurassic (Tithonian)-Late Cretaceous (Cenomanian),7
Stéphanien,7
Tsanglangpuan,7
Cenomanian?,7
lower Clarkforkian,7
late Miocene,7
Whitlandian,7
Anticostian,7
Aluoja,7
Wuliuan/Drumian,7
Arowhanan,7
Cretaceous (Santonian),7
"Norian, Rhaetian",7
Newportian,7
Middle Mississippian (Meramecian),7
Cleveland Sh,7
Liben,7
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Frenchman Formation; Ravenscrag Formation)""}",7
Rancholabrean NALMA,7
Planulata,7
Late Cretaceous (Turonian-Campanian),7
Santonian to Campanian,7
Early Late,7
DUCHESNEAN?,7
Hauterivian-Barremian Boundary,7
Rancholebrean or Holocene,7
"{ ""geologicAge"" : ""Cretaceous; Tertiary (Hell Creek Formation; Tullock Formation)""}",7
Falunian,7
Early Mississippian (early Osagean),7
MP 15,7
Houldjinian,7
late Carnian,263
Eocene,4615
Pragian,10503
Lochkovian,11271
Dzhulfian?,8
late Early Hemphillian,8
AUTUNIAN,8
WILCOX,8
Middle Smithian,8
Plaisancien-Gélasien,8
latest Albian,8
Balcomian,8
Deerparkian,8
Middle Jurassic (Bathonian),8
Praguien-Eifélien,8
Lias J,8
late Emsian,8
Campanian - Baculites perplexus zone,8
Idamean,8
Late Devensian,8
Scythian?,8
Asselien - Gzhelien,8
Hamilton Sh,8
upper Middle Cambrian,8
Lower Zechstein,8
Hauterivian to Barremian,8
"Mississippian, Osagean",8
Lower Downtonian,8
Carnian/Norian,8
Early Devonian (Lochkovian),8
Upper Danian,8
Platteville,8
Capay,8
Lower Tithonian,8
early Langhian,8
Sterlitamakian,8
Clifdenian,8
Bartonian(?),8
Clarendonian-Hemphillian,8
Tongerian,264
MN 7 + 8,520
Refugian,520
Wenlock?,520
Early Santonian,776
Hemingfordian NALMA,1288
early Silurian (Wenlockian),9
Tournaisien-Viséen,9
"{ ""geologicAge"" : ""Tertiary, Miocene (Trout Creek Formation)""}",9
"Albian, Cenomanian",9
Ngaterian,9
"Upper Pennsylvanian, Virgilian",9
NIAGARAN,9
Vicksburgien,9
BRIDGERIAN-UINTAN,9
Eggenburgian,9
Emsien?,9
Middle-Early-Pleistocene,9
Campanian - Didymoceras stevensoni zone,9
Lowermost Cenomanian,9
"Santonian, Campanian",9
Aldingan,9
LATEST VIRGILIAN,9
Mississippian (Late Visean),9
Auversien,9
Walchow,9
Reuverian,9
Streffordian,9
Bringewood,9
Borszczow,9
Middle Scythian,9
Coniacian?,9
BURDIGALIAN,9
Krasnopolyanian,9
Chautauquan,9
Melekhovian,9
LATE LOWER,9
late-middle,9
Holkerian,265
Cenomanian,32009
Purbeckian,10
Maastrichtian - Baculites baculus Zone,10
Argovien,10
Campanian or Maastrichtian,10
L. Llanvirnian,10
Bolderian,10
Basleoan,10
"Cretaceous, Maastrichtian",10
uppermost Westphalian D,10
Pontian,10
Pu3,10
Calabrien,10
BARREMIAN,10
Graysian,10
Oligocene M,10
Bolorian,10
Czortkow,10
late Aptian,10
Suessonian,10
Ontarian,10
Hunneberg,10
Lower Emsian (Zlichovian reg.),10
Wilcoxian,10
Krevyakian,10
Strunian/Etroeungtian,10
Floiano,10
Cénomanien-Turonien,10
Sythian,10
Longfordian,10
Turonien,3594
Aptian,15370
Hemphillian,46346
Late Middle Miocene,11
Clarenonian-Hemphillian,11
Lothagamian,11
Early Devonian (early Pragian),11
L. Givetian,11
BURDIGALIAN; VINDOBONIAN,11
Desmoinsian,11
middle Miocene (Serravallian),11
Middle Ludlow,11
Kimméridgien-Tithonien,11
LEDIAN,11
Bridgerian?,11
Albian Age,11
TOURNAISIAN,11
Urgonian,11
Lockhovian,11
Johannian,11
Diestien,11
Landenian,11
"WOLFCAMPIAN, EARLY",11
"{ ""geologicAge"" : ""Tertiary, Eocene (Kamloops Group; McAbee Beds (informal)""}",11
campanian,11
UPPER PALEOLITHIC,11
Cf3,11
Serravallien-Tortonien,11
Sinémurien-Pliensbachien,11
"Turonian, Coniacian",11
Cayugan,267
Siegenian,523
Tenuicostatum,779
Bashkirian,4107
CHADRONIAN?,12
Hunderumian,12
Millardan,12
EARLY WASATCHIAN,12
RANCHOLABREAN EQUIVALENT,12
Hulo,12
Saranian,12
LOWERMOST + UPPERMOST,12
Baodean,12
Stage 2,12
Early Cretaceous (Comanchean),12
Danien-Montien,12
Lower Cretaceous (Valanginian-Aptian),12
Upper Santonian - Lower Campanian,12
Lutétien-Bartonien,12
"{ ""geologicAge"" : ""Pennsylvanian, Early (Pottsville Series, Brazil Formation)""}",12
Gzhélien,12
fifth stage,12
"{ ""geologicAge"" : ""Cretaceous (Frenchman Fm.)""}",12
"Capitanian, Wordian",12
Teratan,12
Dorogovilovian,12
Moscovien,12
late Sinemurian-early Pliensbachian,12
LATE BLANCAN,12
Lower Maastrichtian,12
Altonian/Waiauan,12
lower Middle Devonian,12
early Late Ordovician,12
Santonien-Coniacien,12
early Silurian (Aeronian),12
Vallesian,524
Santacrucian,1548
Frasnian Stage,13
Couvinien,13
Bartonian ?,13
early Hemphilian,13
Middle Ashgillian,13
LATE STAMPIAN,13
?MIDDLE CHADRONIAN,13
Middle Oolite,13
Superior,13
VIRGILIAN (STEPHANIAN/GEZHELIAN),13
Thurinigian,13
Penutian,13
Early Anisian,13
Early or Middle Devonian (Emsian or Eifelian),13
Upper Tremadocian,13
Santonien-Campanien,13
"{ ""geologicAge"" : ""Tertiary; Paleocene (Perth Basin; Kings Park Shale; Kings Park Formation)""}",13
Dittonian,13
"{ ""geologicAge"" : ""Eocene (Eureka Sound Group)""}",13
"{ ""geologicAge"" : ""Devonian""}",13
Stephanian,269
L. Lias,525
Late Tithonian,3085
Chattien,3341
"{ ""geologicAge"" : ""Tertiary, Middle Eocene, Miocene (Eureka Sound Group; Beaufort Formation; Buchanan Lake Formation)""}",14
"{ ""geologicAge"" : ""Cretaceous; Maastrichtian; Tertiary, Paleocene (Eureka Sound Group; Upper Expedition Formation; Eureka Sound Formation, Members I & II)""}",14
Namurian B,14
Ledian,14
Upper Dogger,14
Eocene (Uintan),14
WASATCHIAN; LATE GRAYBULLIAN,14
Middle to Late Miocene,14
Midwayan,14
"{ ""geologicAge"" : ""Permian""}",14
early Eocene,14
Lower Cretaceous,14
Late Permian,14
Aptien - Albien,14
Onondagaian,14
Middle Carnian,14
Castlemanian,14
Olenekian (early Spathian),14
Reinbekien Feinsand deposit,14
Olenekien,14
Middle Santonian,270
Olenekian (late Smithian),15
"Middle, late",15
lower Cenomanian,15
Hemphillian NALMA,15
Medinan,15
"{ ""geologicAge"" : ""Carboniferous (Pennsylvanian)""}",15
LATE WESTPHALIAN D,15
C.c. V,15
LOWER ORELLAN?,15
Yarmouthian,15
Early Devonian (early Lochkovian),15
"Cretaceous, Cenomanian",15
SENONIAN,15
Eifélien-Givétien,15
Pennsylvanian (Westphalian C),15
Early Puercan,15
Ternanian,15
Adorf,15
upper Middle Smithian,15
LATE WISCONSINAN,15
Turonien-Coniacien,15
Astaracian?,15
"{ ""geologicAge"" : ""Jurassic, Late; Cretaceous, Early (Currier Formation; McEvoy Formation; Devils Claw Formation)""}",15
Subrecent,15
Aquitanian or Burdigalian,271
Nangaoian,527
Clarendonian NALMA,1039
Margaritatus,2063
Late Toarcian,2063
Volkhovian,16
HEERSIAN,16
Ludian,16
L. Ashgillian (Berounian),16
TORREJONIAN 3,16
Cuisien,16
Cardocian,16
Kapitean/Opoitian,16
Taghanican,16
Trémadocien?,16
Cynognathus zone,16
Scaldisien,16
Kubergandian,16
IRDINMANHAN,16
Iverian,16
Antiguan,16
SU,16
late Triassic (Norian),16
Upper Carboniferous (Mid Yorkian),16
FAMENNIAN,16
Auversian,16
Late Clarendonian,272
Pennsylvanian (Westphalian A),272
Noginian,2320
Late Barremian,2576
Desmoinesian,50960
Andalusian,17
Sarginian,17
"Campanian, Maastrichtian",17
Hirnantien,17
Lower Pliocene,17
Early Wasatchian,17
Chewtonian,17
Villafranchian,17
Late Sarmatian,17
ALBIAN,17
Late Middle Norian,17
VILLAFRANCHIAN,17
"{ ""geologicAge"" : ""Tertiary, Eocene (Clarno Basin)""}",17
Chasiquense,17
Berriasiense,17
Pavlovoposadian,17
Arshantan,17
"Cretaceous, Coniacian-Santonian",17
Middle Paleocene,529
Harrisonian,785
actuel,18
Cf2,18
middle Bathonian,18
Lower Albian,18
Wasatchian?,18
Coniaciano,18
LOWER LUDIEN,18
Pannonian,18
Upper Lower,18
UPPER BURDIGALIAN,18
Leornardian,18
Priabonian / Jacksonian,18
Lattorfian,18
late early Barremian,18
Mayvillian,18
Upper Pennsylvanian (Virgilian),18
Tremadociano,18
LATE MISSOURIAN,18
Givetien,18
Santonian-Campanian,18
Stephanian A,18
LATEST CLARENDONIAN,274
Neogene,274
Spinatum,1042
BLANCAN,19
Tithonian to Hauterivian,19
Early Senonian,19
Middle Devonian (late Givetian),19
Judithian - Edmontonian,19
Bashkirian / Morrowan,19
Moclipsian,19
Gramian,19
EARLY UINTAN,19
Mangaotanean,19
Pliensbachiano,19
Aniso-Ladinian,19
Korangan,19
VINDOBONIAN; HELVETIAN,19
Bruxellian,19
Rauracian,19
Sakmarien,19
C.c.IV,19
BARTONIAN,19
Middle Oligocene,275
Homerian (Wenlock),275
Early Llandeilo,531
Middle Famennian,787
Early Valanginian,1811
Pleistocene Middle,2323
Eifelian,11027
Early Hemphillian,20
Ladinien - Carnien,20
"{ ""geologicAge"" : ""Eocene""}",20
Late Norian,20
Berriasian-Albian,20
third stage,20
Sélandien,20
DUCHESNEAN,20
Asselien - Sakmarien,20
Astien,20
UINTAN B,20
middle Eocene,20
AQUITANIAN,20
"Pennsylvanian, Desmoinesian",20
Arcadian,20
"{ ""geologicAge"" : ""Triassic, Late (Blackstone Formation)""}",20
"Cenomanian, Albian",20
Late Aalenian,1044
Early Bathonian,1300
Tortonien-Messinien,1300
Burdigalien,2068
WASATCHIAN,2836
Bathonian,13588
MP 14,21
early Late Barstovian,21
Turonien-Cénomanien,21
"{ ""geologicAge"" : ""Tertiary, Paleocene (Scollard Formation)""}",21
Upper Emsian,21
Kuressaare,21
early Spathian,21
early Oligocene,21
"{ ""geologicAge"" : ""Tertiary, Eocene, Middle (Klondike Mountain Formation)""}",21
Pennsylvanian (Westphalian B),21
Late Senonian,21
PUERCAN,21
C.c.VI,21
Vicksburgian,277
Permian,1813
Bathonien,5397
Niagaran,29205
Early ?,22
lowest Lower Spathian,22
Fortunien - Etage 3,22
Subfurcatum,22
Magnesian,22
Late Bathonian - Callovian?,22
Upper Pennsylvanian (Missourian Stage),22
early Norian,22
Santonian-Early Campanian,22
Osagian Stage,22
"{ ""geologicAge"" : ""Eocene (Eureka Sound Group/Buchanan Lake Fm.)""}",22
Leintwardine,22
Montian,22
Toarciano,22
Marjuman Stage,22
Nebraskan,22
Devonian (Frasnian),22
lowest Middle Smithian,22
MIS 7.4-7.2,22
CARNIAN,22
Early Barstovian,278
Opalinum,1046
Early Pliensbachian,3094
Cenomanian to Turonian,23
Upper Cretaceous,23
Early Cretaceous (Albian),23
Wurm,23
ASTARACIAN,23
Latest Aptian,23
Lochkovien-Praguien,23
Barstovian-Clarendonian,23
APTIAN,23
Severodvinian,23
Jacksonien,23
TIFFIANIAN,23
Mustersan,23
"Cenomanian, Campanian",23
Ypresiense,23
lower Anisian,23
MP 27,23
Santonian/Campanian,279
Furongian,1047
?Duchnesnean to middle Chadronian,24
Early Carnian,24
Ynezian,24
Vereian,24
Cenomanian-Turonian,24
Albio-Aptian,24
Emsien-Eifélien,24
"Mohawkian, Chatfieldian",24
NEOCOMIAN,24
Lower,24
Latest Devonian (Tn1b),280
Drumian/Guzhangian,2328
Ulangochuian,25
Campanian - Baculites scotti Zone,25
Ketyan,25
Djulfian,25
ARIKAREEAN?,25
Lystrosaurus zone,25
Norien,25
Langhian to Tortonian,25
Black River,25
Late Uintan,281
Meramecian,3609
Medio,26
Barremian/Aptian,26
Mansian,26
Duntronian,26
Early Arikareean NALMA,26
Upper Devonian,26
CENOMANIAN,26
TORTONIAN,26
Middle Llandeilo,26
middle to late Albian,26
"Saucesian,Relizian",26
Late Coniacian,794
Rawtheyan,2074
Early Emsian,2330
Famennian,4378
Blancan,12058
Late Pennsylvanian (Missourian-Virgilian),27
Ypresian?,27
Early Jurassic (Hettangian),27
Georgian,27
LUTETIAN,27
"Maastrichtian, Campanian",27
Mesozoic,27
VISEAN,27
Namurian A,27
Montanan,27
Kansan,27
Robiacian,27
Late Cretaceous (Maastrichtian),27
Moscovian / Atokan,27
Tithonian - Berriasian?,27
Late Jurassic (Tithonian),27
Tortonian-Messinian,27
Ayusokkanian,539
Geringian,539
WASATCHIAN; SABINIAN,539
L. Emsian (Zlichovian),795
Rupelian,9499
Albian/Cenomamian,28
Middle Pennsylvanian (Desmoinesian),28
Early Blancan,28
Tavgian,28
Gleedonian,28
Early Chadronian,28
Berriassian,28
Ems,28
Upper Mississippian: Middle Chesterian/lower Namurian A,28
Campanian - Baculites eliasi Zone,28
Demingian,284
Nukumaruan,284
Redonien,540
Reinbekian,1308
Late Santonian,1820
Bathonien-Callovien,29
Blancan NALMA,29
Upper Carboniferous,29
early Miocene,29
Upper Smithian,29
"{ ""geologicAge"" : ""Cretaceous, Campanian (Oldman Formation)""}",29
Orellan?,29
Oolite,29
Dzhulfian,29
Upper Senonian,29
Norien-Rhétien,29
early Late Arikareean,29
Bendian,29
late Middle,29
Garantiana,29
Early Triassic (Smithian),29
L. Ludlow,29
Kazanian,541
Early Albian,4125
Givétien-Frasnien,30
Huronian,30
late Pliocene,30
Sequanian,30
Campanian - Maastrichtian,30
YPRESIAN,286
Langhien,2334
Selandian,3870
Messinian,10270
Maastrichtiano,31
Late Urzhumian,31
Early Mississippian,31
MAASTRICHTIAN?,31
MiddlePleistocene,31
Dinantian,31
Upper Wenlockian,31
Deming,31
Late Westphalian,31
Opoitian,31
LEONARDIAN,287
Dragonian,287
Valanginien,287
L. Darriwilian (Dobrotivian),287
Actonian,543
Caradoc,4639
Late Triassic (late Carnian),32
Maastrichtian - Baculites clinolobatus zone,32
Longfordien,32
Aptian or Albian,32
early Permian (Wolfcampian),32
Middle or Late Devonian (Givetian or Frasnian),32
DUCHESNEAN LATE,32
Dienerian,1312
WASATCHIAN; LOSTCABINIAN,3872
Chapadmalalan,33
Senecan,33
Kimmerian,33
Pléistocène,33
Nganasanian,33
Trenton Ls,33
Carniano,33
LOWER BURDIGALIAN,33
Homerian (wenlock),33
Serpukhovien,33
Rootsikula,33
Abereiddian,289
Turolian,1313
early Clarkforkian,34
Woodstockian,34
lower Aptian-upper Cenomanian,34
late Oligocene,34
early Early Arikareean,34
Gulfian,34
Onesquethaw,34
MP 17A,34
Zahorany,34
early Miocene-middle Pleistocene,34
?Duchnesnean to Chadronian,34
Famennien,546
Whitneyan,802
Upper/Late,2594
Late Guadalupian,35
Late Cretaceous (Campanian-Maastrichtian),35
Late Tuvalian,35
Miocène,35
Tiupampian,35
Turonian - Coniacian,2083
CLARENDONIAN,36
Ensenadense,36
CHESTERIAN,36
Early to Middle Eocene,36
Ururoan,36
Early Cretaceous (Early Aptian),36
Tatarian,36
Casamayoran,36
middle-late,36
Arikareean?,292
LATE CHADRONIAN,548
Late Aptian,3876
Ensyan,37
Tyrrhenian,37
Kanense,37
middle Middle,37
WESTPHALIAN D,37
Elton,37
Chokierian,37
Runangan,37
TORTONIAN; VINDOBONIAN,37
Kunda,293
Helderberg,293
Lochkovien?,38
Campanian - Baculites reesidei zone,38
upper Cenomanian,38
Deer Park,38
Warendian,38
Visean / Meramecian,38
Arikareean Lower,38
Late Mississippian,294
Ashbyan,806
Nammalian,39
Pragian to L. Eursian,39
Burdigalian-Langhian,39
Whaingaroan,39
Stage 4,295
Middle Frasnian,807
Early Barremian,1831
VALLESIAN,40
early-middle Miocene (Burdigalian-Serravalian),40
Serravalian,808
Clarendonian?,1320
Virgilian,79656
Cretaceous (early Aptian),41
Daniense,41
Santonian to Lower Campanian,41
Datsonian,41
Claibornian,297
WASATCHIAN; LATE GRAYBULLIAN OR LYSITEAN,42
Mississippian (Visean),42
Upper Wenlock,42
MP 20,42
LATE AQUITANIAN,42
Early Pliocene?,42
Yurakian,42
Pennsylvanian (Westphalian D),42
upper Campanian,42
Lopingian,298
Westphalian B,298
White Rockian,554
Hunderum,43
Valangian,43
Middle Devonian (early Givetian),43
Irenian,43
Coblenzian,43
Pléistocène supérieur,43
Early Triassic,1323
Early Bajocian,2091
Aurelucian,44
late Gedinnian,44
"{ ""geologicAge"" : ""Tertiary, Eocene, Middle (Allenby Formation)""}",44
Stampien,44
Albertan,44
middle Oligocene,44
Scissum,44
lower Middle Smithian,44
Marjumian,300
Cenomian,45
Turneri,45
Late Eifelian,45
Induiense,45
Turonian ?,45
Maduan,45
Silurian,2093
Early Devonian (late Pragian-early Emsian),46
"G2 Member, Upper Wenlock",46
Darriwiliano,46
Riochican,46
Riphean,46
?Turonian,46
Priabonian-Rupelian,46
Ladinien,46
Landon,46
Coniacien-Santonien,46
Llandeilian,302
Lujanian,302
Keila,558
Late Givetian,1326
Longobardian,1582
early Maastrichtian,2862
Katian,7982
Early Miocene,14638
Virgilian?,47
Early Cretaceous (Lower Aptian),47
Ohesaare,47
Laeviuscula,47
Kapitean,47
Helvetian,47
Ulatisian,303
Piacenzien,1583
Stage 4 / Wuliuan,48
To3,48
OIS 7,48
MP 8 + 9,48
Burrellian,304
Liasicus,304
Pleistocene Late,560
Tournaisian,6704
Yprésien,7984
Zanclean,9776
Kungurian,16944
Irdinmanhan,49
Waipipian,49
Martinez,49
WISCONSINAN/HOLOCENE; RANCHOLABREAN,49
LATE TIFFANIAN,305
early,4145
Clarendonian or Hemphillian,50
Hirnantian-Rhuddanian,50
Paleozoic,50
Praguien - Emsien,50
early Early Hemphillian,50
Latest Devonian (Fammenian),50
Tournasian,51
Stage 3,51
Praguien-Emsien,51
Klabava,51
Imlayi,51
"{ ""geologicAge"" : ""Tertiary, Eocene, Middle (UNIT UNNAMED)""}",51
Werra series,51
Autunian,1331
Serpukhovian,2099
Early Eocene / Wasatchian,52
Jiusian,52
Morrowan/Atokan,52
Late Middle,52
Ordian,52
Neoproterozoic,52
Leonard,308
Ruscinian,564
CHADRONIAN,3636
Sinemurian,4148
Bridgerian,19764
Whiterock,53
Plaisancian,53
Jefferson,53
late Eocene,53
Lower Miocene,53
Late Chadronian,53
late Turonian,309
Gisbornian,565
Moscovian / Desmoinesian,51765
L. Asghillian (Kralodvorian),54
Gearyan,54
middle Campanian,54
Refugian?,54
Varangu,54
Late Bajocian,1846
Upper Pennsylvanian,3894
Early Mississippian (Tournaisian),55
Lancian NALMA,55
Pennsylvanian (Morrowan),55
Tertiary,311
Early Oxfordian,1335
TORREJONIAN,56
Aquitanien - Burdigalien,56
Sharamurunian,56
Myachkovian,56
LATE KANSAN; IRVINGTONIAN,824
Barremian,7992
Missourian,41528
Maastrichtian,120632
Freboldi,57
Ufimian,57
Jaani,57
Middle Turonian,1593
Maastrichtian - Baculites grandis Zone,58
lower Middle Cambrian,58
Devonian (Givetian),58
RHAETIAN,58
Ionian,314
Brigantian,5690
Upper-middle Pennsylvanian,59
Bohdalec,59
STAMPIAN,59
middle to late,59
Lower Carboniferous,59
PALEOCENE,59
Acadian,1339
EARLY BRIDGERIAN,2107
Danian,20795
Tongaporutuan,60
Haljala,60
Sandbien?,60
Givétien,316
Pridoli,4412
Osagean,12604
Early-Pleistocene,61
LATE ASTARACIAN; VALLESIAN,61
"{ ""geologicAge"" : ""Pennsylvanian-Permian transition""}",61
