language,reps
en,91137525
en | ru,22086
en-US,36519
en; fi,28
eng,1215168
english,42607
english/japanese,1
en|fr,240491
es,30322342
es | en,59
esp,1
f,1
fi,1036
fi ; en,1
fi; da,12
fi; de,5
fi; en,20
"fluid Specimen, Tissue",1
fr,26490
fr | en,37957
francais,1
french,1
fr|en,315439
german,1
http://www.cch2.org/,1
hu,6
ina,1
inpo,1
is,9120
it,26
jpn|eng,103
la,18
latin,9
nl,4601806
no,1
pe,653
portuguese,1
pt,8461426
pt_BR,120422
re,2
ro,23
ru,142122
russian,4129
shi,2
"shi,havu",3
spanish,3
sv,13
swe,2530
tr,1
un,269
x`,1
