countryCode,reps
"""CU, Comprises a large island of the same name and several smaller islands; area was inhabited by Ciboney, Guanahatabey and Taino (Arawaks) when Columbus arrived in 1492; Spanish colonized in 1511, native people soon died; Africans were brought here as slaves for plantations; official language is Spanish.""",61
"""CZ, The Czech Republic lies in central Europe, occupying the traditional lands of Moravia and Bohemia, plus a southwestern piece of Silesia. It is bounded by Poland to the north, Germany to the west, Slovakia to the east, and Austria to the south. Since at least 4000 BCE it has been settled and farmed. The Celtic Boii, or Bohemian, inhabitants were supplanted by Slavs and Germanic tribes. Slavic Czechs were dominant by the 9th century. The area was part of the PÅ™emysl kingdom from 895 to 1306. It was ruled by the Hapsburgs from 1526. It was integrated into Czechoslovakia after WW I. From 1948 to 1989, a Communist government was in control. The modern republic was created as of January 1, 1993. Major industries include electronics, engineering, food processing, and iron and steel manufacturing. The main language is Czech, though Slovak, Polish, and German are also spoken. The capital city is Prague. It measures some 30,450 square miles in area, and it 2003 estimated population was 10, 290,000.""",4
"""Captain Cook found the island uninhabited in 1774; was British from 1788; served as penal colony in 18th & 19th cen.; was settled by mutineers from HMS Bounty & Pitcairn Islanders; though much of land has been cleared, still is haven for fauna & flora; main languages are English & Tahitian.""",913
"""Comprises 3 islands in strategic location in Mediterranean; inhabited since 3800 BCE; ruled by Carthaginians (8th century BCE), Rome (until 395), Constantinople, Arabs (870) and Normans (1091); ceded to Hospitalers (Knights of St. John) in 1530; British by 1802; official languages are Maltese (a Semitic language of the Southern Central group) and English.""",5
"""Comprises east section of Hispaniola island (west section is Haiti) and smaller islands; area was inhabited by Caribs, who had conquered Arawaks, when Columbus arrived in 1492; part of Spanish colony of Hispaniola through 17th century; held by French 1785-1809; official language is Spanish.""",2
"""Comprises western Samoa Islands; area was settled by Polynesians (probably from Tonga) of lapita tradition by 1000 BCE; large societies developed by 300 BCE; controlled by Germany, Britain, and the United States in the late 19th century; controlled by New Zealand after WW I; official languages are Samoan (a Polynesian dialect) and English.""",614
"""Consists of 5 scattered island groups, mostly volcanic, mountainous & ringed by coral reefs; settled by Polynesians; explored by Bougainville 1766; colonized by French missionaries late 18th cen., all islands under French control by late 19th cen.; official language is French, though local languages are widely spoken.""",48
"""Currently a consituent unit of the United Kingdom, Northern Ireland comprises the northeastern part of Ireland island, the core of the historic province of Ulster. It was ruled by the O'Neills of Tyrone in the 16th century. When the rest of Ireland demanded home rule in the late 19th century, the Protestant majority in Northern Ireland remained loyal to United Kingdom.""",1
"""DE, The area of north-central Europe occupied by what is now modern Germany measures some 137,828 square miles in size. Teutons, Celts, Slavs, and Balts inhabited it by the first century BCE. Part of the area was ruled by Romans, then Carolingians. Through the centuries, it was often broken into various states based on ethnic groups including the Alemanni, Bavarians, Upper and Lower Franks, Thuringians, and Frisians. It undertook expansion during the 19th to mid-20th centuries. The official language is German, although Low German is still spoken in the rural North. The 2004 estimated population was 82,633,200.""",65
"""DK, The nation of Denmark occupies the Jutland Peninsula, extending northwards from the center of western Europe, and some 400 islands to the east of it. It is bounded by the North Sea to the west, the Baltic Sea to the east, Germany to the south, and the strait between it and Norway and Sweden to the north. It measures some 16,639 square miles in area, not counting the independent territories of the Faeroe Islands and Greenland. The area was a seat of changing cultures in Stone, Bronze and Iron Ages. From the ninth to the eleventh centuries, Danes took part in the Viking raiding, trading, and colonizing expeditions that shaped much of Europe. The kingdom of Denmark ruled much of the Baltic Sea in the 12th and 13th centuries. The boundaries of the kingdom changed often between the 14th and19th centuries, most recently in 1920. The late 19th century saw a time of depression in which Danish farmers established cooperatives and the rural population became highly literature as a result of the establishment of folk high schools. The Danish tradition of social cooperation and humane governmental institutions began around this time. Denmark was occupied militarily by Germany in World War II, but resisted with some success until the local government fell in 1943; organized resistance continued however until freedom in May of 1945. The official language is Danish, a derivative of Old Scandinavian, though English and German are also spoken. Agriculture is an important economic activity, with 60% of the land under intense cultivation, about half of that devoted to grains such as wheat and barley. The raising of sugar beets and of domestic livestock such as dairy cattle, poultry, and swine are also very important. Fishing is done in the North and Baltic Seas as well as in foreign waters far abroad. Mineral exploitation consists largely of the mining of granite, kaolin, and various clays used in the production of building materials. The major manufactures are of electronic equipment, paper, machinery and equipment, processed foods, footwear, clothing, and furniture. The capital city is Copenhagen on the island of Zeeland. The 2004 estimated population was 5,405,600.""",66
"""EC, Area was inhabited by several Amerindian peoples; most early cultures were agrarian; established Caras kingdom with capital at Quito; conquered by the Incas of Peru after 1450; Spanish invasion began in 1534; part of Gran Colombia 1822-1830; official language is Spanish, though Quechua and other Amerindian tongues are also spoken.""",15
"""EG, Area of modern Egypt comprises the core of the ancient kingdom of Egypt; area was home to Neolithic cultures by 6000 BCE; Thinite dynasty united Upper and Lower Egypt ca. 3100 BCE; important Hellenistic center; part of Roman Empire until Arab conquest in 640, then Mameluk and Ottoman; official language is Arabic, though English and French are also widely spoken.""",1
"""ES, Area inhabited by Neanderthals 20,000 BCE, Homo Sapiens 13,000 BCE; growth of AlmerÃ­a culture 3000 BCE, El Argar 2000 BCE, and Tartessus 1000 BCE; colonized by Phoenicians, Greeks, Romans, and Visigoths; Muslim conquest in the 8th century; global expansion 15th-19th centurries; official language is Spanish, though Catalan, Galician, and Basque are also spoken.""",37
"""ET, Region was part of an ancient nation, dominated by Egypt and the Sabaeans; was Christian enclave isolated by Muslim conquest of adjacent area; European contact 15th century; modern Ethiopia is defined as the area conquered Theodore II in 1855; civil unrest 1980-1990s; official language is Amharic, though Tigrinya, Orominga, Arabic and English are also spoken.""",2
"""FI, Area inhabited by the 8th millenium BCE; two Stone Age cultures were here, both probably Finno-Ugrian. Baltic Finns immigrated and pushed Lapps north in the early centuries CE; clans established by the 8th century. Christians arrived in the 11th century. Ruled by Sweden 1157-1809, then by Russia. Official languages are Finnish and Swedish, though Russian and Lappish (Finno-Ugric) are also spoken.""",8
"""FJ, Comprises over 800 islands; area was settled by Austronesian-speaking people in 2nd millennium BCE; development of pottery by 1300 BCE; sighted by Dutch Tasman 1643, visited by British in 18th century; was haven for escaped convicts from Australia by 1804; official language is English, though most speak Bauan or Hindustani.""",1522
"""FR, Area inhabited by Lower Paleolithic; Celt-speaking Gauls dominated by 5th century BCE; part of Roman Empire 125 BCE-5th century, then under Frankish influence; lost land to England 12th-16th centuries; monarchy fell in Revolution 1792; recurring expansion 16-19th centuries; official language is French, though ProvenÃ§al, Breton, Flemish, Catalan, Corsican, Basque, and Germanic regional patois are also spoken.""",309
"""FRA-FR;GER""",1
"""FRA-FR;SPA-SP""",37
"""Former southwest republic of Yugoslavia; inhabitants speak Serbo-Croatian; economy based on oil drilling, mining, forestry, and cottage industries; takes its name from Italian Monte Nero (Black Mountain); suffered centuries of warfare with Turks.""",1
"""GB, Area was inhabited by ancient Celtic-speaking peoples; invaded by Rome 55 BCE, Romans withdrew 410 CE; invaded by Angles, Saxons, and Jutes, Danes and Normans; various parts have been united by England since the 11th century; was core of large empire 18th-20th century; official language is English, though Scottish Gaelic and Welsh are also spoken.""",3
"""GER;POL""",123
"""GER;POL;CZE-CZ""",5
"""GR, Modern unitary multiparty republic with one legislative house. Official language is Greek, though English and French are also widely spoken. To refer specifically to the ancient confederation of Greece and its colonies, use """"Greece (ancient)""""; for historical Greece in general, use """"Greece (historical).""""""",16
"""GT, Area was inhabited by agriculturists by 2500 BCE; home to great Mayan civilization that flourished until 10th century; conquistador Alvarado subjugated native peoples 1523-1524; 16th century captaincy of same name included larger area than present nation; official language is Spanish, though much of population speaks native Amerindian dialects.""",2
"""GY, Area was inhabited by Amerindians of whom little is known; sighted by Columbus 1498; settled by Dutch early 17th century; occupied by British during Napoleonic Wars; many Africans came as slaves; East Indians and Chinese came as indentured servants 19th century; official language is English, though Hindi, Urdu, and local dialects are also spoken.""",1
"""HN, Area was part of Mayan civilization that flourished from 1st mill. BCE; population diminished ca. 800 CE; charted by Columbus 1502; Spanish defeated chief Lempira's forces in 1539 and native peoples were decimated; part of captaincy of Guatemala after 1570; official language is Spanish, though English and native Indian dialects are also widely spoken.""",28
"""HR, Area was part of ancient Pannonia; settled by Slavic Croats from Ukraine 7th century CE; formed kingdom in 10th century; ruled by Hungary 1091-1526, then by Turks until late 17th century; was part of Austria-Hungary; was part of Yugoslavia from 1929; official language is Croatian.""",4
"""HT, Comprises western part of Hispaniola and some smaller islands; was inhabited by Arawaks when Spaniards settled here; most Arawaks were killed by late 16th century; area was used by French pirates; French established plantations, brought Africans as slaves 17th century; official languages are Haitian Creole and French.""",2
"""HU, Agriculture developed by 4th millennium BCE; part of Roman Pannonia and Dacia, inhabited by Illyrians and Celts; held by Avars 7th-9th century, then Charlemagne; Finno-Ugrian Magyars invaded, defeated by Otto I 955; held by Mongols and Turks; Austria-Hungary formed 1867; official language is Magyar (Hungarian), though German, Slovak, Romanian and other languages are also spoken. As of 2014, Hungary is divided into 19 counties, 23 """"urban counties"""" which are also primary subdivisions, and 1 """"special city"""" (Budapest).""",35
"""ID, Settled by Proto-Malay peoples of Asia from Neolithic time to 1000 BCE; relations with China & India from 1st century; powerful kingdoms ruled from 9th century; Islam arrived in 13th century; Dutch visited 1595, competed with British & French for land 17-19th century; official language is Bahasa Indonesia (a form of Malay), though English, Dutch, and Javanese are also widely spoken.""",262
"""IL, Area inhabited 100,000 BCE; farming and herding by 10,000 BCE; ruled by Hebrews, Egyptians, Persians, Romans, and Ottomans; shares name with kingdom existing 1025-933 BCE; much strife between Israel and neighbors since 1948; holds territory from the 1967 """"Six Day War""""; official languages are Hebrew and Arabic.""",1
"""IN, Shares name and history with India subcontinent; Alexander invaded in 327 BCE; partially united at various times, including under Muarya and Gupta dynasties, Delhi sultanate, Bahmani dynasty, Vijayanagar, Moguls, and Marathas; European domination began in the 18th century; English is used for national, political, and commercial communication; HindÄ« and several other native languages are considered the """"official"""" languages; dozens of non-""""official"""" local languages are also spoken.""",89
"""IND-KT;IND-KE""",1
"""IQ, Area was center of civilization from 10th mill. BCE; Sumerians arrived 3500 BCE; Akkadian empire developed 2350 BCE, then Babylonian (18th century BCE) and Assyrian (7th century BCE); was invaded by Persians, Alexander, Romans, Byzantines, Arabs (7th century) and Ottomans; official language is Arabic, though English is also widely spoken; Kurdish is official language in Kurdish Autonomous Region.""",5
"""IS, Comprises the island of the same name and surrounding islands, all of relatively recent geological origin. Norwegian farming and fishing communities were established here in the 9th century, during the Viking age of exploration, by a mixed Norse and Celtic population. Noted as the world's oldest democracy; a national assembly (Althing) was established in 930. It united with Norway in 1262, with Denmark in 1380. Was an independent kingdom in union with Denmark in 1918, it ended in 1944. The official language is Icelandic.""",1
"""IT, Inhabited since 50,000 BCE; settled by Indo-Europeans 1850 BCE, Etruscans 1600 BCE, and Greeks 800 BCE; united by Romans 270 BCE; independent states rose after fall of Holy Roman Empire, notably Naples, Milan, Florence, Venice and papacy; reunited in the 19th century; official language is Italian, though significant minorities speak German, French, and Slovene.""",121
"""Inhabited by small, independent tribes of Boruca, Carib, Chorotega, Corobici and Nahua when Columbus landed in 1502; after many battles with native peoples, conquered by Spain in 1563; part of Nicaraguan intendency in 18th century; part of Mexican Empire 1821; official language is Spanish, though a Jamaican dialect of English is also spoken in some places.""",10
"""JM, Comprises island of the same name and surround islets; originally inhabited by Arawaks, who migrated from other islands ca. 700 CE; Spanish colonized 16th century, brought West Africans as slaves for sugar plantations 17th century; British acquired area 1670; Maroons (organized runaway slaves) rebelled 17th-18th centuries; official language is English, though a Jamaican English creole, Spanish, French and African languages are also spoken.""",86
"""JP, Comprises the Japan island chain, including four main islands (from north to south these are Hokkaido, Honshu, Shikoku, and Kyushu) and numerous smaller islands. Early inhabitants, Ainu, were driven north by Manchu-Korean and Malayan invaders; imperial line was founded 7th century BCE; adopted handwriting and much of Chinese culture in the 6th-9th centuries. The emperor was controlled by Shogunates 12th-19th centuries; European contact 16th-19th centuries. The official language is Japanese.""",120
"""KE, Especially noted for populations of animals and early hominid sites; Masai invaded in 18th century; area was traversed by caravans of Arabs and Swahili-speakers searching for ivory; visited by British in 19th century; was under British control until independence; official languages are English and Swahili, though numerous other tribal languages are also spoken.""",309
"""KZ, Area was inhabited by Turkish tribes at time of Mongol takeover by Golden Horde in the 13th century; came under Russian rule in 18th century; was part of USSR from 1936; official language is Kazakh, but Russian is widely spoken too.""",1
"""LV, Inhabited by prehistoric Finno-Ugric tribes; traded with Rome and German lands 1st-6th century CE; settled by Baltic Latgallians; battled expanding Scandinavian and Slavic tribes 8th-11th centuries; ruled by Livonia (13th century-1561), Poland, Germany, and Russia; official language is Latvian.""",1
"""Largest & most important of Cook Islands; volcanic; Avarua (regional capital) located on N coast; exports copra, oranges, bananas; claimed by Germany 1880-1889; annexed by Britain 1889; transferred to New Zealand 1901.""",9
"""Largest French island in the south Pacific; very mountainous, all villages are on the coast.""",101
"""Largest island in world, mostly covered by ice sheet; Aleut settlement began 3000 BCe; Sarqaq (1400 BCE) and Dorset (700 BCE) cultures developed; Norwegian (Icelander) Erik the Red settled in 982; bishop's seat established 1125; resettled by Danes 18th century; spoken languages are Danish, Danis, and Aleut (Greenlandic) dialects.""",1
"""MA, Area of modern Morocco was the Roman province of Mauretania. It was successively invaded by Muslims, Berbers, Spain, Portugal, England and France betweeb the 7th and 20th centuries. It was split between French and Spanish Morocco until the mid-20th century. The West Sahara and Algerian borders are disputed. The official language is Arabic, although several Berber dialects and French are also spoken.""",1
"""MN, It shares its history with general Mongolia region. It was home to Neolithic cultures, and the center of the Hunnic empire in the 3rd century BCE. It was ruled by Turks from the 4th century CE. The Mongol Empire was established by Genghis Khan in the 13th cen., it was ruled by the Manchus 17-19th centuries. It was disputed by China and Russia in the 20th century. The official language is Khalkha Mongolian, though Turkic, Russian, and Chinese are also spoken.""",1
"""MX, Center of great civilizations since first mill. BCE, including Olmec, Zapotec, Mixtec, Toltec, Mayan, and Aztec; Spain conquered the area in 16th century; was hub of viceroyalty of New Spain; had territorial battles with USA, France, Britain and Spain in 19th century; official language is Spanish.""",351
"""MY, Area settled by 4000 BCE, had significant Stone and Bronze Age cultures; Indian influence by 2nd century BCE, Chinese and Islamic from 1400; Portuguese and Dutch arrived 16-17th century; invasions from Sumatra and Celebes 17-18th century; British and Indian control 19th century; official language is Bahasa Malaysia (Malay), though Chinese, English, and Tamil are also spoken.""",384
"""NC, Main island of Nouvelle-CalÃ©donie external territory of France; long, narrow & mountainous.@en""",893
"""NCA;SCA""",1
"""NO, Area inhabited by 5000 BCE; new migrants arrived 3000 BCE; contact with Roman-occupied Gaul 1st century; ruled by chieftans from 4th century, states established 9th century; Vikings colonized Greenland and North America 9-11th centuries; joined with Sweden and Denmark 1389-1814; official language is Norwegian, which is in use in 2 forms, BokmÃ¥l Norwegian, and Nynorsk Norwegian.""",32
"""NP, Landlocked region isolated by Himalayas; cultural and religious center by the 4th century; under medieval Buddhist and Hindu Rajput dynasties of India; Gurkha king overthrew ruling Mallas in the 18th century; expansion into India caused war with Britain in the early 19th century; official language is Nepalese, though English and many indigenous languages are also spoken.""",65
"""NU, Coral island; internally self-governing, but New Zealand controls defense and foreign affairs; charted in 1774 by Cook, who named it Savage Island because he received an unfriendly reception from native Polynesians; was part of Cook Islands until 1922; official language is English, though a Polynesian dialect is also widely spoken.""",329
"""NZN;NZS""",2
"""Nation is transversed by Great Rift Valley; settled by forebears of Twa and Fula 8000 BCE; Bantu arrived ca. 100; states founded by Bantu, Ngonde and Chikulamayembe 15th-18th centuries; visited by Livingstone 1891; anti-slavery Scottish missions founded 19th century; official language is English, national language is Chichewa, and Tombuka is also spoken.""",1
"""Original inhabitants of area probably were Khoisan-speaking hunters/gathers; large Bantu-speaking migration ca. 1000; home of 2 important Bantu kingdoms; settled by Portuguese 15th-16th centuries; exploited in slave trade; frontiers extended inland 19th century; official language is Portuguese, but Bantu dialects are also spoken.""",1
"""PA, Inhabited by Cuna, GuaymÃ­ & ChocÃ³ peoples when Spaniards arrived in 16th century; native population was decimated, Africans were brought here as slaves; Scottish company attempted colony 1698; part of viceroyalties of Peru and New Granada 18th-19th centuries; official language is Spanish, though English is a common second language.""",34
"""PE, Area was inhabited by 8000 BCE; advanced cultures existed by 13th century; seat of Incan empire established ca. 1230, conquest of neighbors began in 1438; Spanish arrived in 1524, invaded Incan area and killed king; area remained loyal to Spain into the 19th century; official languages are Spanish and Quechua, though AymarÃ¡ is also spoken.""",115
"""PG, Occupies eastern half of New Guinea island; largely tropical with thick forests and exotic flora and fauna; inhabited by many tribes representing hundreds of linguistic groups; sighted by Portuguese in 16th century; claimed by Britain and Australia in the 19th century; official language is English, though pidgin English and many indigenous languages are also spoken.""",2537
"""PH, Comprises over 7000 islands; area first settled by Negritos (a pygmy group) by 30,000 BCE; later settled by Malayans; Islam introduced by Arabs 14th century; Spanish conquest began 1564, endured conflict with Moros of South and Chinese; revolution 1896-1899; official languages are Pilipino and English.""",225
"""PK, Area was inhabited by 3500 BCE; urban cultures developed in Indus Valley by late 4th millennium BCE; Aryan-speakers immigrated 2nd millennium BCE; Hindu culture dominated by 4th century CE; ruled by Muslims 8th-16th centuries, then by Mughals; part of British India 1857-1947; official languages are Urdu and English, though other languages including Punjabi, Sindhi, Pushtu, and Baluchi are spoken.""",2
"""PL, Poland is a republic of northeastern Europe, bordered on the east by Russia, Lithuania, Belarus, and Ukraine, on the west by Germany, on the south by the Czech Republic and Slovakia, and on the north by the Baltic Sea. However, its boundaries have changed many times over the centuries. It was settled by Slavic tribes in the 2nd millennium BCE, and over time saw incursions by Ostrogoths, Slavs, Huns and Avars. Many small states formed in the 9th century, until a united in kingdom emerged in 1025. It was part of the Polish-Lithuanian empire in the 15 and 16th centuries. It was subsequently invaded in turn by Tartars, Ottomans and Russians. Its territory shrank as it was overrun and partitioned by various European powers between the 18th and 20th centuries. Following World War II, it was dominated by the USSR and had a Communist government, which collapsed in 1989, to be followed by a Western-style democracy. The official language is Polish.""",25
"""POR;SPA-SP""",3
"""PT, Portugal is a nation located on the Atlantic coast of the Iberian Peninsula, bordered on the east and north by Spain and on the west and south by the Atlantic Ocean. Inhabited by 500,000 BCE; distinct cultures began to emerge by the 6th millennium. BCE. Celts, later called Lusitanians, invaded in the 1st millennium BCE. It was ruled by Romans by the 2nd century BCE, then was occupied successively by the Germanic Suebi, the Visigoths in the 5th century CE, and the Moors by 711. It became a separate kingdom in the 12th century, and began expanding globally with colonies in South America, Africa, and the Far East from the 14th to the 17th centuries. From 1580 to 1640 it was ruled by Spain. In 1640 the House of BraganÃ§a reestablished a native Portuguese kingdom that lasted until 1910, though it suffered much turbulence, especially during the period of the Napoleonic wars. A republic was established in 1910, since when the nation has undergone rule by various dictators. A constitution and free elections were established in 1976. It joined the European Union in 1986.""",57
"""PY, Original inhabitants of area were GuaranÃ­-speaking Amerindians, who were seminomadic and practiced agriculture, hunting and fishing; Spanish arrived in early 16th century; Jesuits had great power 1606-1767; part of viceroyalty RÃ­o de la Plata 1776-1810; official language is Spanish.""",2
"""Powerful and populous pre-Spanish state; visited by Magellan 1521; refuge for pirates; powerful Muslim sultanate 16th century, name """"Borneo"""" used by Europeans for whole island; British control 19th-20th centuries; rejected membership in Federation of Malaysia 1963; official language is Malay, though English is widely spoken and used in official documents, and other non-Malay languages are spoken in the interior.""",1
"""Pre-Spanish inhabitants were nomadic tribes including Diaguita, Picunche, Pehunche, Huilliche and Cunco, dominated by the Araucanians; Spanish penetration began in 1536, but attempt to conquer Araucano continued through 19th century; Basques arrived 18th century; official language is Spanish.""",1
"""Region of modern Libya comprises ancient Tripoli, Cyrenaica, and Fezzan; successively under control of Phoenicians, Greeks, Romans, Vandals, and Byzantines; Arabs ruled from the 7th century, Turks 16th-20th centuries; named for tribe living in Cyrenaica in 2nd millenium BCE; official language is Arabic, though Italian and English are also widely understood in most cities. The national official long form name of the country is Al JamÄhÄrÄ«yah al Ê»ArabÄ«yah al LÄ«bÄ«yah ash ShaÊ»bÄ«yah al IshtirÄkÄ«yah al Ê»UzÌ§mÃ¡. Name officially changed in 2011. In January of 2013, the official name was changed to State of Libya.""",1
"""SB, Shares history with the islands of the same name. The islands were settled by 2000 BCE, and evidence of a Lapita culture on the islands dates to 1000 BCE. They were sighted by the Spanish in 1568, and later visited by the French in 1768. Later, the islands were settled by missionaries and traders, and divided between Britain and Germany in the 19th century. After WWI, the Solomon Islands were ruled by Australia, and in 1976, independence was gained. The official language is English, though pidgin English is widely spoken.""",327
"""SE, European hunters arrived here 12,000 BCE; settled by Svear, Lapps, Herules, Danes, and Goths first millenium BCE; controlled eastern trade route to Byzantium and Baghdad during Viking Era, colonized Russia; united with Denmark and Norway 14th-16th centuries, with Norway 19th century; official language is Swedish, though Finnish is also spoken.""",181
"""SG, Comprises Singapore Island and 50 islets; inhabited by fishermen and pirates, then part of Sumatran Empire of Åšrivijaya until 14th century; successively Javanese-, Siamese- and Malaccan-ruled; European control from 16th century; seat of Straits Settlements 1826; official languages are English, Malay, Chinese, and Tamil.""",50
"""SK, Inhabited by agriculturists by 5th millennium BCE; settled by Illyrian, Celtic and Germanic tribes from 1st century CE; Slavic Slovaks (akin to Czechs) entered from Silesia 6th century; ruled by Hungary 11th century, later by Hapsburgs; part of Czechoslovakia after WW I; main language is Slovak, though Czech, Hungarian and Ukrainian are also spoken.""",5
"""SWE;FIN""",1
"""SWE;FIN;NOR""",79
