islandGroup,reps
Celebes Island,195
Celebes Islands,8
Celebes-Isl,533
Cenderawasih Bay. West Papua,55
Central Auckland Prov.,1
Central Dist.,1
Central Pacific Ocean,4
Central Prov.,2513
Central Visayas,962
Central. Loo Choo Islands,6
Ceram Is.,21
Ceram Island,1
Ceram-Isl,2
Cerbicale Ids.,2
Cerf Is.,1
Ceylon Island,38
Ceylon-Isl,1
Chagos,1
Chagos Arch.,115
Chagos Archipel,23
Chagos Archipelago,1159
Chain Islands,5
Champagay,1
Chandeleur Islands,13
Chandranighar Prov.,1
Channel,3
Channel Ids.,1503
Channel Is.,129
Channel Islands,15820
Channel Islands [United Kingdom],4
Channel Islands.,7
Channel Islands?,5
Charlotte Islands,1
Chatham Islands,484
Chatham Islands - Star Keys/Motuhope,1
Cheju-do Prov.,2
Chelbacheb,130
Chelbacheb (Rock) Islands,11
Chelbacheb Is.,81
Chelbacheb Islands,1
Chelbacheb [Rock] Is.,5
Chelbacheb [Rock] Islands,244
Chester Islets,23
Chesterfield Islands,404
Cheung Chau Island,5
Chia-i Dist.,2
Chiachi Islands,1
Chichagof Is.,1
Chichi-Isl,2
Chichi-jima Island,11
Chichi-jima island of Ogasawara islands,1
Chichijima,1
Chichijima Island,116
Chichijima Island of Ogasawara Islands,83
Chichijima island,11
Chichijima island of Ogasawa islands,3
Chichijima-Isl,169
Chicken,1
Chiloe Archipelago,94
Chiloé Archipelago,120
Chimbu (?) Prov.,5
Chimbu Dist.,51
Chimbu Prov.,769
China,59
Chincha,5
Chincha Ids.,24
Chincha Islands,6
Chiri Bougainville Is. Solomon Islands,2
Chiringa Island,304
Chiswell Islands,11
Choiseul Island,1
Cholla-bukto Prov.,1
Cholla-pukto Prov.,1
Chonos Islands,4
Chou-shan Ids.,31
Christmas Is.,2
Christmas Island,1
Chugach Islands,4
Chungchong-namdo,1
Chuuk,170
Chuuk Atoll,47
Chuuk Ids.,27
Chuuk Island,31
Chuuk Islands,345
Chuuk State,180
Cies Islands,2
Clipperton I.,1
Clipperton Island,19
Coco Islands,1
Cocos,2
Cocos (Keeling) Is.,6
Cocos (Keeling) Islands,31
Cocos (Keeling) Islands [Australia],2
Cocos Ids.,5
Cocos Island,2
Cocos Islands,66
Cocos Keeling Islands,8
Cocos island,1
Cocos-Keeling Islands,54
Colo-north Prov.,1
Commander Is.,23
Commander Islands,1124
Commander Islands [Komandorskiye Islands],4
Commodore Islands,2
Commonwealth of Northern Mariana Islands,1
Commonwealth of the Northern Mariana Islands,216
Comores,228
Comoro,1
Comoro Archipelago,1
Comoro Ids.,31
Comoro Is,1
Comoro Is.,742
Comoro Islands,121
Comoros,46
Comoros Archipelago,108
Comoros Islands,692
Comorro Is,1
Conception Bank,27
Conception-Isl,1
Connecticut,1
Conteras Is.,54
Contreras,1
Contreras Islands,1
Cook,2
Cook Archipelago,1
Cook Ids.,253
Cook Islands,889
Cook Islands (Southern Group),1
Cook Islands [New Zealand],280
Coral Sea,71
Coral Sea Islands [Australia],2
Coral Triangle,18742
Coralls Is.,1
Cordoba Prov.,19
Core Banks,9
Corn Islands,48
Cornwallis Islands,1
Coroh Is.,4
Coronado Ids.,202
Coronado Islands,7
Coronado-Isl,1
Coronados,246
Coronados Islands,7
Coror Island,2
Corscia (Corse),21
Corsica,5
Corsica Island,42
Cortes Bank,3
Cory Island,1
Cosmoledo Group,25
Cosmoledo Is.,12
Costa Rica,23
Cotabato Prov.,57
Cottel Island,2
Cousin Is.,15
Cozumel,1
Cozumel Island,1
Credner Islands,1
Crid Islands,9
Cristobal Is.,6
Cross Islands,5
Crown Prince Islands,1
Crozet Is.,1
Crozet Island,1
Crozet Islands,107
Crozet Islands (Îles Crozet or Archipel Crozet),2
Cuba,35
Cuba Island,12
Cuba-Isl,1
Culebra Islands,8
Cumberland,2
Cumberland Islands,11
"Cumbraes, The",30
Cumbraes. The,3
Cuta Bali Is.,1
Cuyo Archipelago,56
Cuyo Ids.,10
Cuyo Is.,1
Cuyo Islands,1123
Cuzco,1
Cyclades,63
Cyclades Ids.,35
Cyclades Islands,22
Cyclades Islands (Kykladen),1
Cyprus Island,3
Côn So?n,3
Côn Đảo Archipelago,1
D'Entrecasteaux Group,6
D'Entrecasteaux Is,2
D'Entrecasteaux Is.,3
D'Entrecasteaux Islands,325
D'entrecasteaux Is.,3
DIST CENTRAL,2
Dagelet Island,1
Dahla Archipelago,1
Dahlak Archipelago,30
Daikokujima-Isl,43
Daily Islands,1
Daito Islands,98
Damar Is.,13
Dampier Archipelago,89
Danger Islands,78
Danish West Indies,2
Danjo-gunto Islands,1
Davao Oriental Prov.,2
Davao Prov.,92
Davao del Norte Prov.,6
De Long Group,1
Debenham Islands,34
Deboyne  Islands,1
Deboyne Is.,2
Deboyne Islands,5
Deer Islands,9
Denigomodu District,4
Dentrecasteaux Islands,39
Dependencias Federales,3
Desolation Islands,1
Desventuradas Islands,11
Desventuradas Islands [Chile],6
Didinga Mt,1
Diego Garcia,6
Diego Ramirez,1
Digges Islands,1
Dimaniyat Islands,22
Dinagat Is.,50
Dinigat Group,20
Diomede Islands,54
Discovery Islands,1
Disko Island,1
District of Columbia,1
Djakarta Java Is.,3
Djibouti,58
Dobo Wamar Is. Aru Isles.,1
Dodecanese,315
Dodecanese Is.,1
Dodecanese Islands,19
Dog,5
Dominica Island,12
Dougojima-Isl,25
Dougoshima-Isl,1
Dry Tortugas,2436
Dry Tortugas (Tortuga Islands),1
Dry Tortugas Ids.,2
Dry Tortugas Islands,94
Duck Islands,2
Duff Islands,779
Duke of Gloucester Group,11
Duke of Kirk Group,113
Duke of York Group,3
Duke of York Is.,4
Duke of York Islands,69
Duncan Island,1
Dundas Islands,1
Dutch West Indies,1
E or W New Britain Prov.,1
E side,3
EAST INDIES,1
Eagle Is.,1
East Caroline Islands,9
East Falkland Is.,94
East Falkland Islands,2
East Frisian Islands,41
East Mirage Islands,1
East New Britain Prov.,615
East Sepik Prov.,948
East Tropical Oceania,12
Easter Island,540
Easter Islands,3
Eastern Highlands Prov.,186
Eastern Indian Ocean,1
Eastern Visayas,550
Eboshi-Isl,5
Edisto-Isl,1
Eestern,1
"Eiao Island, Marquesas Islands",1
Elba Island,1
Elba-Isl,1
Eleuthera Island,13
Eleuthera islands,14
Elizabeth Ids.,2
Elizabeth Islands,937
Ellice,1
Ellice Group,73
Ellice Islands,132
Ellice Islands Pacific,4
Ellice Islands [Tuvalu],9
Emily Group,3
Enderby Island,28
Enewetak,1
Enewetak Atoll,611
Enga Prov.,5
Engana Is.,2
Engano Is.,5
Enggano Is.,4
England,2
Eniwetok Atoll,1
Enoshima-Isl,18
Eolian,2
Eolische Eilanden,7
Epo Mani Weyland Mts. W.Irian,1
Erowan Palawan Is.,3
Erronan,2
Espiritu Santo Ids.,28
Etorofutou Island,2
Eturup-Isl,72
Europe,117
Exuma,20
Exuma Cays,700
"Exuma Cays, Bahama Islands",4
Exuma Chain,5
Exuma Is.,1
Exuma Islands,4
FAIRFIELD CO,1
Fadiffolu Atoll,18
Faeroe Islands,63
Fair Island,1
Fakfak,5
Falkland,8
Falkland Is,25
Falkland Island,1
Falkland Islands,7489
Falkland Islands - The Jason Islands,1
Falkland Islands British,236
Falkland Islands Malvinas,34
Falkland islands malvinas,49
Falklands,9
Falklands Islands,31
Farallon Ids.,144
Farallon Is.,28
Farallon Islands,746
Farallon Islands.,1
Farne Islands,25
Faroe,102
Faroe Is,1
Faroe Islands,610
Farquhar Group,108
Farquhar Islands,2
Faukland Isalnds,4
Faulkland Islands,5
Faï-Tsi-Long,2
Fehmarn,1
Feni [Anir] Islands,2
Fernando De Noronha Island [Brazil],3
Fernando de Noronha,12
Fernando de Noronha Archipelago,4
Feys Island,3
Fidschiinseln,6
Fiji,6106
Fiji Ids.,14
Fiji Island,1
Fiji Islands,5189
Filadu Tiladummati Atoll,1
Finlayson Islands,20
Firth of Clyde,94
Firth of Clyde Islands,76
Firth of Forth,34
Firth of Tay,1
Fischot Islands,2
Five Islands,18
Flores Is.,106
Flores Is. Rufeng,4
Flores Island,2
Florida,2
Florida Group,1
Florida Is.,74
Florida Island Group,1
Florida Islands,681
Florida Keys,6228
Florida keys,3
Flowers Island,4
Fox Ids.,3
Fox Islands,895
Franz Josef Land,10
Fraser Island,2
Fraser-Isl,4
Fraulep Island,2
French Frigate Shoals,365
French Polynesia,20
French West Indies,6
Friendly Islands,1
Friesian Islands,1
Frioul,15
Frioul archipelago,1
Frisian Islands,3792
Fujeirah,28
Fukue Island in Goto Islands,12
Fukuejima Island,6
"Fukuejima Island, Goto Islands",3
Fukuejima-Isl,36
Funafuti Islands,6
Fundy Islands,51
Furneaux Group,2
Futuna Is.,2
Fuyushima,7
Fuyushima-Isl,6
GALAPAGOS ISLANDS,1
GBR,76
GREATER ANTILLES,20
GREATER ANTILLIES,3
GUIRACOBA,1
Galapagos,1613
Galapagos Archipelago,4416
Galapagos Ids.,5157
Galapagos Is.,635
Galapagos Island,8
Galapagos Islands,2379
Galapagos Islands [Ecuador],157
Galapagos islands,14
Galpagos,1
Galápagos,7229
Galápagos Archipelago,40
Galápagos Is.,3826
Galápagos Islands,432
Galápagos islands,1
Gambier Ids.,12
Gambier Is.,4
Gambier Islands,1116
Ganghwa-do Island,2
Gannet Islands,2
Gardner Atoll,1
Garry Islands,1
Garvellachs,1
Gebe Is.,1
Geer Islets,1
Gela Is.,14
Gela Is. Solomon Islands.,1
Georgia,7
Georgian Bay Is.,2
Georgian Bay Islands,28
Geruma Island of Ryukyu Islands,1
Geruma-jima Island,23
Gibson Group,5
Gilbert,44
Gilbert Group,3
Gilbert Is.,312
Gilbert Islands,1321
Gili Islands,4
Gillöga Skärgård,1
Gisser,2
Gizo Island,6
Glorieuses Islands,34
Glovers Reef Atoll,10
Goilala,13
Gold Coast,9
"Gold Coast, Africa",2
Gombe,1
Goram-Eilanden,2
Gordon Group,1
Gordon Islands,24
Goto Islands,3
Goto Retto Ids.,4
Goto-Islands,4
Gotō Islands,1
Gove,7
Grand Banks,4
Grand Cayman,5
Grand Cayman Islands,1
Grand Manan Archipelago,63
Grand Manan Islands,82
Grande Comore Comoro Islands,2
"Grande Comore, Maheli",3
Granitic Seychelles,5
Great Astrolabe Reef,3
Great Bahama Bank,26
Great Barrier Reef,999
Great Barrier Reef Is.,4
Great Britain,255
Great Britain-Isl,1
Great Palm Islands,1
Greater Antilles,165095
Greater Sunda Ids.,33
Greater Sunda Islands,11326
Greater Sundas,33
Greek islands,493
Green Islands,70
Greenland,10
Grenada Island,267
Grenadine Islands,193
Grenadines,329
Grey Islands,3
Groote Eylandt,1
Grupo de Pescadores,2
Grupo de Pescadores (Pescadores Islands),1
Grupo de Pescadores [Pescadores Islands],1
Guadalcana Is.,2
Guadalcanal,7
Guadalcanal Group,267
Guadalcanal Is.,24
Guadalkanal Is.,7
Guadeloupe,440
Guam,4
Guam Is.,1
Guam Island,45
"Guam Island, Mariana Islands",1
Guernsey,7
Guinea,1
Guinea Bissau,39
Gulf Is.,1
Gulf Islands,23
Gulf Prov.,273
Gulf of Aden,2
Gulf of Alaska,1
Gulf of Aqaba,833
Gulf of California,20
Gulf of California Islands,1459
Gulf of Carpentaria,1
Gulf of Guinea Islands,95
Gulf of Mexico,3
Gulf of Oman,32
Gulf of Papua,1
Gulf of Suez,5
Gulf of Thailand,4
HAWAIIAN IS,1
HAWAIIAN ISLANDS,2
HOKKAIDO,377
HONSHU,34707
HONSHU.,197
Ha'apai,4
Ha'apai Group,1856
Ha'apai Islands,1
Ha`apai Ids.,12
Haapai Group,5
Hachijo Is.,1
Hachijo Island,32
Hachijo Islands,4
Hachijo island,83
Hachijo-Isl,1
Hachijohjima-Isl,2
Hachijojima Island,48
Hachijojima-Isl,1224
Hachijokojima-Isl,1
Hachijou-jima Island,23
Haddumati Atoll,4
Haha-Isl,2
Haha-jima Island,3
Haha-jima island,2
Hahajima Island,73
Hahajima-Isl,116
Hahajima-rettð,1
Haida Gwaii,1527
Haida Gwaii Archipelago,62
Hainan,2
Hainan Is.,2
Hainan Island,240
Hainan-Isl,34
Halibut Islands,53
Hall Ids.,3
Hall Is.,83
Hall Islands,64
Halmahera  Is.,10
Halmahera Is.,55
Halmahera Island,234
Halmahera Islands,217
Halmahera-Isl,596
Haluku Is.,4
Hanish Islands,1
Hanmya-Isl,2
Harmahela Is.,20
Haruku Is. Near Ambon Is.,1
Hateruma-jima Island,40
Hatomajima-Isl,4
Hawaii,9533
Hawaii Island,18
Hawaii-Isl,2
Hawaiian,39
Hawaiian Archipelago,468
Hawaiian Ids,1
Hawaiian Ids.,599
Hawaiian Is.,2372
Hawaiian Island,6
Hawaiian Islands,66701
Hawaiian islands,1
Hawaï,19
Heard Island and McDonald Islands,7
Heard Islands,3
Hebrides,260
Hegurajima-Isl,10
Heligoland Island,1
Hen and Chicken Islands,1
Hermit Is.,1
Hermit Islands,264
Hermite Islands,12
Herring Islands,2
Hide-jima island,1
Hidejima-Isl,25
Hideshima-Isl,1
Higashijima-Isl,15
Highland,38
Hiji Island,1
Himalaya,3
Himalayas,2
Hirabanarishima-Isl,1
Hirapanarijima-Isl,1
Hirashima-Isl,1
Hirato-jima Island,20
Hirsholmene,21
Hispaniol Island,8
Hispaniola,11
Hochelaga Archipelago,3
Hokkaido,2500
Holandes Cays,24
Honduras,1
Hong Kong,137
Hong Kong Island,1
Honolulu,1
Honshu,10641
Hoorn Islands,90
Horne Is.,4
Horne Islands,452
Horse Islands,4
Hoshigamishima-Isl,2
Houmatahi Reef,1
Houtman Abrolhos,41
Howland - Baker Islands,4
Howland Island,218
Huaheine,2
Hundred Islands,25
Hurd Islands,33
I. Andaman Andaman Islands,2
IIhéus Selvagens (=Salvage Islands),4
ISLA REVILLAGIGEDOS,21
ISLAS DE REVILLAGIGEDO,5
ISLAS LOS CORONADOS,1
ISLAS MARIAS,1
