occurrenceStatus,reps
About 20 Habenariae.,1
"About 20 bushes, mainly this",1
About 20 individuals,1
About 20 plants,2
About 20 widely scattered plants seen.,1
About 200 plants,1
About 200 plants in this colony,1
"About 200 plants in this colony.  On 2 sheets, see also TRT No. 153144",1
About 25 widely scattered plants.,1
About 30 plants in this area.,2
About 45 plants slightly scattered in the lawn.,1
About 50 canes,2
About 50 plants,2
About 50 plants in the area.,1
About 50 plants.,1
About 50 specimens,1
About 6 clumps within field,1
About 6 plants,2
About a dozen plants,1
About a dozen plants.,1
About a dozen scattered plants.,1
About eight plants,1
About fifty plants,1
About forty scattered plants,1
About one dozen plants,1
About ten plants,1
About thirty plants.,1
About twelve plants.,1
About two dozen plants,1
Absent,26417
Abundance; dense tussocks,1
Abundant,7198
Abundant  in the region,1
Abundant & Frequent,4
Abundant & mat-forming,1
Abundant (10% <= p < 20%),1220
Abundant (DFB database; Label: Uncommon),1
Abundant (at point),2
Abundant (in large stands),1
Abundant (rare in Ont.),1
Abundant (thickly covers many hectares),1
Abundant - common.,1
Abundant 20-99,20175
Abundant all along creek,1
Abundant along low roadsides,1
Abundant along several hundred meters each way from gas station.,1
Abundant along stream.,1
"Abundant along west beach of Point, occasional along E beach in forest",1
Abundant and co-dominent.,1
Abundant and dominant,1
Abundant and locally scattered individuals.,1
Abundant and scattered.,1
Abundant annual weed.,1
Abundant annuals.,1
Abundant at edge of pond.,1
Abundant at this site.,2
Abundant at this site; locally scattered.,1
"Abundant at this station, only station I known of locally",1
Abundant becoming dominant.,1
Abundant both sides of road.,1
Abundant but local.,1
Abundant everywhere in park,1
Abundant for 100 m,1
Abundant for miles.,1
Abundant from Lombardy to Smiths Falls & E to Merrickville,1
Abundant gregarious herb,1
Abundant here.,4
Abundant in 1' of water,1
"Abundant in a dense colony, giving a dark aspect to the ditch.",1
Abundant in colonies,1
Abundant in conifer forest; rare on pond shoreline,1
Abundant in drainage ditch,1
Abundant in huge clumps.,1
Abundant in many places around pond,1
Abundant in marshes,1
Abundant in most of this thicket,1
Abundant in one small area,1
Abundant in places,1
Abundant in some areas.,1
Abundant in specific area,1
Abundant in spots.,1
Abundant in swampy woodland. Also a large patch on roadside.,1
Abundant in the area,1
Abundant in the region,8
Abundant in this area.,1
Abundant in wet areas.,1
Abundant in wet peaty soil,1
Abundant in whole area.,1
Abundant in woodland.,1
Abundant locally; hundreds of plants,1
Abundant on E side,1
Abundant on Island,1
Abundant on limestone flats.,1
Abundant on location,14
Abundant on shelving clay lake shore near rock,1
Abundant over 1 km of roadway.,1
Abundant over 10 x 20 m area,1
Abundant over a small area.,1
Abundant over ca. 10 sq. rods,1
Abundant over small area.,1
Abundant plant in vicinity are all of low habitat,1
"Abundant shrub in dry clearings, forming dense groves",1
Abundant shrubs on bank,1
Abundant spreading to woodland edge,1
Abundant through the garden,1
Abundant throughout,1
Abundant throughout park.,1
Abundant tree in woodland,1
Abundant vine,1
Abundant weed.,1
"Abundant, a ground cover dominant",1
"Abundant, as dense ground cover",1
"Abundant, common",2
"Abundant, common E to Sprucedale.",1
"Abundant, common in both upland and bog forest.",1
"Abundant, covering hectares of rock",1
"Abundant, covers 75 x 50 m area.",1
"Abundant, dense colonies",1
"Abundant, dense mass of individuals along 75-100 m of road.",1
"Abundant, dense mat of plants",1
"Abundant, dominant",3
"Abundant, dominant over several hundred meters of shore.",1
"Abundant, dominant.",1
"Abundant, extending along both shores for many meters",1
"Abundant, extensive mass.",1
"Abundant, forming dense mats",1
"Abundant, in dense mats",1
"Abundant, in groups of several plants to several thousand, along creek",1
"Abundant, in large dense patches",1
"Abundant, in sandy, moist depressions.",1
"Abundant, large colony",1
"Abundant, less common than 8489 location.",1
"Abundant, local dominant species",1
"Abundant, occuping area in strip +/- 100 m long.",1
"Abundant, one large patch",1
"Abundant, perhaps escaped from garden",1
"Abundant, rings the lake.",1
"Abundant, scarce",2
"Abundant, scarce.?",1
"Abundant, single large patch",1
"Abundant, woodland openings, esp. disturbed grassy areas near shore.",1
Abundant.,211
Abundant. Common.,1
Abundant. Many large stands.,1
Abundant: dense growth of several acres,1
Abundant: thousands of shrubs,1
Abundant; Common in ditches for 1 km at least,1
Abundant; a dominant for +/- 1.75 km along Mississippi River,1
Abundant; a major dominant.,1
Abundant; all along road margin.,1
Abundant; colony 40 ft across.,1
Abundant; dominant cover,1
Abundant; forming dense thickets.,1
Abundant; hundreds of plants,1
Abundant; in ditch bottom only.,1
Abundant; localized.,1
Abundant; none on nearby Hwy margin,1
Abundant; probably the largest colony in ROMC,1
Abundant; solid patch 3 x 3 m.,1
Abundant; the dominant species,1
Abundant; the dominant vegetation,1
Abundant; the dominant vegetation for several hundred m of roadside,1
Abundant; thousands of plants,1
Abundant; thousands of plants along several km of road,1
Abundante,16
Abundante & frequente,4
Abundante no local,1
Abundantly adventive,1
Abundantly scattered.,1
Abundnant.,1
"Adult butterflies are monomorphic of medium size with long wings. On the dorsal side, the wings are black with narrow white and yellow stripes, with a similar pattern on the ventral side, but paler and with red spots. The wingspan ranges from 72 to 100 mm.",1
Adventive,2
AfM,1
Alimentación,1
All by itself.,1
All over the Darling Ranges.,1
Alone,1
An exclusive colony on this drip area.,1
An expanding colony.,1
"Annual species, common on the wet sand meadow",1
"Anywhere in park, abundant.",1
Apparently infrequent,1
Appears frequently,1
Approx 200 stems in 1 acre,1
Approx. 10 plants found in area.,1
Approx. 120 plants at anthesis.,1
Approx. 15 plants seen,1
Approx. 20 plants,1
Approx. 20 plants.,1
Approx. 3 dozen plants,1
Approx. 3 dozen plants scattered and singly throughout the area,1
Approx. 30 plants.,1
Approx. 40 plants,1
Approx. 40 plants.,1
Approx. 500 plants,1
Approx. 6 plants,1
Approx. 8 plants,1
Arbusto sarmentoso.,1
"Area covered about 30 ft by 60 ft on each side of road.  By Oct 2001, there were multiple sites along road to the dock.",1
Arethusa once very plentiful.  Now scarce and rapidly becoming extinct,1
At least 1 doz. plants.,1
At least 1 dozen plants,1
At least 1 dozen trees to 40 cm DBH,1
At least 100 plants,1
At least 100 plants.,1
At least 12 plants,1
At least 30 plants.,1
At least 9 plants seen all in good fruit,1
At least a dozen plants,3
At least a hundred scattered tufts and plants.,1
Attacked,107
Ausente,1055
Average Cover: 1-5%,9
Average Cover: 1-5% Maximum Cover: 1-5%,4127
Average Cover: 1-5% Maximum Cover: 26-50%,493
Average Cover: 1-5% Maximum Cover: 51-75%,134
Average Cover: 1-5% Maximum Cover: 6-25%,2015
Average Cover: 1-5% Maximum Cover: 76-95%,80
Average Cover: 1-5% Maximum Cover: 96-100%,62
Average Cover: 26-50%,1
Average Cover: 26-50% Maximum Cover: 26-50%,290
Average Cover: 26-50% Maximum Cover: 51-75%,351
Average Cover: 26-50% Maximum Cover: 76-95%,399
Average Cover: 26-50% Maximum Cover: 96-100%,440
Average Cover: 51-75%,2
Average Cover: 51-75% Maximum Cover: 51-75%,152
Average Cover: 51-75% Maximum Cover: 76-95%,308
Average Cover: 51-75% Maximum Cover: 96-100%,663
Average Cover: 6-25%,3
Average Cover: 6-25% Maximum Cover: 26-50%,995
Average Cover: 6-25% Maximum Cover: 51-75%,465
Average Cover: 6-25% Maximum Cover: 6-25%,942
Average Cover: 6-25% Maximum Cover: 76-95%,275
Average Cover: 6-25% Maximum Cover: 96-100%,294
Average Cover: 76-95% Maximum Cover: 76-95%,215
Average Cover: 76-95% Maximum Cover: 96-100%,1135
Average Cover: 96-100% Maximum Cover: 96-100%,868
Average wingspan is 60?75 mm in males and 75?90 mm in females. Flight period is year-round.,1
Becoming common,1
Bed of 10+ plants.,1
Beds of plants.,1
Big colony.,1
"Both males and females of this beautiful species are a deep metallic-blue, but females have broad black margins with hite spots. The undersides of both sexes are brown with a row of brown-ringed, orange eyespots outlined with pale, metallic-bronze. Females also have a broken band of mettalc-yellow bronze. Blue morphos fly rapidly through dense forest and feed on the juices of fallen fruit. Males are particullarly active, chasing each other in bright sunlight. They will even chase a blue cloth waved in the air; this device has been used by colectors to lure these fast moving butterflies that are otherwise difficult to catch.",1
"Both sexes of this species are identical except that the females are slightly larger than the males. The upperside of L. a. arthemis is mostly blackish-blue with white postmedian bands across both wings. Some individuals have a row of red submarginal spots, while others have this area being blue. The underside of the wings is a blackish color with a broad white post-median band. The basal area of both wings contains many red spots. The submarginal area may contain a row of red spots and the marginal area having bluish spots. However, sometimes the submarginal and marginal areas are just a reddish-brown color.",2
C. douglasii is abundant a mile or two further up slopes,1
CR,18
Ca 10,2
Ca 25 2 m high shrubs & ca 40 <0.5 m seedlings,1
Ca. 100 specimens,1
Ca. 12 clumps seen,1
Ca. 1500 plants,1
Ca. 20 plants,2
Ca. 25 plants seen.,1
Ca. 50 plants.,2
Ca. fifty plants,1
Ca. seventy five plants.,1
Ca. twelve plants,1
Caespitose,1
Choking creek bed at point where found.,1
Circular clump 50 cm. in diameter,1
"Clump about 12"" dia",1
Clump of 11 plants,1
Clump of 11 stems,1
Clump of about 15 stems.,1
Clump of grasses.,1
Clump of plants,1
Clump of plants.,1
Clump of several.,1
Clump.,10
Clumps common,1
Clumps occasional,1
Clumps occasional.,1
Clumps of bushes.,1
Clumps of plants.,1
Clumps.,6
Cluster of a few plants,1
Cluster.,1
Colonial,2
Colonie abondante.,1
Colonies of many plants.,1
Colonies.,5
Colony 15 ft. in diameter.,1
Colony 5 ft. in diameter.,1
Colony about 10 ft. in diameter.,1
Colony about 20 habenariae,2
Colony filled ditch.,1
Colony in danger of extinction.,1
Colony of 15 plants.,1
Colony of 300 or more plants.,1
Colony of bushes.,1
Colony of many plants.,2
Colony of plants.,7
Colony.,17
Commom,1
Common,12546
Common (2x3 m patch).,1
Common (5% <= p < 10%),1960
Common (clump of 50-75 stems 1.5-2.0 m tall),1
Common (especially at edges of bare rock),1
Common (large population),1
Common (only within the area burned),1
Common (scattered plants near paths),1
Common - large patch.,1
Common 5-19,28557
Common N to Constance Bay.,1
Common along Tim Drive,1
Common along a short woodland stretch,1
Common along creek,1
Common along fence row,1
Common along railway tracks,1
Common along river,1
Common along roadside,1
Common along roadside.,1
Common along streams and swamps,1
Common along trails,1
Common along woods,1
Common also along Sunnidale Rd. near Oakview Woods,1
Common and abundant,2
Common and abundant in park,1
Common and abundant.,2
Common and dominant shrub in restricted area,1
Common and spread out.,1
Common around bog,1
Common at low and middle elevations.,1
Common at this site,1
Common below 4500 ft.,1
Common but maybe escaped from cultivation,1
Common but scattered,1
Common but scattered.,1
Common by railway track,1
Common escape,1
Common everywhere along flooded shores.,1
Common forest tree.,1
Common here.,10
Common in a few places.,1
Common in a few spots.,1
Common in area.,1
Common in black spruce muskeg,1
Common in cedar-hardwood forest,1
Common in clonal patches.,1
Common in deciduous wood edge.,1
Common in deciduous woods.,1
Common in district,3
Common in fencerows,1
Common in grassy area by edge of slough,1
"Common in gravelly sand, uncommon in dry silty soil",1
Common in large clumps.,1
"Common in low mossy forest at summit, Morne, Anglais.",1
"Common in lower moister areas, where winter road salt likely collects",1
Common in meadow,1
Common in mixed forest from BL 800 to BL 1100.,1
Common in one colony of many sq. yds.,1
Common in one small area under open poplar corner E side of river.,1
Common in one spot.,1
Common in open fields E side of river.,1
Common in open with Androposon spp.,1
Common in patches,2
Common in places on second terrace.,1
Common in places.,1
Common in restricted area,3
Common in restricted areas,3
Common in rivulet,1
Common in scattered bunches.,1
Common in small clumps.,1
Common in swamps,1
Common in the bog.,1
Common in thicket W of creek.,1
Common in this field.,1
Common in wet ditch,1
Common in wet places.,1
Common in woods,1
Common large patches along outcrops,1
Common locally,6
Common locally.,1
Common many different colurs,1
"Common near shore of lake, more frequent than N. flexilis",1
Common on Island.,1
Common on Morune Mts,1
Common on drier slopes.,1
Common on edge of bog.,1
Common on exposed slopes,1
Common on floating mats in bog,1
Common on hillsides.,2
Common on hummocks.,1
Common on island,2
Common on open sandy ground,1
Common on roadside,1
Common on the island,1
Common only in one area.,1
"Common sterile, less common in flower",1
Common through entire area.,1
Common to abundant.,1
Common tree,3
Common tree of flood-shores,1
Common weed.,1
Common within half a mile,1
"Common, (all male).",1
"Common, 100s of plants.",1
"Common, 20 x 50 m carpeted densely with plants",1
"Common, 54+ plants.",1
"Common, 80+ plants.",1
"Common, abundant.",1
"Common, along street in village",1
"Common, also at islands S of mouth of bay",1
"Common, but fruiting material far less common than sterile material",1
"Common, but represented by only scattered individuals.",1
"Common, but seldom in fruit.",2
"Common, ca 100 plants",1
"Common, esp. on S end of island.",1
"Common, especially at edge of field",1
"Common, fomerly rare",1
"Common, grows in clumps",1
"Common, in clumps",1
"Common, in dense patches 2-3 m in diameter",1
"Common, in groups of large numbers of plants",1
"Common, in this area",1
"Common, in this area, possibly an escapee",1
"Common, large colony.",1
"Common, large group of plants",1
"Common, large number in flower",1
"Common, much less so than those with white petals",1
"Common, numerous seedlings",1
"Common, one ridge only.",1
"Common, patch of about 100 plants",1
"Common, roughly circular patches 1-1.5 m across",1
"Common, scattered along beach.",1
Common.,571
Common. Also comm in the bog forest.,1
Common. Forming extensive clumps.,1
Common: a dominant (mature trees with saplings),1
Common: approx. 400 plants,1
Common: fruiting abundantly,1
Common: scattered small herbs and a few large 'bushes',1
Common: several large patches,1
Common: tall trees to 156 cm CBH,1
Common; 200 + plants,1
Common; abundant to E on 9th and 8th Concessions,1
Common; extensive colonies,1
Common; large patches,1
Common; localized [here],1
Common; only noted in one spot.,1
"Common; several very large, patches containing scattered fruiting plants",1
Common; small dense colonies,1
Common; small open colony,1
"Common; thousands of plants in three large stands, 20-30 flowering",1
Common; two very large patches,1
Commonest species here.,1
Commonly found in 16 Mile Cr. ANSI,1
Commonly found in great abundance in this habitat.,1
"Commonly planted, also self-sown",1
Commonly scattered small trees,1
Commun.,2
Comum  on location,1
Comun,44
Común,17170
Confirmed Breeding,20403
Confirmed Present,24652
Connon.,1
Conservation Status: R2 (Haldimand-Norfolk),4
Conservation Status: R3 (Haldimand-Norfolk),3
"Conservation Status: S1, COSEWIC Endangered, OMNR Endangered - R, R4 (Haldimand-Norfolk)",1
"Conservation Status: S1, R1 (Haldimand-Norfolk)",5
"Conservation Status: S1, R2 (Haldimand-Norfolk)",1
"Conservation Status: S1, R4 (Haldimand-Norfolk)",1
Conservation Status: S1/S2,1
Conservation Status: S2,9
"Conservation Status: S2, R3 (Haldimand-Norfolk)",1
"Conservation Status: S2, R5 (Haldimand-Norfolk)",3
Conservation Status: S3,26
"Conservation Status: S3, R4 (Haldimand-Norfolk)",1
Conservation Status: S3S4,1
Copious,1
"Crataegus douglasii var. suksdorfii, C. monogyna, and their hybrids abundant.",44
Crowded colony,1
DD,12
"DS,R(N)",1
DST,1
"DST, MP",1
Damaged,1051
Dead,5
Deep blue.,1
Defoliated,615
Dense 2 m square patch.,1
Dense 2.5 m square patch.,1
Dense beds.,1
Dense carpet.,1
Dense clump,1
Dense clump-many stems.,2
Dense clump.,2
Dense colony,3
Dense colony 3-4 m in diameter.,1
Dense colony about 1 m in diameter,1
Dense colony of thousands of plants,1
Dense colony over a small area.,1
Dense colony.,2
Dense cover.,1
Dense growth,1
Dense growth of plants.,1
Dense growth.,1
Dense large colony,1
Dense masses.,1
"Dense mat 4 m across, may have started from dumped garden refuse",2
"Dense mat, ~1 ft. in diameter.",1
Dense mats,1
Dense patch,3
Dense patch 3 dm across,1
Dense patch of robust plants,1
"Dense patch, 2-3 m across",1
Dense patches,1
Dense stand,1
Dense stand.,1
"Dense, broad mature hedgeline of Crataegus ssp",1
Densely abundant along 150 ft. of shore.,1
Densely abundant in a large mat to the exclusion of all else.,1
"Densely abundant, an understory dominant..",1
Densely colonial,2
Desconocido,133
Destroyed,2
"Difficult to count, certainly hundreds of plants.",1
Discarded by Dr. Mayr: 18 November 1942,1
Dispersed,2
Disperso,1
"Do Not Loan or Exchange, See File on Endangered Species",1
Do not loan or exchange,1
Dominant,14
Dominant (20% <= p),1274
Dominant cover,1
Dominant in scattered patches.,1
Dominant shrub,1
Dominant tree,1
Dominant tree of area.,1
Dominant tree throughout island,1
Dominant.,24
Dominante,7
Double hedge almost solidly this species for over 100 yards.,1
Dozen or so plants,1
Dudoso,659
Duplicate of E4960 (egg card cataloged separately as E4960),1
E,293
E-most of 2.,1
EN,269
Eighteen plants.,1
Eleven plants.,1
En grandes colonies.,1
"En touffes, formant des colonies denses.",1
En vastes colonies.,1
Epiphile is a genus of banners in the family of butterflies known as Nymphalidae. There are about 19 described species in Epiphile,1
Eradicated,4
Escaped from cultivation onto Alkaline wasteland,2
Escasa,4
Especially abundant under Crataegus monogyna,1
"Eurytides dolicaon is a large butterfly with a wingspan of about 80 millimetres (3.1 in). The basic colour of the wings is creamy white with black veins. The hindwings have very long and thin tails, generally dark brown or black with yellow tips. The edges of the uppersides of the wings are dark brown or black. The undersides of the hindwings have brown bands forming large creamy white areas. On the margins of the hindwings there are a series of blue lunules",1
Everywhere,1
Everywhere.,1
"Exchanged to St. Bonaventure University ( S. W. Eaton), St. Bonaventure, New York, for 10896, 10897, 18 May 1976 ( D S W), Deaccessioned on 2 February 2015",1
Extensive colony,2
Extensive dense patch,1
Extensive infestation,1
Extensive mat,1
Extensive mats,1
"Extensive patch, 2x4 rods",1
Extensive patches.,1
Extensive pure patches,1
Extensive stand W to 716297 4952950,1
Extensive stands,1
Extensive thickets of this in creek bottom.,1
Extensive uniform community,1
Extensively creeping; at one point.,1
Extraviado,8
Extremely abundant,1
Extremely abundant throughout.,1
Extremely abundant.,2
Extremely common,1
Extremely plentiful here at this time,1
Faily common along terrace; not found well inland; usually mat forming,1
Faily common.,3
Fair-sized colony.,1
Fairly Common,11
Fairly abundant,1
Fairly abundant; 50 scattered plants.,1
Fairly common,67
Fairly common.,11
Fairly frequent,1
Fairly frequent.,1
Fairly infrequent.,1
Fairly low frequency here.,1
Fairly numerous and top edge of thicket.,1
Farily common around the area.,1
"Feathers were destructively sampled and loaned to Marie Perkins, Louisiana State University (ZO.2006.1)",6
Fellings,2
Females can be recognized byt the presence of two black spots and a black streak on the forewing. The undersides of the hindwings of both sexes are bright yellow with slight black scaling.,1
Few,35
Few +- circular clones,1
Few - rare.,1
Few 2.5 m isolated trees.,1
Few E side of river.,1
"Few at this spot but more abundant on N side of lake farther E, see Reznicek 4327.",1
Few bushes,2
Few bushes of this,1
Few clumps,1
Few clumps seen.,1
Few clumps.,2
Few colonies of hundreds of plants.,1
Few dense clumps.,2
Few dense colonies in the quiet water,1
Few in glades.,1
Few in one open sandy area,1
"Few in one spot, perhaps only 1 clone.",1
Few in open along powerline E side of river.,1
Few in open pools.,1
Few in wooded parts.,1
Few individuals,1
Few isolated trees.,1
Few large patches in woods a far northern site.,1
Few large shrubs,1
Few more or less circular patches ca. 2 dm diameter,1
Few noted updrift from drainage pipe,1
Few only,1
Few patches.,1
Few plants,11
Few plants along the road embankment.,1
Few plants close together noted.,1
Few plants found.,1
Few plants noted.,1
Few plants only,1
Few plants slightly scattered along the road.,1
Few plants.,3
Few scattered clumps,5
Few scattered clumps.,1
Few scattered colonies.,1
Few scattered patches,1
Few scattered plants,2
"Few scattered plants, shady sites.",1
Few scattered plants.,2
"Few scattered shrubs of various sizes in ditch, on dry bank and in fields nearby; clearly spreading.",1
Few scattered shrubs.,1
Few scattered trees with P. resinosa and P. strobus. Trees of all ages present with no evidence of planting seen more commonly at two sandy bays northward.,1
Few scattered tufts in more open areas,1
"Few scattered, clumped plants.",1
Few seen.,1
Few shrubs,2
"Few shrubs seen, none in fruit.",1
Few shrubs to 4 m.,1
Few shrubs.,1
Few slightly scattered plants.,1
Few small shrubs.,1
Few trees,1
Few trees.,1
Few very dense patches,1
Few very large plants & very many tiny plants in 2 m square area. Not seen elsewhere in vicinity,1
Few widely scattered shrubs.,1
"Few, most very olf and disintegrating",1
"Few, scattered",2
Few-scarce,4
Few.,24
Fewer than 10 plants,1
Fifteen blooming plants in group.,2
First Crataegus encountered along here; few.,1
"First occurrence in this township, abundant further north",1
Five plants,1
Flock (single species),17
Florming dense stands.,1
Formant de grands clones purs.,1
Forming a dense patch several meters in diameter.,1
"Forming dense colonies in the shallow water, none seen flowering",1
Forming dense stands in some areas,1
"Forming dense, fine mats over small areas",1
Forming extensive dense colonies,1
Forming large intricate mats,1
