behavior,reps
AVES-094804,1
AVES-054918,1
AVES-103551,1
AVES-054982,1
AVES-070014,1
AVES-072375,1
AVES-101260,1
AVES-072663,1
AVES-074678,1
call; song; forage; scold; emit alarm,1
walk; forage; run; ruffle; lie; swim,1
cling; eat,1
sit on nest; perform nest relief,1
call; beg; perch; Social context: colony; care for young,1
AVES-102460,1
perform courtship display; swim; call; song; surface dive; forage,1
AVES-103237,1
fly; sally; hover; perch,1
AVES-103393,1
song; fly; mate; advertise,1
AVES-074805,1
AVES-106007,1
forage; hop; perch; defecate,1
expire,1
call; forage; preen,1
AVES-102183,1
AVES-065624,1
AVES-059435,1
AVES-094903,1
AVES-100951,1
AVES-092834,1
AVES-103407,1
AVES-101862,1
AVES-100500,1
AVES-106011,1
AVES-101440,1
AVES-105691,1
AVES-074186,1
AVES-102134,1
AVES-075560,1
AVES-072715,1
AVES-101733,1
AVES-101258,1
AVES-094071,1
AVES-072463,1
AVES-071917,1
AVES-071782,1
AVES-095280,1
AVES-100678,1
AVES-103258,1
AVES-103250,1
AVES-065604,1
AVES-075750,1
AVES-065609,1
AVES-071710,1
AVES-092823,1
AVES-100819,1
AVES-101655,1
AVES-094013,1
AVES-105855,1
AVES-103257,1
AVES-075712,1
stand; scratch; defecate,1
"nest in a hole 15 inches deep, in Cottonwood stump, 15 ft high, common in this part of Alberta",1
birds buzzed around collector when he took nest,1
had 2 young,1
shot while resting in top of tree during afternoon,1
with young brood,1
"from a flock of 10, on west fence of cemetery",1
clasped by OMNH 31104,1
AVES-106012,1
AVES-075380,1
AVES-094160,1
AVES-074138,1
AVES-094538,1
AVES-072392,1
AVES-101963,1
AVES-075572,1
AVES-101521,1
AVES-100472,1
AVES-105779,1
AVES-101396,1
AVES-074435,1
AVES-094435,1
AVES-071971,1
AVES-059657,1
flap; forage; fly,1
walk; forage; eat; run,1
preen; take flight; stand,1
perch; preen; defecate; hop; bill swipes; call,1
perch; take flight; land; sally; tail wag; eat,1
hop; forage; bob; walk; defecate; take flight; eat,1
swim; swim,1
AVES-093064,1
AVES-094102,1
AVES-101565,1
AVES-136316,1
AVES-136322,1
AVES-101314,1
AVES-092450,1
AVES-102390,1
AVES-075703,1
AVES-102268,1
AVES-105590,1
swim; take flight; perform visual display,1
AVES-101496,1
AVES-105784,1
AVES-071216,1
AVES-102746,1
AVES-136584,1
AVES-075361,1
AVES-071741,1
AVES-070059,1
AVES-100314,1
AVES-105961,1
song mimics A. sbuflava,1
AVES-059567,1
AVES-100521,1
AVES-070024,1
AVES-072782,1
AVES-051521,1
AVES-136577,1
AVES-100568,1
AVES-072320,1
AVES-101356,1
attended by an agitated Wood Thrush,1
AVES-075692,1
AVES-105875,1
AVES-136420,1
AVES-094921,1
AVES-074618,1
AVES-075303,1
AVES-100200,1
AVES-092329,1
AVES-074271,1
"Birds At Peanut Pile, Then Territory Boundary Conf",1
perch; eat; defecate,1
vocalize; perch; hop; depart,1
call; mate; forage; emit alarm; establish flock contact,1
call; mate; advertise; care for young; Social context: family,1
call; advertise; court; mate,1
fly; land; take flight; forage; swim,1
perform visual display; Aggression/defense; attack; be displaced,1
run; exit nest cavity; fly,1
songs mimic L. senegala (recorded),1
Calling From Undergrowth,1
calling distinctively like a Eastern Wood Peewee,1
Foraging High In Canopy; 2 In Beetle-Nut Palm,1
3 or 4 Birds,1
"Called As Flushed, Then Responded To Playback Of T",1
Across Road On S Side,1
"Birds In Nets, Being Removed From Nets",1
Flying Up To Land In Tree,1
Calling On Tree Top In The Forest Edge,1
"1 of 3, other 2 in flying condition",1
singing western song,1
counter singing; advertise; song,1
fight; threaten,1
Nervous As Recordist Approached,1
mechanical sound; eat; chew,1
Alarm Calls - Probably Responding To Recordists' S,1
advertise; court; call; duet,1
1 Bird Foraging In Understory,1
Social context: colony; perch; care for young; beg,1
In Dense Barranca W/ Sweetgums & Oaks That Run Thr,1
Mostly Sitting Quietly,1
Perched On Top Of Small Tree,1
land; flap; stand; ruffle; scratch; preen,1
with white-crowned and chipping sparrows,1
call; mechanical sound; arrive; roost,1
vocalize; preen; perch; hop; regurgitate; stretch; hop; hop; scratch; arrive; hop; Actions; perform visual display; depart,1
call; mechanical sound; song; subsong; duet; advertise; mate,1
call; subsong; flush; advertise; fly,1
call; subsong; forage; establish flock contact,1
song; fly; advertise; forage; establish flock contact,1
mechanical sound; flush; fly,1
call; song; mate; court,1
Forage In Open Tree Canopy,1
"Probably Visiting Nest, 2 Birds",1
build nest; build nest walls,1
1 male perch 7 meters up,1
Calls Of Overhead Migrants,1
eat; walk; peck,1
call; mechanical sound; bill drumming; beg; Social context: family; Social context: mixed,1
"In Woods, Tall Trees",1
Possibly A Pair In The Area,1
call; forage; mob; Social context: mixed,1
perform courtship display; forage,1
call; flush; arrive; fight; establish flock contact,1
Scared Off By Red-Tailed Hawk At End Of Cut,1
land; walk; forage,1
"While Held In Hand, While Foot Web Is Pinched, Bod",1
depart; fly; vocalize; call,1
Cryotuc Ub Sawgrass Marsh,1
lek; hop; perch; depart,1
enter nest cavity; song,1
In Nesting Caves,1
carry nest material; beg,1
"Singing From A Tree, In The Forest Interior",1
AVES-068438,1
AVES-105445,1
"Mother -/r or y/g, father r/o.  Laid in Lagonosticta senegala nest on roof aviary.  Fledged 22 Dec 1994",1
AVES-092227,1
"Sitting High In Mangrove, On Tape",1
"1) 2 Birds, Then Another, Flew Out From Shore, The",1
Feeding On Coconut Flowers,1
Sitting 40' Up In Limber Pine,1
"Most Birds Flying Around In Pairs, Next To  Cliff",1
1 Imm. Bird + Another Bird Callling Simultaneously,1
AVES-105343,1
Response To Pishing ?(+ On Tape),1
AVES-092357,1
"Pair Present, One Singing",1
Rather Large Flock Flying About In Middle Story Of,1
AVES-059519,1
unpaired,1
from nest of 7 young,1
ca 5 nests,1
at deer entrails on shore of river,1
cling; call; tail wag,1
call; mechanical sound; song; advertise; contact,1
land; perch; preen; fly,1
perch; depart; take flight,1
fly; cast pellet; watch; perch,1
displace; fly; bathe; land,1
take flight; fly; forage; land,1
call; fight; fly; Social context: colony,1
call; song; mate; advertise; beg; forage,1
call; mechanical sound; mate; perform visual display,1
depart; perch; call; fly,1
call; advertise; forage; roost; perform visual display,1
AVES-103507,1
AVES-025091,1
AVES-065594,1
AVES-102361,1
AVES-074485,1
AVES-072800,1
AVES-094517,1
AVES-059628,1
Social context: herd; eat; walk; rest,1
AVES-093883,1
AVES-105570,1
AVES-103341,1
AVES-074710,1
AVES-072221,1
AVES-102720,1
AVES-094271,1
AVES-101796,1
AVES-075658,1
AVES-075656,1
AVES-075734,1
advertise; fly; call; perch; court,1
land; carry food in bill; remove fecal sac; take flight,1
call; counter singing; Social context: troop,1
song; dusk song; fly,1
stand; sleep; rest; walk; lie; yawn; be displaced,1
peck; defecate; forage; probe; walk; run; eat,1
forage; carry food in bill; call,1
call; preen; perch,1
Social context: troop; Social context: mixed,1
AVES-101875,1
AVES-065616,1
AVES-072700,1
AVES-094824,1
AVES-074574,1
AVES-071640,1
AVES-092439,1
AVES-105684,1
AVES-100237,1
AVES-102632,1
AVES-136579,1
call; collect nest material,1
AVES-072867,1
AVES-105595,1
AVES-101251,1
AVES-100481,1
AVES-071895,1
AVES-074362,1
AVES-102205,1
AVES-092656,1
AVES-100804,1
AVES-103575,1
Delayed Reaction To Tape Of Albiventris,1
Mixed Species Flock In Varzia Forest,1
"In Treetops, Medium Sized Live Oaks",1
"Perched At Top Of Bush, 3 M. From Ground",1
"Group He12, Recordist Moves Closer",1
75' Up In Citrus Spruce,1
"First One Bird Callling, Then Two",1
Running Around On Beach,1
AVES-102459,1
AVES-072889,1
"Preening On Telephone Wire, Unseen",1
AVES-101055,1
AVES-102066,1
AVES-075357,1
AVES-071743,1
AVES-102047,1
AVES-072172,1
AVES-100178,1
AVES-054692,1
AVES-101093,1
song; call; duet; mate; roost,1
forage; walk; bob; take flight; defecate,1
stand; take flight; land; call; fly,1
fly; emit alarm; scold,1
fly; depart; stand; eat,1
perch; scratch; call; take flight,1
beg; feed young; arrive,1
call; regurgitate,1
AVES-105919,1
AVES-070022,1
counter singing; court; scold; fly,1
AVES-102120,1
land; walk; fly; run,1
call; swim; forage,1
flock 30,1
In Scrubby 2nd Growth Along Road,1
"Response To Playback, In Mixed Species Flock",1
Hopping About In Dense Tree Near Open Shore,1
7-8 Each Males & Females In Water Plants Near Edge,1
"On Territory, Response To Intrusion",1
Singing From Palm Frond,1
AVES-092743,1
AVES-100269,1
AVES-075350,1
AVES-075762,1
AVES-100625,1
AVES-102798,1
AVES-105447,1
AVES-074353,1
AVES-100828,1
AVES-072477,1
AVES-074053,1
AVES-093909,1
AVES-075649,1
AVES-072814,1
call; flight sound; mechanical sound,1
song; call; dusk song; forage,1
fly; build nest; collect nest material; call,1
eat; feed young; sit on nest,1
call; swim; stand,1
preen; forage; walk,1
stand; ruffle; take flight,1
AVES-101672,1
Perched High In Forest Tree,1
Xx Male Above Net 5,1
Move On To Next Tree,1
"paired, acting part of disturbed nester",1
AVES-101024,1
sang (mimic L. senegala) from tree near #4591,1
AVES-059453,1
AVES-075597,1
AVES-103426,1
AVES-103279,1
take flight; ruffle; perch; preen; song,1
AVES-102461,1
AVES-092240,1
AVES-092088,1
AVES-100096,1
AVES-072762,1
AVES-103266,1
AVES-136283,1
AVES-100212,1
AVES-101145,1
Scattered Flock & Pairs In Branches Just Above Bam,1
In Roadside Thicket,1
In Pool In Garden,1
Moving About Unseen In Understory,1
Captives Being Fed,1
"High In Big Tree, Ca 25 Yds.",1
"4 Birds Circling, Perhaps Young Or Nest Nearby",1
Captive,1
Territory Advertisement; preening between songs,1
Territorial Conflict,1
In Roadside Woodland,1
"Flying, Foraging, Skittering Along Ground",1
Moving N Through Pine Forest,1
with 3 downy young,1
returning to colony,1
"song recorded, mimics L. nigricollis, tape 265: 012-115",1
"song recorded, tape #21-11",1
caught at drift fence,1
AVES-025121,1
AVES-072745,1
AVES-071797,1
forage; walk; brood; call,1
AVES-092446,1
mechanical sound; snorts,1
chew; eat; make feeding sounds; swallow; purrs,1
beg; run; regurgitate; feed young,1
AVES-101457,1
stand; walk; ruffle; run; forage; take flight,1
call; scold; emit alarm; Social context: colony; perform visual display,1
call; mechanical sound; bill drumming; advertise; perform visual display,1
song; call; dawn song; court; advertise,1
song; dawn song; duet; Social context: family,1
AVES-101101,1
stand; walk; stretch,1
"song taped, mimics Lagonosticta senegala",1
from flock of 40 Vidua spp.,1
"Perched On Branches Of A Shrub, Baccharis Linearis",1
Perched In Forest Clearing Tree,1
Nest 3B,1
"Getting Peanuts, Mutual Aggressive Sidling ( Mid-T",1
birds chasing each other,1
Usually Over Ants,1
"Spontaneous & Responding To Playback, Then 10 & 20",1
Foraging In Oak Tree At Forest Edge,1
"Birds Perched High In Trees, Calling To One Anothe",1
Responding (? To Playback),1
Fledgling,1
Flying Away At End,1
In Tree By Road,1
"Captive Group, Mature Doe Approaching Bedsite Of E",1
"Railroad Road Territory; Family, Male & Male",1
"Quercus Kelloggii, Huge",1
Calls & Song Both In Response To Playback,1
"In The Top Of A Peumus Boldus Tree, Feeding In Sle",1
Disturbed By Recordist; Female Wouldn'T Leave 3-Ye,1
Perched In Bamboo,1
Attracted Dendroica Coronata,1
2 Bulbuls Mobbing An Unidentified Bird,1
Coming Down From Top Dead Fir To Drink At Seep In,1
Severalm Individuals Arrived At A Tree W/ Fruits,1
Song-Spontaneous,1
Female Near Nest,1
On Top Of Small Oak,1
AVES-105796,1
preen; advertise; counter singing; mechanical sound,1
dispatch prey; swallow; eat; take flight; cling,1
depart; fly; eat,1
AVES-094915,1
fight; walk,1
defecate; court,1
fly; perform visual display; rest,1
brood; preen; call,1
forage; advertise; flight song; song,1
sit on nest; preen; perch,1
Flock (On Water?),1
feed young; beg; eat,1
AVES-103593,1
call; duet; mate; Social context: family,1
call; song; counter singing; advertise; scold; fight,1
call; establish parent young contact; beg; forage; care for young; Social context: family,1
AVES-065699,1
AVES-074960,1
call; emit alarm; scold; fly; Social context: family; Social context: colony,1
forage; swim; call; Social context: flock,1
Aggression/defense; call; duet; song,1
"Flock In 35' Spruce, feeeding",1
Sitting In Tree (Polyalthia) Calling To Mate,1
2Nd Bird In Distance,1
playback response,1
AVES-075007,1
call; fly; Stand/Perch,1
song; Syrinx,1
eat; mechanical sound; call,1
AVES-105761,1
land; take flight; beg; feed young; care for young; carry food in bill,1
Courtship Display Flight,1
scold; forage; advertise; contact; contact fledgling; call,1
AVES-074184,1
mechanical sound; song; dawn song; fly,1
perch; ruffle; take flight; defecate,1
stand; call; walk; take flight; beg,1
walk; forage; preen; bathe; stand,1
establish parent young contact; fly,1
forage; walk; hop; bob,1
hop; defecate; forage,1
In Low Perches In Forest Understory,1
Flying Over House,1
dying on road (2000 hours),1
bird left nest when tree struck with a stick,1
found on wild grapevine,1
feeding in plowed wheat field,1
associating with sparrows for some time,1
tape 1991 #55A,1
Tape 13,1
"flew to call-site of nigeriae, green form",1
In Wet Forest - Fluttering Aroung The Flowers Of A,1
Aggression/defense; forage; contact; call,1
While held in hand,1
"On Territory, Exposed Perch",1
2 Birds (Possibly Female & Male) Singing In Respon,1
In Roadside Dense Vine Tangles,1
"In Clump Of Hemlock, Moved About, Preened, Etc.",1
Migration:  They Land And Call At Dawn,1
"Mobbing Recordist, Near Young & Near Fledglings",1
"First Roosting In Palm Tree, Then Flying Overhead",1
Confined Territory Conflict Btw Breeder Male/other,1
migrating north,1
"Called In Flight, Lone Bird",1
"""Intrusion Into Territory + """"Pishing""""""",1
"""Distant """"Across Valley""""""",1
Sitting In Dead Tree (On Tape),1
Top Of Tree 20' Up,1
Territorial Encounter,1
"2 Birds Calling On Tree Top, Forest Edge Near Farm",1
courtship,1
Ca 30' Up In Conifer & 30-40' From Recorder,1
Foraging Near Ground & In Ground,1
Nest Held Downy Young,1
with male on tundra pool,1
with 2 hatched young,1
eat; take flight; perch; call,1
call; fly; emit alarm; establish flock contact; Social context: colony,1
preen; song; scratch; fly,1
stand; call; bob,1
AVES-136251,1
perch; perform courtship display; hop,1
Social context: flock; preen; sit on nest,1
AVES-072103,1
AVES-101113,1
AVES-074679,1
AVES-101228,1
AVES-075429,1
AVES-059619,1
AVES-094839,1
AVES-103444,1
AVES-103461,1
AVES-094421,1
AVES-094346,1
AVES-054971,1
AVES-075535,1
call; lek; fight,1
call; song; establish parent young contact; forage; Social context: family,1
call; emit alarm; Social context: family; establish flock contact; Social context: mixed,1
call; lek; Social context: mixed,1
flap; stand,1
2 Birds Singing Back & Forth,1
In Small Tree In Old 2Nd Growth,1
Female Not Far Away In Understory,1
AVES-074784,1
AVES-100787,1
AVES-094914,1
AVES-081693,1
AVES-071118,1
AVES-071487,1
AVES-074033,1
AVES-025140,1
AVES-136426,1
AVES-074388,1
AVES-101225,1
AVES-094185,1
AVES-102178,1
AVES-071960,1
AVES-075504,1
AVES-075521,1
AVES-072079,1
AVES-054839,1
song; call; bill snap,1
call; mate; Social context: colony; arrive,1
advertise; song; Visual,1
being fed by Junco,1
preen; walk; run,1
hop; forage; call; perch; lek,1
stand; hop; forage; take flight; bob,1
AVES-074166,1
Song mimics Amaudave subflava. taped #44B. 090-270,1
"song recorded, mimics L rubricata., tape 35A",1
collected with male (188121; DJA 772),1
from a flock of 5 on Water Lilies,1
AVES-101569,1
Perched Near Nests,1
"song recorded, tape #17",1
AVES-071105,1
AVES-071897,1
AVES-094449,1
AVES-075036,1
AVES-105755,1
AVES-105872,1
AVES-074246,1
AVES-074792,1
He-8 Group,1
"""""""La Cascara""""""",1
"5 Individuals From Top Of Canopy, Then Flying",1
Flying Over Marsh,1
Nest Defense,1
"At Nest, Crow Came In To Feed Nestlings",1
"Captivity, Being Approached",1
2Nd Cut Made After Playback Of #1,1
About 1/2 Way Up In Fir,1
Perched Oon Sparti,1
"2 Up In Trees, 20-30' Off, Not Seen, Then Loudly O",1
Trio Calling,1
In Weeds Under Pines,1
being swallowed by a garter snake,1
singing in grapefruit trees,1
Coming & Going To Nests In Eves,1
"Calling males were abundant in a shallow vernal pool, air temperature 17.2C.",1
shot with 187861 (adult M),1
feeding with others in Cherry tree,1
"male observed singing, then flew to nest for ca 10 seconds, female not flushed",1
"mimics L. senegala, tape 14 May 1997 3B:348-486",1
roost; call; Aggression/defense; forage; fly; mechanical sound; perch; flock; flush,1
preen; defecate; sit on nest,1
swim; preen; perform visual display,1
take flight; perch; walk; song,1
hop; preen; stretch; vocalize; perch; hop,1
call; subsong; establish parent young contact; forage; Social context: family,1
perch; defecate; hop,1
walk; cling; perform visual display,1
pant; forage,1
perch; bill swipes; preen; call; depart,1
land; enter nest cavity; perch,1
flew to male amauropetryx sit,1
perch; depart; call; song,1
mechanical sound; song; arrive; advertise; fly; perform visual display,1
call; establish parent young contact; beg; emit alarm; Social context: troop,1
subsong; beg,1
song; dusk song; Social context: troop; establish flock contact,1
call; forage; stand; lie,1
Foraging In Brush At Edge Of Road,1
Fifty Feet Up In Nothofagus,1
Group By Creek,1
hop; allopreen; scratch,1
AVES-101988,1
AVES-075071,1
AVES-101009,1
AVES-136287,1
AVES-072371,1
AVES-101560,1
AVES-136438,1
eat; take flight; forage,1
fly; perch; forage; mechanical sound; call,1
brood; sit on nest; take flight; incubate; perform nest relief,1
AVES-075575,1
jump; allopreen; preen; stretch,1
perform visual display; fly; land; song; take flight,1
take flight; stand; walk; forage,1
call; perch; fly; song,1
perch; carry nest material; forage; take flight,1
advertise; flight song,1
song; arrive,1
call; mechanical sound; forage; Social context: mixed; perform visual display,1
call; establish parent young contact; beg; establish flock contact; Social context: family,1
AVES-081676,1
Third male shot from this tree while singing nigricollis song.,1
AVES-059460,1
AVES-072425,1
AVES-072704,1
AVES-072709,1
AVES-136338,1
AVES-094389,1
AVES-092580,1
AVES-094482,1
AVES-081666,1
depart; fly; land; take flight; watch,1
AVES-103146,1
AVES-072647,1
AVES-094046,1
AVES-091665,1
AVES-071870,1
AVES-054911,1
AVES-092875,1
AVES-100167,1
AVES-102252,1
In Bamboo Area,1
mechanical sound; song; depart,1
bill swipes; eat,1
drink; swim; preen; displace,1
swim; care for young; flap; preen,1
vocalize; stand,1
lie; stand; sleep; preen,1
stand; eat; take flight,1
forage; dust bathe; Social context: flock,1
Feeding Under The Trees,1
"""""""Foraging""""?""",1
mechanical sound; forage; fly; call; advertise,1
Assemblages Chasing Each Other Around,1
"Startled, Not Seen Well, But Always On Ground Walk",1
On Branch In Live Oak,1
"""Begging + In Captivity Flying About """"Head Net""""""",1
2 Birds 5 M Up In Rough-Barked Eucalyptus,1
"Dense Thicket, Cloud Forest",1
Single Bird In Dense Thicket,1
Sitting On Log Observing Recordists,1
"Perched In Mangrove, Flying Off",1
perch; call; eat,1
AVES-094323,1
AVES-105708,1
AVES-101654,1
AVES-102319,1
AVES-105813,1
AVES-101166,1
flush; fly; call; mechanical sound,1
preen; scratch; stand; defecate,1
eat; fly; forage,1
song; counter singing; dawn song; duet; mate; advertise,1
Flock (At Least 6) Feeding Juveniles,1
eat; walk; forage; take flight,1
call; forage; perch; take flight,1
take flight; stand; call,1
stretch; cling,1
15' from edge of road.,1
cling; forage; suck sap,1
run; care for young,1
perform courtship display; vocalize; mechanical sound; song,1
walk; vocalize; preen,1
AVES-102079,1
AVES-074905,1
AVES-101483,1
AVES-102049,1
AVES-101473,1
AVES-074760,1
AVES-092870,1
AVES-071862,1
AVES-102210,1
AVES-092347,1
AVES-101214,1
AVES-103206,1
AVES-100817,1
AVES-072428,1
AVES-103371,1
AVES-075501,1
perch; fly; take flight,1
depart; incubate; sit on nest,1
call; emit escape sounds,1
depart; vocalize; clicks; mechanical sound; perch,1
stand; bob,1
Hidden under a pile of dead plant material on highway shoulder.,1
"Pair Meeting & Calling From Tall Tree, Sound May B",1
"Quaver Presumably During Copulation, Yelps Related",1
"Territorial, Owl Did NOT Respond to Playback",1
"Perched On Fence, Running Though Grass",1
"Several Pairs & Individuals Swimming, Occasional A",1
Collected with female (188122; DJA 773).,1
Collected with female (188259; SBC 221).,1
with TDP 289,1
bird remained on nest until very near,1
"song recorded, 1730 hrs. tape #15: 457",1
swim; nuzzle,1
browsing,1
leaf litter in flooded creek swamp,1
AVES-093902,1
AVES-106014,1
AVES-094085,1
AVES-102036,1
AVES-074243,1
AVES-101199,1
AVES-071263,1
hop; perch; defecate,1
taken off nest and eggs,1
"courting female (NW 42), along with male, JCB 1552 (ROM 106422)",1
carrying green caterpillar 20 mm long,1
just fledged,1
swim; preen; Social context: flock; rest,1
song; establish parent young contact; beg; care for young,1
emit agonistic call; displace; call,1
fly; enter nest cavity,1
stand; walk; beg; eat; feed young,1
call; stand; bob; run,1
seen with other flying young,1
preen; perch; scratch; take flight,1
breach; song; perch,1
fly; mechanical sound; bill drumming,1
Aggression/defense; call; counter singing,1
flap; eat; perch; flap; forage,1
sally; preen,1
call; Social context: colony; perch; sit on nest; incubate,1
song; call; advertise; scold; Social context: family,1
song; advertise; court; dawn song,1
He Answered My Imitated Whistled Calls,1
"Within The Top Of An Acacia Caven, Feeding",1
In Baccharis Linearis Bush,1
duetting,1
Perched In Tall Hemlock Tree?,1
"3 Separate Individuals, On Territory",1
Singer Not Seen,1
Alone; Small Flock,1
After Flushing 1/3 Grown Young,1
Countersinging w/ Territorial Interactions,1
At nest box containing egg,1
song; call; establish parent young contact; beg; care for young,1
Perched On Cornstalk,1
Just After Mobbing The Fox,1
Approached By A Caudacutus-Type Bird,1
"Moving From Song Perch To Song Perch, Then @ Appro",1
Flying Over Tower,1
Response To Squeak,1
territory of R-P/S family,1
"In response to opening nest box, moving around",1
"Singing From Shrub, 2 Birds",1
AVES-081708,1
AVES-101264,1
AVES-105580,1
AVES-054826,1
AVES-101089,1
AVES-071802,1
AVES-103184,1
AVES-072303,1
AVES-092825,1
AVES-072331,1
AVES-100839,1
AVES-070122,1
AVES-101130,1
AVES-101556,1
AVES-100723,1
AVES-075502,1
AVES-072554,1
AVES-094837,1
AVES-065695,1
AVES-072279,1
AVES-100741,1
AVES-102406,1
eating ripe guava when shot,1
replaced male A71 on call-site. song tape recorded. tape 32B,1
AVES-072749,1
AVES-072752,1
AVES-092624,1
AVES-092418,1
AVES-059395,1
AVES-101288,1
AVES-101281,1
AVES-100910,1
Several Individuals Swimming At The Lakeshore,1
AVES-094734,1
AVES-103622,1
AVES-136368,1
AVES-101547,1
AVES-100187,1
AVES-100228,1
AVES-092316,1
AVES-136520,1
AVES-091885,1
AVES-103537,1
2 Chase And Whisper Sing At 10-13 Min.;  Good Song,1
2 Individuals In Tall Foresty Ravine,1
There was a large flock of this species on a tide flat.,1
"Basking on boulder, ran beneath.",1
sitting,1
entering burrow,1
AVES-074609,1
AVES-074605,1
AVES-074606,1
AVES-074773,1
Territorial Dispute Between 2 Males,1
AVES-103536,1
AVES-025158,1
AVES-136548,1
AVES-103540,1
AVES-136335,1
AVES-072364,1
AVES-091645,1
AVES-093862,1
AVES-102225,1
Annoyed By Presence Of Group Of Aphelocoma Unicolo,1
duet; song; flight song; fly,1
call; song; advertise; court; copulate; fly; perform visual display,1
tape #29B: 0-226,1
song not heard,1
song mimics Lagonosticta larvata. Tape CRB black #14-1843,1
White Hawk Flies By,1
Flock In Gallery Forest,1
Defending nest,1
Disturbed by Pygmy Owl,1
Around Their Nest - In Large Leafless Ceiba Tree,1
AVES-071792,1
In Response To Playback Of Quercinus Type And Spon,1
Halfway Up In Tree On Grassy Slope,1
Perched In Small Shrub,1
Distant Birds Replied With Same Types Of Calls,1
On Slope Of Hill In Low Bush,1
Group Ks 1,1
Feeding In Heliconia(?),1
Several Birds Male & Female,1
"Group Perched, Then Flight",1
walk; stand; rest,1
AVES-094105,1
out of a flock,1
Syrinx; song; forage,1
mechanical sound; call; beg; bill drumming,1
call; mate; mob; fight,1
forage; contact fledgling; call; mechanical sound,1
mate; court; fly; perform visual display,1
call; perch; walk,1
call; establish parent young contact; forage; establish flock contact; Social context: mixed,1
fight; call; mechanical sound,1
AVES-105975,1
call; perform nest relief; care for young; Social context: family,1
call; advertise; mate; establish parent young contact; care for young,1
lek; hop; perch; call,1
arrive; perch; preen,1
swim; breath sounds; mechanical sound,1
call; beg; emit alarm; scold,1
call; mate; beg; care for young; Social context: family,1
forage; be displaced,1
stand; land; take flight,1
AVES-103152,1
AVES-101500,1
AVES-094584,1
AVES-054926,1
AVES-070054,1
AVES-092832,1
AVES-074561,1
AVES-059340,1
AVES-074925,1
AVES-070011,1
AVES-101253,1
AVES-072579,1
AVES-071731,1
AVES-071682,1
AVES-071270,1
AVES-091889,1
AVES-100424,1
AVES-094922,1
AVES-074120,1
AVES-102744,1
AVES-101153,1
AVES-072070,1
with FS 1231,1
eating a Hungarian partridge,1
both birds silent and distant,1
400 yards from river,1
shot near nest site,1
from nest with 5 young,1
associating with American Tree Sparrows and Song Sparrows,1
Flushed from under rock along side of rock canyon.,1
AVES-059505,1
AVES-105634,1
Mostly Evoked By Imitations,1
AVES-091881,1
AVES-100288,1
AVES-101202,1
AVES-071836,1
AVES-092443,1
AVES-075004,1
AVES-136275,1
AVES-100230,1
AVES-136486,1
"sparring in mid-air, tumbling to near ground",1
fly; hop; walk,1
forage; mechanical sound; fly; call,1
song; mimicry; Social context: mixed,1
perform distraction display; walk; brood,1
call; copulate; emit alarm,1
call; flush; emit alarm; fly,1
mimicked L. rara. Replaced male A211 on his call-site.,1
"Male Calls, Flies 12' Up, Chase Of Female",1
Bird Captured In Los Angeles 1 July,1
"Inside Cavity Before Flying Out, Also Out Flying",1
AVES-105613,1
Spontaneous & After Playback,1
"Group Of 4-5 Birds Feeding In Oaks, Chasing",1
Some Playback,1
Fairly High In Trees,1
Annoyed Response To Playback of Rufous-sided Towhe,1
"Roar In  Aquarium, Hiss In Response To Air Blown O",1
Flying Around Up High In Formation,1
Calling From A Tree Top,1
"Walking Along Shore, Probably Nest In Vicinity",1
stretch; preen; Acoustic; stretch; yawn; wing flaps,1
eat; call; brood; sit on nest,1
song; mate; beg; Social context: family,1
call; stand; bob,1
sit on nest; stand,1
walk; perform courtship display; forage,1
fly; perform visual display; preen; call,1
walk; call; run,1
flush; fly; call,1
depart; arrive; hop; preen,1
preen; perch; walk,1
perch; copulate,1
call; call; fly,1
song; emit alarm; Social context: colony,1
call; song; fly; advertise; establish flock contact,1
sit on nest; feed mate,1
"mimicked L. senegala, taped 2000#30A, B",1
reared by Lonchura striata,1
"At Atajo Lek, Chase & Interaction",1
Being banded by recordist,1
Two pairs interacting,1
AVES-100854,1
AVES-075329,1
AVES-102437,1
AVES-059586,1
AVES-072016,1
AVES-136504,1
AVES-072220,1
AVES-101304,1
AVES-070069,1
AVES-054941,1
AVES-072316,1
forage; steal prey; call,1
AVES-054984,1
call; mate; scold; fly; Social context: family,1
eat; walk; Social context: herd,1
call; rest; Social context: herd; walk,1
fly; call; sit on nest,1
perch; erect crest,1
call; song; perch; hop,1
perch; take flight; flap; ruffle; preen,1
stand; flap,1
"Handled In Net, Female",1
In Responst To Playback Of Earlier Recorded Note,1
countersinging with a male,1
"At Edge Of Riparian Woods Foraging Slowly, Then Si",1
"On Territory, Perhaps Mobbing",1
In Willows Near Edge,1
?Calling Near Ground,1
"Series Of Chatters, Then Flew Overhead",1
Contact Notes When Female Took A Piece Of Meat Fro,1
Near Or On Ground,1
Spontaneous At Top Of Tree,1
Replying To Previous Bird,1
Cw 2 Group,1
"In Captivity, held in the hand",1
"Squeaked Up, Sang In Chorus",1
Calls (At End)  When Hatchling Is Picked Up And Sh,1
"Ad. Female, 7-8 Years Old From Laos, Just Turned G",1
parent present,1
parent of brood of 12,1
1 of nesting pair,1
with another young being fed by both parents,1
song; call; mimicry; court; advertise,1
dawn song; advertise; scold,1
